"OTU_ID","CONSENSUS_LINEAGE","SUPERKINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","biological_label"
"OTU_97.360","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eubacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eubacterium","Lachnospiraceae / Eubacterium"
"OTU_97.1096","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified","Lachnospiraceae"
"OTU_97.2487","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.15869","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.29850","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.67","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.16585","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.35535","Root","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","OTU_97.35535"
"OTU_97.6703","Root","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","OTU_97.6703"
"OTU_97.1656","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.32588","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.33687","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.12461","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.37599","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.37902","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.39144","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia"
"OTU_97.402","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Lachnospiraceae / Blautia"
"OTU_97.7623","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Lachnospiraceae / Blautia"
"OTU_97.26561","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Lachnospiraceae / Blautia"
"OTU_97.31428","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Lachnospiraceae / Blautia"
"OTU_97.226","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Lachnospiraceae / Blautia"
"OTU_97.9679","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Lachnospiraceae / Blautia"
"OTU_97.15051","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Lachnospiraceae / Blautia"
