"","OTU_97.360","OTU_97.1096","OTU_97.2487","OTU_97.15869","OTU_97.29850","OTU_97.67","OTU_97.16585","OTU_97.35535","OTU_97.6703","OTU_97.1656","OTU_97.32588","OTU_97.33687","OTU_97.12461","OTU_97.37599","OTU_97.37902","OTU_97.39144","OTU_97.402","OTU_97.7623","OTU_97.26561","OTU_97.31428","OTU_97.226","OTU_97.9679","OTU_97.15051","OTU_97.29387","OTU_97.800","OTU_97.586","OTU_97.401","OTU_97.158","OTU_97.3264","OTU_97.255","OTU_97.7662","OTU_97.27756","OTU_97.175","OTU_97.16633","OTU_97.39322","OTU_97.331","OTU_97.4904","OTU_97.346","OTU_97.885","OTU_97.384","OTU_97.501","OTU_97.585","OTU_97.213","OTU_97.755","OTU_97.772","OTU_97.523","OTU_97.379","OTU_97.365","OTU_97.488","OTU_97.1399","OTU_97.281","OTU_97.337","OTU_97.424","OTU_97.26200","OTU_97.211","OTU_97.6580","OTU_97.35940","OTU_97.674","OTU_97.421","OTU_97.702","OTU_97.785","OTU_97.361","OTU_97.663","OTU_97.545","OTU_97.10199","OTU_97.339","OTU_97.288","OTU_97.42522","OTU_97.720","OTU_97.38248","OTU_97.286","OTU_97.2881","OTU_97.4651","OTU_97.7888","OTU_97.810","OTU_97.266","OTU_97.15337","OTU_97.155","OTU_97.617","OTU_97.683","OTU_97.181","OTU_97.23942","OTU_97.35268","OTU_97.34294","OTU_97.41674","OTU_97.571","OTU_97.43194","OTU_97.37076","OTU_97.37565","OTU_97.27813","OTU_97.37636","OTU_97.18624","OTU_97.43372","OTU_97.21746","OTU_97.26563","OTU_97.36971","OTU_97.16265","OTU_97.34800","OTU_97.39377","OTU_97.39184","OTU_97.699","OTU_97.645","OTU_97.27152","OTU_97.37903","OTU_97.23922","OTU_97.15271","OTU_97.10619","OTU_97.27041","OTU_97.10089","OTU_97.2847","OTU_97.38273","OTU_97.35521","OTU_97.5287","OTU_97.5561","OTU_97.57","OTU_97.4859","OTU_97.294","OTU_97.28512","OTU_97.1397","OTU_97.24025","OTU_97.154","OTU_97.24168","OTU_97.1681","OTU_97.144","OTU_97.15190","OTU_97.184","OTU_97.2918","OTU_97.204","OTU_97.6755","OTU_97.10101","OTU_97.16695","OTU_97.28399","OTU_97.24927","OTU_97.7657","OTU_97.4800","OTU_97.28748","OTU_97.7475","OTU_97.43362","OTU_97.38958","OTU_97.34","OTU_97.2297","OTU_97.7287","OTU_97.34683","OTU_97.28526","OTU_97.11618","OTU_97.24636","OTU_97.37987","OTU_97.29561","OTU_97.33056","OTU_97.18153","OTU_97.768","OTU_97.35237","OTU_97.14403","OTU_97.32564","OTU_97.34458","OTU_97.39245","OTU_97.14746","OTU_97.741","OTU_97.18382","OTU_97.33679","OTU_97.22716","OTU_97.24475","OTU_97.24870","OTU_97.25475","OTU_97.29574","OTU_97.29803","OTU_97.34780","OTU_97.34925","OTU_97.35176","OTU_97.35852","OTU_97.38665","OTU_97.38720","OTU_97.38931","OTU_97.39171","OTU_97.39459","OTU_97.5659","OTU_97.734","OTU_97.9982","OTU_97.14","OTU_97.1654","OTU_97.10938","OTU_97.20215","OTU_97.1201","OTU_97.5474","OTU_97.30402","OTU_97.37368","OTU_97.23136","OTU_97.28270","OTU_97.510","OTU_97.5894","OTU_97.824","OTU_97.1693","OTU_97.30088","OTU_97.29317","OTU_97.28280","OTU_97.8409","OTU_97.38818","OTU_97.11972","OTU_97.10385","OTU_97.232","OTU_97.41706","OTU_97.186","OTU_97.1779","OTU_97.37","OTU_97.24809","OTU_97.12279","OTU_97.36155","OTU_97.13028","OTU_97.41577","OTU_97.6625","OTU_97.16529","OTU_97.34479","OTU_97.13004","OTU_97.16539","OTU_97.34528","OTU_97.22261","OTU_97.19082","OTU_97.26863","OTU_97.10485","OTU_97.41853","OTU_97.28027","OTU_97.14926","OTU_97.22576","OTU_97.34703","OTU_97.29005","OTU_97.14061","OTU_97.20153","OTU_97.2464","OTU_97.18729","OTU_97.3911","OTU_97.24464","OTU_97.1677","OTU_97.34371","OTU_97.13450","OTU_97.73","OTU_97.40820","OTU_97.21012","OTU_97.11659","OTU_97.32087","OTU_97.5785","OTU_97.14116","OTU_97.10428","OTU_97.19163","OTU_97.33220","OTU_97.121","OTU_97.22041","OTU_97.25726","OTU_97.3324","OTU_97.9451","OTU_97.39984","OTU_97.5074","OTU_97.41989","OTU_97.29794","OTU_97.43210","OTU_97.43632","OTU_97.8514","OTU_97.40762","OTU_97.14259","OTU_97.59","OTU_97.30556","OTU_97.7542","OTU_97.36771","OTU_97.8830","OTU_97.31673","OTU_97.36663","OTU_97.22942","OTU_97.26883","OTU_97.1486","OTU_97.13522","OTU_97.43425","OTU_97.6433","OTU_97.43637","OTU_97.9316","OTU_97.951","OTU_97.18018","OTU_97.12419","OTU_97.15133","OTU_97.43023","OTU_97.31553","OTU_97.152","OTU_97.3161","OTU_97.3545","OTU_97.13145","OTU_97.404","OTU_97.13820","OTU_97.33897","OTU_97.20597","OTU_97.170","OTU_97.41441","OTU_97.41948","OTU_97.33390","OTU_97.1635","OTU_97.23009","OTU_97.11641","OTU_97.86","OTU_97.16034","OTU_97.36559","OTU_97.27883","OTU_97.34765","OTU_97.43213","OTU_97.13936","OTU_97.3002","OTU_97.25028","OTU_97.25986","OTU_97.3016","OTU_97.43403","OTU_97.578","OTU_97.381","OTU_97.15603","OTU_97.23396","OTU_97.118","OTU_97.10513"
"700013549",5,2,1,0,0,1,0,0,0,0,1,0,0,4,4,0,1,1,1,4,3,0,0,0,1,0,0,2,1,0,0,0,2,0,31,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,5,1,0,0,0,4,0,0,0,0,0,1,8,12,0,0,3,0,0,0,0,1,0,0,0,0,4,1,1,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,0,2,0,1,0,4,0,2,2,2,2,0,3,0,6,18,68,1,0,2,4,44,22,8,2,142,14,293,12,24,0,0,4,1,0,0,0,0,0,1,7,87,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,3,24,0,0,0,1,4,43,1,0,4,1,3,0,0,0,3,2,0,0,0,0,7,0,0,1,0,0,0,0,0,1,1,0,0,1,2,23,22,11,3,0,0,32,114,1,18,0,2,1,44,0,11,4,0,0,2,6,3,0,0,0,0,2,0,1,8,5,1,0,0,0,0,2,0,4,0,4,2,0,0,0,1,1,0,0,3,4,1,0,2,2,1,0,1,0,0,1,1,2,2,1,0,2,1,0,0,2,0,1,0,1,0,0,4,7,5,0,10,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368
"700014386",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,7,2,3,7,6,5,2,8,3,14,2,13,0,7,1,0,1,4,15,1,4,15,5,1,1,20,1,19,0,20,8,5,40,171,8,77,1,11,21,1,1,7,3,11,4,5,10,8,0,0,0,5,3,8,4,1,3,4,1,2,1,0,1,1,0,4,4,9,57,1,1,4,0,0,0,0,2,0,1,2,0,11,0,5,26,53,5,38,121,39,13,3,63,2,50,94,485,7,0,1,2,48,29,80,35,0,0,50,4,63,16,8,1,238,4,64,33,2,45,9,15,606,97,98,212,4,3,4,8,26,5,23,10,0,1,1,3,8,10,1,5,7,6,84,28,4,0,633,4,393,189,6,5,38,653,56,143,1,91,1,5,8,5,42,1,0,22,2,14,9,3,54,3,138,37,21,3,6,250,286,0,59,11,99,103,47,25,15,3,1,1,4,0,0,13,1,13,1,3,2,2,3,1,0,3,110,5,0,0,2,1,1,6,4,92,4,169,1,2,4,10,13,8,1,17,88,42,13,4,0,2,5,3,0,14,10,8,0,11,0,14,6,1,3,2,1,1,3,0,6,0,0,1,0,0,1,0,0,0,1,2,9,0,13,11,2,9,46,3,34,1,0,36,2,5,3,139,23,5,1,11,44,31,26,19,10,18,19,1,5,7,49,26,45
"700014488",6,18,4,23,3,36,42,5,4,13,13,9,1,118,174,33,3,1,39,37,86,28,45,5,13,0,1,137,12,37,32,13,31,1,28,0,63,0,0,8,0,8,58,0,0,19,74,73,12,5,1,26,0,18,23,5,8,13,48,0,0,17,6,2,1,21,0,0,0,11,15,4,11,0,15,14,10,7,2,30,4,1,0,1,2,0,0,3,9,0,31,23,0,0,13,4,23,36,16,12,14,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,112,687,80,138,103,38,1,8,0,0,2,2,331,16,0,18,0,47,17,34,1,15,5,7,13,1,42,3,1,0,20,306,1,2,15,664,52,132,596,23,2,0,1813,1022,297,13,26,27,197,21,9,8,37,93,47,0,26,0,220,20,22,8,0,1,13,11,2,3,52,28,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,13,25,44,54,76,0,48,353,124,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,27,29,2,30,8,14,11,19,0,0,0,0,0,2,46,18,32,8,13,109,21,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27
"700014497",55,19,9,9,7,24,4,0,2,5,6,2,1,77,44,11,14,51,73,78,112,20,21,31,0,0,3,40,6,0,2,1,20,2,1,0,17,0,0,35,16,9,41,54,15,43,0,540,28,20,127,142,187,0,8,0,2,49,2,1,1,10,1,37,0,0,0,2,1,6,10,5,5,0,9,3,2,1,8,1,1,2,1,4,5,1,5,3,3,3,17,7,1,2,1,0,1,1,0,6,2,0,0,2,1,3,5,2,0,0,3,0,3,4,23,0,3,0,1,8,8,0,0,1,0,2,0,8,3,4,0,12,4,18,8,2,2,0,0,0,6,5,52,4,0,3,0,10,2,5,0,0,0,5,4,0,2,2,0,0,1,28,2,6,1,83,2,32,73,5,0,0,253,2,37,2,3,0,2,1,2,2,0,0,7,0,8,0,0,2,1,1,0,1,0,2,7,11,0,17,53,0,0,179,135,50,15,3,13,49,157,2,85,9,61,5,108,10,25,0,4,0,8,489,22,2,4,10,4,10,24,7,0,0,0,0,0,2,0,1,3,0,3,7,5,1,0,0,0,0,0,0,3,1,1,0,0,0,1,1,0,2,2,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,39,1,0,1,5,6,1,9,4,2,1,2,38,5,2,0,5,8,8,8,3,6,9,3,0,74,23,176,37,26
"700014555",4,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,21,4,2,0,35,10,1,0,2,0,2,6,6,5,36,2,0,0,0,0,0,0,1,0,0,0,20,0,0,1,6,0,0,2,1,4,6,1,4,2,2,0,0,4,3,2,0,0,0,2,0,0,0,0,7,0,8,2,0,0,0,2,2,0,0,0,0,3,0,0,246,8,2,10,26,2,2,2,23,1,14,14,72,1,1,1,0,15,23,6,35,0,0,0,2,8,16,5,6,60,7,35,23,2,2,3,0,0,0,1,92,6,1,2,0,13,6,4,0,0,2,1,3,0,2,1,0,0,4,35,0,0,34,218,8,3,169,6,0,0,447,29,77,3,3,32,120,2,4,0,11,60,11,0,6,0,73,11,0,0,0,0,110,2,0,1,2,11,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,23,5,1,37,29,18,2,26,2,26,7,1,6,0,0,5,11,2,8,5,0,0,0,0,0,0,0,0,0,37,736,0,0,0,53,0,63,0,5,1,0,28,1,0,16,240,44,11,14,27,33,43,30,35,32,63,0,0,0,0,0,0,1
"700014718",0,3,2,4,3,2,0,1,2,0,2,1,1,16,30,10,7,20,7,13,5,0,1,0,3,0,6,2,0,10,5,6,10,2,5,8,0,0,0,0,8,4,0,0,4,0,2,0,1,0,0,6,2,0,25,4,5,3,9,0,0,0,4,3,0,0,6,19,32,0,1,2,1,1,0,13,7,6,0,1,1,3,0,1,0,0,0,0,44,0,0,1,0,0,11,1,21,15,2,4,3,9,1,70,9,10,38,12,3,1,26,1,21,33,152,5,5,0,2,25,24,41,45,0,0,0,0,36,1,10,47,45,38,27,23,10,8,0,0,5,19,7,126,4,0,6,1,2,1,5,3,28,1,4,2,1,1,1,0,1,2,28,2,22,14,60,30,42,3,11,0,2,276,187,92,6,71,15,155,8,0,12,26,23,4,6,41,1,122,3,44,26,5,0,7,1,7,79,26,53,27,14,58,80,17,16,12,0,14,14,2,0,21,11,22,2,17,11,4,2,13,1,13,158,4,2,0,0,2,3,53,13,1,6,121,1,3,16,13,24,19,1,12,31,52,2,1,0,3,14,0,1,1,6,8,1,7,2,4,1,0,1,3,0,0,1,0,2,1,1,2,0,0,1,1,1,2,3,0,0,1,6,7,26,64,0,0,8,13,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,6,28,2
"700014828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,35,0,0,274,0,0,0,3,0,0,1,28,0,0,0,2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,36,60,11,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,18,12,10,1,0,16,3,0,0,6,3,6,1,3,6,0,4,6,1,5,169,2,2,0,1,0,0,14,2,205,45,69,1,1,0,0,1,6,4,1,7,7,0,3,0,3,10,0,0,7,113,2,1,14,2,24,12,0,9,1,0,0,2,7,2,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,17,0,0,4,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"700014832",1,0,0,1,0,2,1,0,0,2,1,0,0,6,3,3,2,0,4,2,24,0,0,3,1,3,2,216,116,9,0,4,0,0,0,16,16,3,1,175,5,0,1,1,4,13,22,0,0,1,0,19,0,16,4,3,8,2,5,2,0,0,5,9,9,9,4,15,5,3,0,0,1,0,0,0,0,0,0,3,1,3,1,0,4,0,15,1,13,0,0,0,3,4,0,0,1,4,1,1,0,0,14,55,2,2,19,2,0,0,36,0,5,11,190,0,32,1,0,37,32,22,42,0,0,4,0,143,0,5,2,17,1,3,3,0,0,0,28,29,0,0,16,0,0,11,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,18,0,1,0,65,2,3,112,2,0,0,44,60,5,0,0,0,3,1,1,0,2,2,2,0,1,0,2,1,1,1,0,0,0,0,0,0,1,223,3,0,0,436,17,19,8,0,5,17,0,1,30,20,6,0,10,22,1,1,5,1,2,174,16,0,2,12,3,3,20,1,0,0,1,22,1,1,5,0,22,2,1,21,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,16,7,14,0,1,2,6,0,13,1,9,0,1,0,0,16,0,54,10,11,2,10,16,62,0,0,0,0,1,0,0,0,0,0,0,0,5,2,3,0,1,1,5
"700014954",2,2,2,11,4,17,5,1,2,11,11,6,10,58,55,18,0,0,2,1,3,1,1,0,1,0,43,66,15,17,8,21,7,1,7,0,0,0,0,2,5,2,0,1,1,0,0,0,4,1,1,0,0,2,12,5,12,3,1,0,4,0,5,3,4,10,0,0,0,0,3,1,3,0,0,0,0,0,0,30,0,1,1,1,1,1,3,0,1,0,4,0,1,1,0,1,3,1,0,2,4,0,0,58,4,3,32,17,2,0,36,0,11,13,120,4,0,8,2,43,59,10,3,0,0,0,2,172,1,3,5,2,1,10,1,1,6,1,174,175,4,6,18,0,2,9,1,9,2,2,1,0,0,4,3,2,0,2,0,1,1,5,2,9,1,30,1,17,6,0,1,0,113,5,14,2,3,0,14,0,1,4,1,1,1,6,4,2,9,2,4,6,2,0,0,5,8,12,0,4,3,0,0,13,0,0,2,1,1,0,0,0,6,2,0,1,1,2,0,1,0,0,0,12,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,7,11,3,6,1,15,6,0,9,3,22,15,0,2,0,0,3,1,7,6,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,17,2,0,2,0,2,1,0,0,2,0,1,0,0,0,0,0,0
"700015113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,0,1,0,0,84,1,0,11,336,357,20,2,0,0,42,2,0,1,28,15,3,0,0,18,0,0,14,34,0,0,32,1142,8,25,3,482,0,2,22,39,128,10,32,0,333,0,1,0,1,80,0,0,0,57,2,55,2,0,263,365,94,57,0,1,802,1217,0,0,0,137,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257,23,17,228,4,8,60,92,11,22,38,27,85,62,9,16,0,0,17,17,142,38,22,16,24,31,6,44,8,25,12,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,139,0
