"OTU_ID","degree","strength","betweenness","closeness","eigenvector","pagerank","IVI","prevalence_n","prevalence_fraction","total_abundance","mean_abundance","median_abundance","CONSENSUS_LINEAGE","SUPERKINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","biological_label","important_status"
"OTU_97.26507",4,4,22,0.615384615384615,1.47241681929969e-15,0.0125732583770787,75.9245435949353,62,0.331550802139037,405,2.16577540106952,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Porphyromonadaceae / Parabacteroides","Hub + IVI"
"OTU_97.17135",4,4,7,0.833333333333333,1,0.0115939715412561,39.2796603902268,59,0.315508021390374,317,1.6951871657754,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.42522",4,4,9,0.833333333333333,0,0.0136930968632206,20.8937566883263,72,0.385026737967914,898,4.80213903743315,0,"Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira","Hub + IVI"
"OTU_97.22587",3,3,13,0.5,8.22491332197327e-16,0.00988006547084227,100,60,0.320855614973262,335,1.79144385026738,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Porphyromonadaceae / Parabacteroides","Hub + IVI"
"OTU_97.16002",3,3,4,0.714285714285714,0.865368120640512,0.00872736369368138,28.4046035929042,63,0.336898395721925,532,2.84491978609626,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.16034",2,2,7,0.380952380952381,9.25450729118608e-16,0.00698352294500895,46.6859874652988,86,0.459893048128342,1712,9.15508021390374,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Porphyromonadaceae / Parabacteroides","Hub + IVI"
"OTU_97.11641",2,2,12,0.5,1.03887836794256e-15,0.00654698127302387,43.2411805811534,77,0.411764705882353,636,3.40106951871658,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Porphyromonadaceae / Parabacteroides","Hub + IVI"
"OTU_97.720",2,2,4,0.625,0,0.00718284355934432,10.8783524673897,86,0.459893048128342,1465,7.83422459893048,0,"Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira","Hub"
"OTU_97.12419",2,2,0,0.625,0.762686238931539,0.00584363861532059,5.11673687266071,75,0.401069518716578,789,4.2192513368984,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.255",2,2,2,0.75,0,0.00785150053845066,4.32744000430333,91,0.486631016042781,1161,6.20855614973262,0,"Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia","Hub"
