"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"16594","10038",0.909090909090909,0,0,0
"4206","10038",0.909090909090909,6,4,3
"16594","14280",0.909090909090909,0,0,0
"16594","13033",0.909090909090909,0,0,0
"14280","13033",0.909090909090909,1,1,0
"16594","16525",0.909090909090909,0,0,0
"14280","16525",0.909090909090909,0,0,0
"16594","4613",0.909090909090909,0,0,0
"14280","4613",0.909090909090909,6,6,4
"13033","4613",0.909090909090909,7,5,5
"16525","4613",0.909090909090909,8,8,7
"16594","8223",0.909090909090909,0,0,0
"10038","8223",0.909090909090909,4,2,2
"14280","8223",0.909090909090909,0,0,0
"16525","8223",0.909090909090909,0,0,0
"4613","8223",0.909090909090909,0,0,0
"16594","8597",0.909090909090909,0,0,0
"14280","8597",0.909090909090909,5,3,2
"16525","8597",0.909090909090909,0,0,0
"4613","8597",0.909090909090909,4,3,2
"8223","8597",0.909090909090909,0,0,0
"14280","11440",0.909090909090909,4,4,2
"16594","1954",0.909090909090909,0,0,0
"14280","1954",0.909090909090909,5,2,1
"13033","1954",0.909090909090909,0,0,0
"16525","1954",0.909090909090909,0,0,0
"4613","1954",0.909090909090909,0,0,0
"8223","1954",0.909090909090909,0,0,0
"8597","1954",0.909090909090909,0,0,0
"11440","1954",0.909090909090909,4,1,1
"16594","12665",0.909090909090909,0,0,0
"8223","12665",0.909090909090909,0,0,0
"1954","12665",0.909090909090909,5,4,2
"16594","11979",0.909090909090909,1,0,0
"10038","11979",0.909090909090909,0,0,0
"14280","11979",0.909090909090909,3,2,1
"13033","11979",0.909090909090909,1,1,0
"16525","11979",0.909090909090909,0,0,0
"4613","11979",0.909090909090909,3,2,0
"8223","11979",0.909090909090909,0,0,0
"8597","11979",0.909090909090909,3,1,0
"11440","11979",0.909090909090909,0,0,0
"1954","11979",0.909090909090909,0,0,0
"16594","6734",0.909090909090909,0,0,0
"4206","6734",0.909090909090909,0,0,0
"14280","6734",0.909090909090909,3,1,0
"13033","6734",0.909090909090909,5,3,2
"16525","6734",0.909090909090909,0,0,0
"4613","6734",0.909090909090909,3,1,1
"8223","6734",0.909090909090909,0,0,0
"8597","6734",0.909090909090909,1,0,0
"1954","6734",0.909090909090909,0,0,0
"12665","6734",0.909090909090909,0,0,0
"11979","6734",0.909090909090909,3,2,1
"16594","6365",0.909090909090909,0,0,0
"10038","6365",0.909090909090909,0,0,0
"14280","6365",0.909090909090909,4,0,0
"13033","6365",0.909090909090909,7,6,6
"16525","6365",0.909090909090909,0,0,0
"4613","6365",0.909090909090909,4,4,2
"8223","6365",0.909090909090909,2,1,1
"8597","6365",0.909090909090909,2,2,0
"1954","6365",0.909090909090909,0,0,0
"12665","6365",0.909090909090909,0,0,0
"11979","6365",0.909090909090909,0,0,0
"6734","6365",0.909090909090909,4,3,2
"16594","2385",0.909090909090909,0,0,0
"10038","2385",0.909090909090909,0,0,0
"14280","2385",0.909090909090909,0,0,0
"16525","2385",0.909090909090909,0,0,0
"4613","2385",0.909090909090909,0,0,0
"8223","2385",0.909090909090909,3,1,0
"8597","2385",0.909090909090909,0,0,0
"1954","2385",0.909090909090909,4,3,2
"11979","2385",0.909090909090909,0,0,0
"6734","2385",0.909090909090909,0,0,0
"6365","2385",0.909090909090909,1,1,1
"10038","12462",0.909090909090909,2,2,2
"14280","12462",0.909090909090909,0,0,0
"16525","12462",0.909090909090909,0,0,0
"4613","12462",0.909090909090909,0,0,0
"8223","12462",0.909090909090909,3,2,0
"8597","12462",0.909090909090909,0,0,0
"1954","12462",0.909090909090909,1,1,1
"11979","12462",0.909090909090909,0,0,0
"6734","12462",0.909090909090909,0,0,0
"6365","12462",0.909090909090909,1,1,1
"2385","12462",0.909090909090909,0,0,0
"11979","12790",0.909090909090909,0,0,0
"6365","12790",0.909090909090909,6,6,5
"2385","12790",0.909090909090909,0,0,0
"16594","5846",0.909090909090909,0,0,0
"4206","5846",0.909090909090909,5,3,0
"10038","5846",0.909090909090909,1,1,1
"14280","5846",0.909090909090909,0,0,0
"16525","5846",0.909090909090909,0,0,0
"4613","5846",0.909090909090909,0,0,0
"8223","5846",0.909090909090909,4,4,3
"8597","5846",0.909090909090909,0,0,0
"1954","5846",0.909090909090909,0,0,0
"12665","5846",0.909090909090909,0,0,0
"11979","5846",0.909090909090909,0,0,0
"6734","5846",0.909090909090909,0,0,0
"6365","5846",0.909090909090909,0,0,0
"2385","5846",0.909090909090909,6,6,4
"12462","5846",0.909090909090909,0,0,0
"16594","16191",0.909090909090909,0,0,0
"10038","16191",0.909090909090909,0,0,0
"14280","16191",0.909090909090909,0,0,0
"4613","16191",0.909090909090909,0,0,0
"8223","16191",0.909090909090909,3,2,1
"8597","16191",0.909090909090909,0,0,0
"1954","16191",0.909090909090909,0,0,0
"12665","16191",0.909090909090909,0,0,0
"11979","16191",0.909090909090909,0,0,0
"6734","16191",0.909090909090909,1,0,0
"6365","16191",0.909090909090909,3,3,1
"2385","16191",0.909090909090909,7,7,6
"5846","16191",0.909090909090909,4,3,3
"16594","16753",0.909090909090909,0,0,0
"14280","16753",0.909090909090909,0,0,0
"16525","16753",0.909090909090909,0,0,0
"4613","16753",0.909090909090909,0,0,0
"8223","16753",0.909090909090909,0,0,0
"8597","16753",0.909090909090909,0,0,0
"1954","16753",0.909090909090909,0,0,0
"12665","16753",0.909090909090909,0,0,0
"11979","16753",0.909090909090909,0,0,0
"6734","16753",0.909090909090909,2,0,0
"6365","16753",0.909090909090909,0,0,0
"2385","16753",0.909090909090909,0,0,0
"12462","16753",0.909090909090909,0,0,0
"5846","16753",0.909090909090909,0,0,0
"16191","16753",0.909090909090909,0,0,0
"16594","10985",0.909090909090909,0,0,0
"14280","10985",0.909090909090909,0,0,0
"16525","10985",0.909090909090909,0,0,0
"4613","10985",0.909090909090909,0,0,0
"8223","10985",0.909090909090909,0,0,0
"8597","10985",0.909090909090909,2,1,1
"1954","10985",0.909090909090909,0,0,0
"11979","10985",0.909090909090909,0,0,0
"6734","10985",0.909090909090909,3,2,1
"6365","10985",0.909090909090909,0,0,0
"2385","10985",0.909090909090909,0,0,0
"12462","10985",0.909090909090909,0,0,0
"5846","10985",0.909090909090909,0,0,0
"16191","10985",0.909090909090909,0,0,0
"16753","10985",0.909090909090909,0,0,0
"16594","14381",0.909090909090909,0,0,0
"10038","14381",0.909090909090909,7,6,6
"14280","14381",0.909090909090909,0,0,0
"16525","14381",0.909090909090909,0,0,0
"4613","14381",0.909090909090909,0,0,0
"8223","14381",0.909090909090909,4,1,1
"8597","14381",0.909090909090909,0,0,0
"1954","14381",0.909090909090909,0,0,0
"11979","14381",0.909090909090909,0,0,0
"6734","14381",0.909090909090909,0,0,0
"6365","14381",0.909090909090909,0,0,0
"2385","14381",0.909090909090909,5,2,1
"12462","14381",0.909090909090909,1,0,0
"5846","14381",0.909090909090909,1,1,1
"16191","14381",0.909090909090909,0,0,0
"16753","14381",0.909090909090909,0,0,0
"16594","2589",0.909090909090909,0,0,0
"4206","2589",0.909090909090909,0,0,0
"10038","2589",0.909090909090909,1,1,1
"14280","2589",0.909090909090909,6,5,4
"13033","2589",0.909090909090909,0,0,0
"16525","2589",0.909090909090909,0,0,0
"4613","2589",0.909090909090909,0,0,0
"8223","2589",0.909090909090909,1,1,0
"8597","2589",0.909090909090909,0,0,0
"11440","2589",0.909090909090909,0,0,0
"1954","2589",0.909090909090909,5,3,2
"12665","2589",0.909090909090909,0,0,0
"11979","2589",0.909090909090909,2,0,0
"6734","2589",0.909090909090909,0,0,0
"6365","2589",0.909090909090909,0,0,0
"2385","2589",0.909090909090909,0,0,0
"12790","2589",0.909090909090909,0,0,0
"5846","2589",0.909090909090909,0,0,0
"16191","2589",0.909090909090909,0,0,0
"16753","2589",0.909090909090909,0,0,0
"10985","2589",0.909090909090909,0,0,0
"14381","2589",0.909090909090909,0,0,0
"11953","2589",0.909090909090909,6,6,5
"16594","696",0.909090909090909,0,0,0
"14280","696",0.909090909090909,4,2,0
"16525","696",0.909090909090909,0,0,0
"4613","696",0.909090909090909,0,0,0
"8223","696",0.909090909090909,0,0,0
"8597","696",0.909090909090909,0,0,0
"1954","696",0.909090909090909,1,1,0
"11979","696",0.909090909090909,0,0,0
"6734","696",0.909090909090909,0,0,0
"6365","696",0.909090909090909,0,0,0
"2385","696",0.909090909090909,0,0,0
"12462","696",0.909090909090909,0,0,0
"5846","696",0.909090909090909,0,0,0
"16753","696",0.909090909090909,0,0,0
"10985","696",0.909090909090909,2,1,1
"14381","696",0.909090909090909,0,0,0
"2589","696",0.909090909090909,6,6,6
"8597","540",0.909090909090909,6,4,3
"11979","540",0.909090909090909,0,0,0
"16594","13379",0.909090909090909,0,0,0
"14280","13379",0.909090909090909,3,0,0
"4613","13379",0.909090909090909,0,0,0
"8223","13379",0.909090909090909,0,0,0
"8597","13379",0.909090909090909,1,1,0
