"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.29561","OTU_97.35852",1,9,9,9
"OTU_97.7475","OTU_97.28270",1,9,9,9
"OTU_97.24870","OTU_97.29317",1,8,8,8
"OTU_97.18018","OTU_97.12419",1,9,9,9
"OTU_97.18018","OTU_97.15133",1,9,9,9
"OTU_97.36771","OTU_97.3161",1,7,7,7
"OTU_97.15271","OTU_97.27041",0.99862258953168,8,8,8
"OTU_97.34780","OTU_97.1201",0.996632996632997,8,8,8
"OTU_97.36771","OTU_97.1486",0.985307621671258,7,7,7
"OTU_97.12419","OTU_97.15133",0.985154576063667,7,7,7
"OTU_97.36771","OTU_97.22942",0.973370064279155,9,9,9
"OTU_97.22942","OTU_97.1486",0.955157636975819,8,8,8
"OTU_97.30088","OTU_97.29317",0.917661463116009,8,8,8
"OTU_97.41577","OTU_97.16539",0.916284052647689,9,8,8
"OTU_97.10938","OTU_97.5894",0.912457912457912,9,9,9
"OTU_97.67","OTU_97.32588",0.909090909090909,9,8,8
"OTU_97.67","OTU_97.33687",0.909090909090909,8,8,8
"OTU_97.67","OTU_97.37599",0.909090909090909,7,7,6
"OTU_97.37599","OTU_97.37902",0.909090909090909,9,9,9
"OTU_97.67","OTU_97.39144",0.909090909090909,6,5,5
"OTU_97.33687","OTU_97.39144",0.909090909090909,4,4,3
"OTU_97.37599","OTU_97.39144",0.909090909090909,7,7,6
"OTU_97.37902","OTU_97.39144",0.909090909090909,9,9,9
"OTU_97.401","OTU_97.158",0.909090909090909,8,8,8
"OTU_97.360","OTU_97.3264",0.909090909090909,0,0,0
"OTU_97.401","OTU_97.3264",0.909090909090909,3,1,1
"OTU_97.158","OTU_97.3264",0.909090909090909,9,9,7
"OTU_97.360","OTU_97.331",0.909090909090909,0,0,0
"OTU_97.255","OTU_97.331",0.909090909090909,1,0,0
"OTU_97.175","OTU_97.331",0.909090909090909,2,2,2
"OTU_97.226","OTU_97.384",0.909090909090909,4,3,2
"OTU_97.3264","OTU_97.384",0.909090909090909,1,1,0
"OTU_97.255","OTU_97.384",0.909090909090909,0,0,0
"OTU_97.331","OTU_97.384",0.909090909090909,0,0,0
"OTU_97.158","OTU_97.213",0.909090909090909,5,5,3
"OTU_97.360","OTU_97.379",0.909090909090909,1,1,1
"OTU_97.175","OTU_97.379",0.909090909090909,0,0,0
"OTU_97.331","OTU_97.379",0.909090909090909,0,0,0
"OTU_97.360","OTU_97.365",0.909090909090909,6,6,4
"OTU_97.226","OTU_97.365",0.909090909090909,5,3,2
"OTU_97.384","OTU_97.281",0.909090909090909,0,0,0
"OTU_97.365","OTU_97.281",0.909090909090909,1,0,0
"OTU_97.360","OTU_97.337",0.909090909090909,3,2,2
"OTU_97.67","OTU_97.337",0.909090909090909,0,0,0
"OTU_97.226","OTU_97.337",0.909090909090909,6,5,4
"OTU_97.384","OTU_97.337",0.909090909090909,7,7,5
"OTU_97.365","OTU_97.337",0.909090909090909,7,5,3
