"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"3470","13259",1,7,7,7
"3494","1661",1,9,9,9
"3470","1661",1,9,9,9
"16688","10784",1,0,0,0
"3494","10784",1,8,8,8
"13259","10784",1,3,1,0
"1661","10784",1,7,7,7
"1661","4206",1,0,0,0
"9441","15960",1,3,3,3
"10784","10038",1,2,0,0
"4206","10038",1,6,4,3
"9441","10038",1,8,8,8
"10038","1955",1,8,8,7
"10038","702",1,3,1,1
"10784","12456",1,6,6,5
"283","4047",1,1,1,1
"1661","4047",1,0,0,0
"10784","4047",1,0,0,0
"1661","14280",1,0,0,0
"10784","14280",1,0,0,0
"1661","13234",1,0,0,0
"10784","13234",1,0,0,0
"14280","13234",1,1,1,1
"283","15044",1,0,0,0
"4047","15044",1,0,0,0
"14280","15044",1,0,0,0
"13234","15044",1,0,0,0
"15044","13033",1,0,0,0
"13033","12605",1,1,1,1
"13033","2073",1,0,0,0
"13033","6431",1,3,1,0
"16525","6431",1,8,8,8
"12916","6431",1,6,6,5
"13033","4613",1,7,5,5
"6431","4613",1,6,6,5
"6431","17278",1,6,6,5
"1661","11185",1,0,0,0
"10784","11185",1,0,0,0
"11185","11701",1,3,2,2
"11185","10240",1,3,1,1
"11701","10240",1,4,3,3
"11404","1954",1,8,8,8
"8590","11979",1,8,8,8
"11440","82",1,0,0,0
"15044","3663",1,4,4,4
"8597","3663",1,0,0,0
"8597","6365",1,2,2,0
"3663","6365",1,3,0,0
"6365","11004",1,3,3,3
"3663","16646",1,0,0,0
"6365","16646",1,0,0,0
"16646","14423",1,0,0,0
"98","14423",1,9,9,9
"11701","2385",1,0,0,0
"2385","5482",1,0,0,0
"2385","13087",1,0,0,0
"2385","12462",1,0,0,0
"13087","12462",1,0,0,0
"10784","11005",1,0,0,0
"2385","11005",1,2,1,0
"13087","11005",1,7,7,6
"12462","11005",1,0,0,0
"1661","11734",1,0,0,0
"10784","11734",1,0,0,0
"12057","11734",1,0,0,0
"1661","1759",1,0,0,0
"10784","1759",1,7,7,6
"11005","1759",1,0,0,0
"12057","1759",1,0,0,0
"11734","1759",1,0,0,0
"11734","12790",1,0,0,0
"1759","12790",1,0,0,0
"1661","5846",1,7,7,7
"10784","5846",1,0,0,0
"2385","5846",1,6,6,4
"13087","5846",1,0,0,0
"12462","5846",1,0,0,0
"11005","5846",1,0,0,0
"12057","5846",1,9,9,8
"11734","5846",1,0,0,0
"1759","5846",1,0,0,0
"12790","5846",1,0,0,0
"10784","14943",1,0,0,0
"11701","14943",1,0,0,0
"10784","14794",1,0,0,0
"15044","14794",1,0,0,0
"11185","14794",1,0,0,0
"11701","14794",1,0,0,0
"16646","14794",1,0,0,0
"5846","14794",1,0,0,0
"14943","14794",1,2,2,1
"11203","14794",1,9,9,8
"4047","16191",1,0,0,0
"15044","16191",1,0,0,0
"3663","16191",1,0,0,0
"6365","16191",1,3,3,1
"16646","16191",1,0,0,0
"2385","16191",1,7,7,6
"11734","16191",1,1,1,1
"5846","16191",1,4,3,3
"14943","16191",1,0,0,0
"16191","11394",1,1,0,0
"1661","14357",1,0,0,0
"10784","14357",1,0,0,0
"16191","14357",1,0,0,0
"11394","14357",1,3,3,3
"16191","13975",1,0,0,0
"14357","13975",1,0,0,0
"14357","16753",1,3,2,2
"13975","16753",1,0,0,0
"13975","4609",1,1,0,0
"16753","4609",1,0,0,0
"4609","10690",1,3,2,1
"1661","1605",1,0,0,0
"1661","13549",1,0,0,0
"10784","13549",1,0,0,0
"13033","13549",1,3,1,1
"1605","13549",1,4,4,3
"13549","14931",1,9,9,9
"13549","1180",1,0,0,0
"13549","10985",1,4,4,4
"16083","10985",1,5,4,3
"10784","6119",1,0,0,0
"1661","14381",1,0,0,0
"10784","14381",1,0,0,0
"16191","14381",1,0,0,0
"6119","14381",1,0,0,0
"1661","11953",1,0,0,0
"10784","11953",1,0,0,0
"11953","10975",1,6,6,6
"11953","16870",1,8,8,8
"2361","16870",1,0,0,0
"1661","2589",1,0,0,0
"11953","2589",1,6,6,5
"1661","3825",1,0,0,0
"16870","3825",1,9,9,9
"10128","696",1,0,0,0
"15960","696",1,0,0,0
"14280","696",1,4,2,0
"14423","696",1,0,0,0
"5482","696",1,0,0,0
"11734","696",1,0,0,0
"5846","696",1,0,0,0
"14943","696",1,0,0,0
"11953","696",1,1,0,0
"10975","696",1,0,0,0
"2361","696",1,3,2,0
"2589","696",1,6,6,6
"3825","696",1,2,1,1
"10128","9096",1,0,0,0
"1661","9096",1,0,0,0
"13234","9096",1,0,0,0
"15044","9096",1,0,0,0
"11185","9096",1,0,0,0
"11404","9096",1,0,0,0
"5482","9096",1,0,0,0
"14943","9096",1,0,0,0
"15424","9096",1,0,0,0
"10985","9096",1,0,0,0
"10975","9096",1,9,9,9
"2589","9096",1,1,1,1
"3825","9096",1,0,0,0
"696","9096",1,0,0,0
"2589","16821",1,0,0,0
"9096","16821",1,6,6,4
"15392","3766",1,0,0,0
"13379","15727",1,0,0,0
"3766","15727",1,0,0,0
"15727","10670",1,0,0,0
"16191","3337",1,5,4,4
"2736","1547",1,3,3,3
"9867","6645",1,0,0,0
"10038","9056",1,1,1,0
"12605","9056",1,0,0,0
"98","9056",1,0,0,0
"2385","9056",1,7,7,6
"12462","9056",1,0,0,0
"1759","9056",1,0,0,0
"14943","9056",1,0,0,0
"16191","9056",1,5,4,3
"14357","9056",1,1,1,0
"13549","9056",1,7,7,6
"11953","9056",1,5,4,2
"9096","9056",1,0,0,0
"2736","9056",1,5,5,4
"1547","9056",1,3,3,3
"9867","9056",1,0,0,0
"6645","9056",1,3,3,2
"6189","9056",1,4,3,3
"13043","9056",1,3,1,1
"1661","4499",1,3,3,3
"10784","4499",1,0,0,0
"5846","4499",1,4,2,1
"11203","4499",1,1,1,1
"14794","4499",1,1,0,0
"9056","4499",1,9,8,8
"6987","4499",1,5,5,5
"9096","12943",1,0,0,0
"4499","12943",1,3,3,3
"4499","12226",1,8,8,8
"12943","12226",1,1,0,0
"9056","12174",1,5,5,5
"6189","12709",1,3,3,2
"9056","12709",1,3,1,1
"1661","6538",1,3,1,1
"11701","6538",1,4,4,4
"98","6538",1,2,1,0
"3825","6538",1,0,0,0
"2736","6538",1,5,4,2
"1547","6538",1,4,3,3
"9867","6538",1,2,1,1
"6645","6538",1,2,1,1
"6189","6538",1,4,3,1
"9056","6538",1,8,8,8
"4499","6538",1,8,8,8
"12709","6538",1,2,1,0
"6111","12237",1,1,1,1
"1661","327",1,0,0,0
"10784","327",1,0,0,0
"12237","327",1,0,0,0
"15786","327",1,0,0,0
"327","8422",1,0,0,0
"12237","4737",1,5,5,4
"327","4737",1,0,0,0
"242","11351",1,8,8,6
"1424","8569",1,2,3,2
"9602","9223",1,0,0,0
"9602","6006",1,8,8,8
"9602","14362",1,9,9,9
"6006","14362",1,8,8,8
"16984","1183",1,6,5,5
"9602","10828",1,1,0,0
"6006","10828",1,5,3,2
"10828","14183",1,6,6,5
"8486","2063",1,9,9,9
"14563","7101",1,9,9,9
"10784","12558",1,0,0,0
"12558","11317",1,0,0,0
"1661","15401",1,0,0,0
"10784","15401",1,0,0,0
"8486","15401",1,9,9,9
"14563","15401",1,8,7,7
"7101","15401",1,5,4,4
"12558","15401",1,7,7,7
"11317","15401",1,4,2,2
"15401","7422",1,3,3,3
"7882","7890",1,7,7,6
"10784","10849",1,0,0,0
"9096","10849",1,0,0,0
"10784","4451",1,0,0,0
"9096","4451",1,0,0,0
"10849","4451",1,9,9,7
"696","675",1,0,0,0
"9096","675",1,0,0,0
"7434","9579",1,0,0,0
"8721","16961",1,5,5,5
"7434","16961",1,9,9,9
"9579","16961",1,5,5,4
"1661","5439",1,0,0,0
"10784","5439",1,0,0,0
"675","5439",1,8,7,5
"10784","7293",1,1,1,1
"9096","7293",1,0,0,0
"675","7293",1,0,0,0
"5439","7293",1,0,0,0
"7293","13881",1,8,8,8
"5439","7791",1,6,5,5
"7293","5536",1,0,0,0
"9096","7805",1,0,0,0
"5536","7805",1,2,2,1
"5536","751",1,1,0,0
"9096","8163",1,0,0,0
"751","8163",1,9,8,8
"1661","13295",1,0,0,0
"4047","13295",1,0,0,0
"14280","13295",1,0,0,0
"13234","13295",1,0,0,0
"15044","13295",1,2,1,1
"6431","13295",1,0,0,0
"4613","13295",1,0,0,0
"10240","13295",1,0,0,0
"1759","13295",1,0,0,0
"12790","13295",1,0,0,0
"11203","13295",1,0,0,0
"14794","13295",1,0,0,0
"16191","13295",1,0,0,0
"1180","13295",1,0,0,0
"6119","13295",1,4,2,1
"14381","13295",1,0,0,0
"2589","13295",1,0,0,0
"696","13295",1,6,5,3
"9096","13295",1,0,0,0
"2736","13295",1,0,0,0
"1547","13295",1,0,0,0
"8486","13295",1,0,0,0
"11317","13295",1,0,0,0
"7293","13295",1,0,0,0
"13259","2012",1,0,0,0
"14280","2012",1,4,3,3
"13234","2012",1,0,0,0
"6431","2012",1,0,0,0
"4613","2012",1,0,0,0
"11185","2012",1,0,0,0
"11701","2012",1,1,0,0
"11404","2012",1,6,5,5
"3663","2012",1,6,6,6
"14423","2012",1,0,0,0
"1759","2012",1,2,2,1
"5846","2012",1,0,0,0
"11203","2012",1,0,0,0
"14794","2012",1,0,0,0
"16191","2012",1,0,0,0
"11394","2012",1,5,5,4
"16753","2012",1,0,0,0
"1605","2012",1,0,0,0
"13549","2012",1,3,2,1
"6119","2012",1,0,0,0
"14381","2012",1,0,0,0
"10975","2012",1,0,0,0
"3825","2012",1,0,0,0
"696","2012",1,6,5,2
"9096","2012",1,0,0,0
"15392","2012",1,6,6,6
"6189","2012",1,0,0,0
"4499","2012",1,5,4,4
"12226","2012",1,0,0,0
"12709","2012",1,0,0,0
"8422","2012",1,1,0,0
"1830","2012",1,0,0,0
"9602","2012",1,0,0,0
"9223","2012",1,0,0,0
"14183","2012",1,0,0,0
"12558","2012",1,0,0,0
"15401","2012",1,0,0,0
"7422","2012",1,0,0,0
"5536","2012",1,6,6,6
"8163","2012",1,3,3,2
"13295","2012",1,0,0,0
"15044","14044",1,0,0,0
"10240","14044",1,0,0,0
"82","14044",1,0,0,0
"11203","14044",1,0,0,0
"14794","14044",1,0,0,0
"1605","14044",1,0,0,0
"3825","14044",1,0,0,0
"696","14044",1,0,0,0
