"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.31553","OTU_97.152",0.961279461279461,9,8,7
"OTU_97.186","OTU_97.1779",0.951943679216406,9,9,9
"OTU_97.24025","OTU_97.154",0.949341903887358,9,9,9
"OTU_97.23396","OTU_97.118",0.936026936026936,9,9,9
"OTU_97.38958","OTU_97.34",0.924854606672789,7,7,7
"OTU_97.34371","OTU_97.13450",0.918885827976737,9,9,9
"OTU_97.488","OTU_97.1399",0.917508417508417,9,9,9
"OTU_97.1397","OTU_97.154",0.910774410774411,6,5,5
"OTU_97.381","OTU_97.15603",0.910774410774411,9,9,9
"OTU_97.266","OTU_97.15337",0.909550045913682,9,9,9
"OTU_97.8830","OTU_97.31673",0.908784817875727,9,9,9
"OTU_97.42522","OTU_97.720",0.907407407407407,9,9,9
"OTU_97.6580","OTU_97.35940",0.904040404040404,8,8,8
"OTU_97.34371","OTU_97.73",0.900826446280992,7,7,7
"OTU_97.288","OTU_97.42522",0.898989898989899,9,9,9
"OTU_97.34683","OTU_97.38931",0.898989898989899,9,9,9
"OTU_97.3545","OTU_97.13145",0.895622895622896,8,7,7
"OTU_97.288","OTU_97.720",0.883838383838384,9,9,9
"OTU_97.38273","OTU_97.57",0.878787878787879,9,9,9
"OTU_97.9679","OTU_97.15051",0.875420875420875,9,9,8
"OTU_97.38248","OTU_97.286",0.875420875420875,9,8,8
"OTU_97.4904","OTU_97.346",0.873737373737374,8,8,7
"OTU_97.401","OTU_97.158",0.867003367003367,8,8,8
"OTU_97.57","OTU_97.4859",0.865319865319865,7,6,5
"OTU_97.31428","OTU_97.226",0.861952861952862,9,9,9
"OTU_97.255","OTU_97.27756",0.861952861952862,9,9,9
"OTU_97.2847","OTU_97.2918",0.861952861952862,8,8,8
"OTU_97.33390","OTU_97.1635",0.86026936026936,9,9,9
"OTU_97.86","OTU_97.27883",0.86026936026936,7,7,6
"OTU_97.24475","OTU_97.35176",0.860116314661769,7,7,7
"OTU_97.5474","OTU_97.510",0.859351086623814,9,9,9
"OTU_97.23942","OTU_97.35268",0.858585858585859,8,8,7
"OTU_97.38931","OTU_97.39459",0.858585858585859,9,9,9
"OTU_97.37","OTU_97.34703",0.858585858585859,9,9,9
"OTU_97.40820","OTU_97.21012",0.858585858585859,9,9,8
"OTU_97.22942","OTU_97.1486",0.858585858585859,8,8,8
"OTU_97.4859","OTU_97.2918",0.856902356902357,6,6,6
"OTU_97.36771","OTU_97.22942",0.856902356902357,9,9,9
"OTU_97.1486","OTU_97.13522",0.856902356902357,7,6,6
"OTU_97.1635","OTU_97.23009",0.856902356902357,7,7,6
"OTU_97.86","OTU_97.3002",0.856902356902357,6,6,6
"OTU_97.10619","OTU_97.2918",0.853535353535353,9,9,9
"OTU_97.38273","OTU_97.2918",0.853535353535353,7,7,6
"OTU_97.38818","OTU_97.11972",0.853535353535353,9,9,9
"OTU_97.36559","OTU_97.3002",0.853535353535353,9,9,9
"OTU_97.25986","OTU_97.3016",0.852923171104989,9,9,9
"OTU_97.38273","OTU_97.5561",0.852617079889807,9,9,9
"OTU_97.43194","OTU_97.37636",0.85016835016835,6,6,4
"OTU_97.10619","OTU_97.57",0.85016835016835,9,9,9
"OTU_97.7662","OTU_97.27756",0.848484848484849,9,9,9
"OTU_97.175","OTU_97.16633",0.848484848484849,8,8,8
"OTU_97.211","OTU_97.35940",0.848484848484849,9,7,7
"OTU_97.36559","OTU_97.27883",0.848484848484849,5,4,4
"OTU_97.255","OTU_97.7662",0.846801346801347,9,9,9
"OTU_97.10619","OTU_97.5561",0.846801346801347,9,9,9
"OTU_97.7287","OTU_97.37987",0.846801346801347,8,8,8
"OTU_97.33220","OTU_97.121",0.846801346801347,9,9,9
"OTU_97.23942","OTU_97.37636",0.845117845117845,0,0,0
"OTU_97.16034","OTU_97.3002",0.844199571472299,9,9,9
"OTU_97.2847","OTU_97.38273",0.843434343434343,8,8,8
"OTU_97.5561","OTU_97.4859",0.843434343434343,6,6,5
"OTU_97.35268","OTU_97.39377",0.841750841750842,5,3,0
"OTU_97.28512","OTU_97.1397",0.841750841750842,6,5,5
"OTU_97.18018","OTU_97.43023",0.841750841750842,8,8,8
"OTU_97.86","OTU_97.3016",0.841750841750842,8,8,8
"OTU_97.23942","OTU_97.39377",0.84006734006734,7,6,3
"OTU_97.9982","OTU_97.5474",0.84006734006734,9,8,7
"OTU_97.29794","OTU_97.43210",0.84006734006734,9,9,8
"OTU_97.18018","OTU_97.15133",0.84006734006734,9,9,9
"OTU_97.27883","OTU_97.43213",0.84006734006734,7,7,7
"OTU_97.16695","OTU_97.28399",0.839608203244567,3,2,1
"OTU_97.23942","OTU_97.571",0.838383838383838,3,2,0
"OTU_97.37636","OTU_97.18624",0.836700336700337,9,9,9
"OTU_97.25726","OTU_97.3324",0.836700336700337,8,8,6
"OTU_97.43213","OTU_97.3016",0.836700336700337,7,7,7
