"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.32588","OTU_97.33687",1,8,8,8
"OTU_97.32588","OTU_97.12461",1,6,6,6
"OTU_97.33687","OTU_97.37599",1,5,5,5
"OTU_97.12461","OTU_97.37599",1,8,8,8
"OTU_97.32588","OTU_97.37902",1,7,6,6
"OTU_97.33687","OTU_97.37902",1,5,5,4
"OTU_97.37599","OTU_97.37902",1,9,9,9
"OTU_97.32588","OTU_97.39144",1,8,8,8
"OTU_97.12461","OTU_97.39144",1,7,7,7
"OTU_97.37599","OTU_97.39144",1,7,7,6
"OTU_97.37902","OTU_97.39144",1,9,9,9
"OTU_97.9679","OTU_97.15051",1,9,9,8
"OTU_97.37902","OTU_97.158",1,3,3,2
"OTU_97.401","OTU_97.158",1,8,8,8
"OTU_97.255","OTU_97.7662",1,9,9,9
"OTU_97.255","OTU_97.27756",1,9,9,9
"OTU_97.488","OTU_97.1399",1,9,9,9
"OTU_97.6580","OTU_97.35940",1,8,8,8
"OTU_97.42522","OTU_97.720",1,9,9,9
"OTU_97.38248","OTU_97.286",1,9,8,8
"OTU_97.2881","OTU_97.4651",1,8,8,8
"OTU_97.266","OTU_97.15337",1,9,9,9
"OTU_97.683","OTU_97.181",1,3,2,1
"OTU_97.35268","OTU_97.34294",1,9,9,9
"OTU_97.39144","OTU_97.41674",1,0,0,0
"OTU_97.35268","OTU_97.41674",1,7,7,7
"OTU_97.34294","OTU_97.41674",1,9,9,9
"OTU_97.33687","OTU_97.27813",1,0,0,0
"OTU_97.37565","OTU_97.27813",1,5,4,2
"OTU_97.37636","OTU_97.18624",1,9,9,9
"OTU_97.36971","OTU_97.16265",1,7,7,7
"OTU_97.12461","OTU_97.10089",1,0,0,0
"OTU_97.12461","OTU_97.2847",1,0,0,0
"OTU_97.10089","OTU_97.2847",1,8,8,8
"OTU_97.2847","OTU_97.38273",1,8,8,8
"OTU_97.10089","OTU_97.5287",1,8,8,8
"OTU_97.5287","OTU_97.5561",1,9,9,8
"OTU_97.38273","OTU_97.57",1,9,9,9
"OTU_97.5287","OTU_97.57",1,9,9,9
"OTU_97.5561","OTU_97.57",1,9,9,9
"OTU_97.1397","OTU_97.24025",1,8,7,7
"OTU_97.24025","OTU_97.154",1,9,9,9
"OTU_97.28399","OTU_97.7657",1,6,6,5
"OTU_97.7657","OTU_97.4800",1,9,9,9
"OTU_97.7657","OTU_97.28748",1,8,8,8
"OTU_97.7475","OTU_97.7287",1,6,6,6
"OTU_97.2297","OTU_97.7287",1,9,9,9
"OTU_97.32588","OTU_97.24636",1,0,0,0
"OTU_97.12461","OTU_97.24636",1,0,0,0
"OTU_97.41674","OTU_97.24636",1,0,0,0
"OTU_97.34683","OTU_97.24636",1,5,5,4
"OTU_97.24636","OTU_97.37987",1,0,0,0
"OTU_97.34683","OTU_97.29561",1,8,8,7
"OTU_97.37987","OTU_97.29561",1,0,0,0
"OTU_97.39144","OTU_97.22716",1,0,0,0
"OTU_97.10089","OTU_97.22716",1,1,1,0
"OTU_97.12461","OTU_97.24475",1,4,4,3
"OTU_97.37599","OTU_97.24475",1,0,0,0
"OTU_97.24636","OTU_97.24475",1,4,4,4
"OTU_97.29561","OTU_97.24475",1,6,5,5
"OTU_97.22716","OTU_97.24475",1,6,6,6
"OTU_97.37987","OTU_97.24870",1,9,9,9
"OTU_97.32588","OTU_97.25475",1,0,0,0
"OTU_97.12461","OTU_97.25475",1,0,0,0
"OTU_97.37599","OTU_97.25475",1,0,0,0
"OTU_97.158","OTU_97.25475",1,0,0,0
"OTU_97.24870","OTU_97.25475",1,7,6,6
"OTU_97.32588","OTU_97.29574",1,0,0,0
"OTU_97.39144","OTU_97.29574",1,0,0,0
"OTU_97.5561","OTU_97.29574",1,0,0,0
"OTU_97.24636","OTU_97.29574",1,1,0,0
"OTU_97.22716","OTU_97.29574",1,8,7,4
"OTU_97.25475","OTU_97.29574",1,2,1,0
"OTU_97.37599","OTU_97.29803",1,0,0,0
"OTU_97.39144","OTU_97.29803",1,0,0,0
"OTU_97.28748","OTU_97.29803",1,4,3,1
"OTU_97.24636","OTU_97.29803",1,9,8,7
"OTU_97.24475","OTU_97.29803",1,9,9,9
"OTU_97.28399","OTU_97.34780",1,7,7,7
"OTU_97.24870","OTU_97.34780",1,0,0,0
"OTU_97.25475","OTU_97.34780",1,0,0,0
"OTU_97.29803","OTU_97.34780",1,5,4,4
"OTU_97.36971","OTU_97.34925",1,0,0,0
"OTU_97.16265","OTU_97.34925",1,1,1,1
"OTU_97.24475","OTU_97.34925",1,3,3,1
"OTU_97.24870","OTU_97.34925",1,7,6,6
"OTU_97.29803","OTU_97.34925",1,5,5,4
"OTU_97.34683","OTU_97.35176",1,9,9,9
"OTU_97.24475","OTU_97.35176",1,7,7,7
"OTU_97.24870","OTU_97.35176",1,0,0,0
"OTU_97.29803","OTU_97.35176",1,9,9,9
"OTU_97.37987","OTU_97.35852",1,0,0,0
"OTU_97.29561","OTU_97.35852",1,9,9,9
"OTU_97.39144","OTU_97.38665",1,0,0,0
"OTU_97.36971","OTU_97.38665",1,0,0,0
"OTU_97.16265","OTU_97.38665",1,0,0,0
"OTU_97.5561","OTU_97.38665",1,1,1,0
"OTU_97.37987","OTU_97.38665",1,9,9,9
"OTU_97.24870","OTU_97.38665",1,9,9,9
"OTU_97.35176","OTU_97.38665",1,0,0,0
"OTU_97.32588","OTU_97.38720",1,0,0,0
"OTU_97.28748","OTU_97.38720",1,0,0,0
"OTU_97.37987","OTU_97.38720",1,3,3,3
"OTU_97.24475","OTU_97.38720",1,1,1,1
"OTU_97.29574","OTU_97.38720",1,3,1,0
"OTU_97.35176","OTU_97.38720",1,0,0,0
"OTU_97.32588","OTU_97.38931",1,0,0,0
"OTU_97.4651","OTU_97.38931",1,0,0,0
