"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.381","OTU_97.15603",0.955157636975819,9,9,9
"OTU_97.186","OTU_97.1779",0.944291398836853,9,9,9
"OTU_97.488","OTU_97.1399",0.937710437710438,9,9,9
"OTU_97.9679","OTU_97.15051",0.936179981634527,9,9,8
"OTU_97.31553","OTU_97.152",0.93510866238139,9,8,7
"OTU_97.255","OTU_97.27756",0.933884297520661,9,9,9
"OTU_97.255","OTU_97.7662",0.93373125191307,9,9,9
"OTU_97.8830","OTU_97.31673",0.933578206305479,9,9,9
"OTU_97.266","OTU_97.15337",0.932812978267524,9,9,9
"OTU_97.24025","OTU_97.154",0.932659932659933,9,9,9
"OTU_97.288","OTU_97.720",0.927303336394245,9,9,9
"OTU_97.38248","OTU_97.286",0.923171104989287,9,8,8
"OTU_97.2881","OTU_97.4651",0.922558922558923,8,8,8
"OTU_97.6580","OTU_97.35940",0.917049280685644,8,8,8
"OTU_97.23396","OTU_97.118",0.909703091521273,9,9,9
"OTU_97.43425","OTU_97.6433",0.905723905723906,9,9,9
"OTU_97.7662","OTU_97.27756",0.903275176002449,9,9,9
"OTU_97.288","OTU_97.42522",0.902203856749311,9,9,9
"OTU_97.34528","OTU_97.19082",0.899602081420263,9,9,7
"OTU_97.1397","OTU_97.154",0.898224670951944,6,5,5
"OTU_97.1397","OTU_97.24025",0.897153351698806,8,7,7
"OTU_97.4904","OTU_97.346",0.895316804407714,8,8,7
"OTU_97.16529","OTU_97.34528",0.894092439546985,2,0,0
"OTU_97.16265","OTU_97.34800",0.893633302724212,8,8,8
"OTU_97.34528","OTU_97.13145",0.891796755433119,9,8,8
"OTU_97.11618","OTU_97.14746",0.890572390572391,0,0,0
"OTU_97.24809","OTU_97.34528",0.889654116926844,9,9,9
"OTU_97.31428","OTU_97.226",0.888888888888889,9,9,9
"OTU_97.401","OTU_97.158",0.888735843281298,8,8,8
"OTU_97.19082","OTU_97.13145",0.888276706458525,7,7,6
"OTU_97.38958","OTU_97.34",0.888123660850934,7,7,7
"OTU_97.34800","OTU_97.39377",0.887205387205387,8,8,8
"OTU_97.42522","OTU_97.720",0.886440159167432,9,9,9
"OTU_97.5785","OTU_97.14116",0.886440159167432,8,8,8
"OTU_97.86","OTU_97.13936",0.885521885521885,8,8,8
"OTU_97.211","OTU_97.35940",0.883838383838384,9,7,7
"OTU_97.33220","OTU_97.121",0.883838383838384,9,9,9
"OTU_97.41577","OTU_97.34528",0.882920110192837,6,4,3
"OTU_97.16529","OTU_97.13145",0.882614018977655,1,0,0
"OTU_97.3545","OTU_97.13145",0.882614018977655,8,7,7
"OTU_97.10101","OTU_97.34458",0.882154882154882,6,6,5
"OTU_97.34371","OTU_97.73",0.882154882154882,7,7,7
"OTU_97.34528","OTU_97.3161",0.8818487909397,3,3,0
"OTU_97.337","OTU_97.424",0.880930517294154,6,4,3
"OTU_97.10101","OTU_97.11618",0.88047138047138,0,0,0
"OTU_97.43362","OTU_97.11618",0.88047138047138,9,9,9
"OTU_97.10101","OTU_97.14746",0.88047138047138,7,7,7
"OTU_97.32564","OTU_97.14746",0.879093970003061,0,0,0
"OTU_97.43425","OTU_97.12419",0.879093970003061,9,9,9
"OTU_97.24809","OTU_97.13145",0.879093970003061,4,4,4
"OTU_97.15337","OTU_97.155",0.878787878787879,9,9,9
"OTU_97.34371","OTU_97.13450",0.878787878787879,9,9,9
"OTU_97.37","OTU_97.13145",0.878634833180288,7,5,5
"OTU_97.32087","OTU_97.14116",0.878481787572697,8,8,8
"OTU_97.25726","OTU_97.3324",0.877869605142332,8,8,6
"OTU_97.11659","OTU_97.121",0.876951331496786,8,8,8
"OTU_97.19082","OTU_97.3161",0.876798285889195,4,4,2
"OTU_97.24809","OTU_97.16529",0.876339149066422,2,2,1
"OTU_97.5785","OTU_97.121",0.87603305785124,9,9,9
"OTU_97.768","OTU_97.14746",0.875880012243649,0,0,0
"OTU_97.39171","OTU_97.510",0.875726966636058,8,8,8
"OTU_97.211","OTU_97.6580",0.875420875420875,7,7,7
"OTU_97.33390","OTU_97.1635",0.874961738598102,9,9,9
"OTU_97.175","OTU_97.16633",0.87465564738292,8,8,8
"OTU_97.11618","OTU_97.32564",0.874196510560147,8,8,8
"OTU_97.14116","OTU_97.121",0.874196510560147,6,6,6
"OTU_97.32087","OTU_97.5785",0.874043464952556,9,9,9
"OTU_97.11618","OTU_97.768",0.873737373737374,2,2,0
"OTU_97.286","OTU_97.4651",0.873431282522192,9,9,8
"OTU_97.11618","OTU_97.34458",0.872053872053872,2,1,0
"OTU_97.34458","OTU_97.14746",0.872053872053872,6,6,5
