"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.951","OTU_97.12419",0.955922865013774,8,8,8
"OTU_97.43637","OTU_97.12419",0.954545454545455,7,7,7
"OTU_97.7657","OTU_97.7287",0.924089378634833,0,0,0
"OTU_97.32087","OTU_97.121",0.921181512090603,9,9,9
"OTU_97.11659","OTU_97.121",0.91934496479951,8,8,8
"OTU_97.43637","OTU_97.18018",0.919191919191919,9,9,9
"OTU_97.5785","OTU_97.121",0.919038873584328,9,9,9
"OTU_97.32588","OTU_97.37599",0.918426691153964,5,5,5
"OTU_97.43210","OTU_97.12419",0.917508417508417,0,0,0
"OTU_97.43210","OTU_97.22942",0.916131007040098,8,8,8
"OTU_97.43210","OTU_97.9316",0.914753596571778,0,0,0
"OTU_97.7657","OTU_97.39459",0.914294459749005,9,9,9
"OTU_97.9316","OTU_97.951",0.914141414141414,8,8,8
"OTU_97.6433","OTU_97.12419",0.912610958065504,9,9,9
"OTU_97.16695","OTU_97.7657",0.912457912457912,1,1,0
"OTU_97.951","OTU_97.15133",0.912457912457912,8,8,8
"OTU_97.9316","OTU_97.43023",0.912457912457912,7,7,7
"OTU_97.12419","OTU_97.43023",0.912457912457912,6,6,5
"OTU_97.7657","OTU_97.35852",0.912304866850321,8,8,8
"OTU_97.7287","OTU_97.39459",0.912304866850321,1,0,0
"OTU_97.43637","OTU_97.15133",0.912304866850321,9,9,9
"OTU_97.24025","OTU_97.154",0.910774410774411,9,9,9
"OTU_97.24927","OTU_97.7657",0.910774410774411,9,8,8
"OTU_97.16695","OTU_97.7287",0.910774410774411,0,0,0
"OTU_97.7657","OTU_97.24636",0.910774410774411,5,5,4
"OTU_97.7657","OTU_97.10938",0.910774410774411,4,4,4
"OTU_97.7657","OTU_97.10385",0.910774410774411,0,0,0
"OTU_97.7657","OTU_97.510",0.91062136516682,1,1,0
"OTU_97.18018","OTU_97.43023",0.91062136516682,8,8,8
"OTU_97.57","OTU_97.2918",0.9092439546985,9,9,9
"OTU_97.16529","OTU_97.12419",0.9092439546985,0,0,0
"OTU_97.360","OTU_97.37599",0.909090909090909,3,1,0
"OTU_97.1096","OTU_97.37599",0.909090909090909,8,8,8
"OTU_97.2487","OTU_97.37599",0.909090909090909,5,5,5
"OTU_97.15869","OTU_97.37599",0.909090909090909,8,8,8
"OTU_97.67","OTU_97.37599",0.909090909090909,7,7,6
"OTU_97.1656","OTU_97.37599",0.909090909090909,7,7,7
"OTU_97.33687","OTU_97.37599",0.909090909090909,5,5,5
"OTU_97.360","OTU_97.37902",0.909090909090909,3,1,0
"OTU_97.1096","OTU_97.37902",0.909090909090909,8,8,8
"OTU_97.2487","OTU_97.37902",0.909090909090909,8,8,8
"OTU_97.15869","OTU_97.37902",0.909090909090909,9,8,8
"OTU_97.67","OTU_97.37902",0.909090909090909,9,9,8
"OTU_97.1656","OTU_97.37902",0.909090909090909,6,6,6
"OTU_97.32588","OTU_97.37902",0.909090909090909,7,6,6
"OTU_97.33687","OTU_97.37902",0.909090909090909,5,5,4
"OTU_97.37599","OTU_97.37902",0.909090909090909,9,9,9
"OTU_97.67","OTU_97.39144",0.909090909090909,6,5,5
"OTU_97.37599","OTU_97.39144",0.909090909090909,7,7,6
"OTU_97.37902","OTU_97.39144",0.909090909090909,9,9,9
"OTU_97.37902","OTU_97.401",0.909090909090909,0,0,0
"OTU_97.37599","OTU_97.158",0.909090909090909,2,0,0
"OTU_97.37902","OTU_97.158",0.909090909090909,3,3,2
"OTU_97.401","OTU_97.158",0.909090909090909,8,8,8
"OTU_97.401","OTU_97.3264",0.909090909090909,3,1,1
"OTU_97.158","OTU_97.3264",0.909090909090909,9,9,7
"OTU_97.175","OTU_97.331",0.909090909090909,2,2,2
"OTU_97.158","OTU_97.4904",0.909090909090909,1,0,0
"OTU_97.158","OTU_97.384",0.909090909090909,5,4,2
"OTU_97.401","OTU_97.585",0.909090909090909,0,0,0
"OTU_97.158","OTU_97.585",0.909090909090909,0,0,0
"OTU_97.4904","OTU_97.585",0.909090909090909,0,0,0
"OTU_97.384","OTU_97.585",0.909090909090909,0,0,0
"OTU_97.585","OTU_97.213",0.909090909090909,0,0,0
"OTU_97.158","OTU_97.379",0.909090909090909,4,2,2
"OTU_97.211","OTU_97.35940",0.909090909090909,9,7,7
"OTU_97.266","OTU_97.15337",0.909090909090909,9,9,9
"OTU_97.266","OTU_97.155",0.909090909090909,8,8,8
