"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.32588","OTU_97.37902",1,7,6,6
"OTU_97.7657","OTU_97.35852",1,8,8,8
"OTU_97.12279","OTU_97.36155",1,9,9,8
"OTU_97.6625","OTU_97.16529",1,8,8,8
"OTU_97.9316","OTU_97.951",1,8,8,8
"OTU_97.43637","OTU_97.18018",1,9,9,9
"OTU_97.43637","OTU_97.12419",1,7,7,7
"OTU_97.951","OTU_97.15133",1,8,8,8
"OTU_97.86","OTU_97.16034",1,8,8,8
"OTU_97.32588","OTU_97.37599",0.998469543924089,5,5,5
"OTU_97.41577","OTU_97.13004",0.998469543924089,4,4,2
"OTU_97.43637","OTU_97.951",0.995102540557086,8,8,8
"OTU_97.34780","OTU_97.5474",0.992959902050811,6,6,6
"OTU_97.1201","OTU_97.5474",0.98852157943067,9,9,8
"OTU_97.40762","OTU_97.14259",0.988215488215488,6,6,6
"OTU_97.15133","OTU_97.43023",0.988215488215488,7,7,7
"OTU_97.34780","OTU_97.14",0.984695439240894,8,8,8
"OTU_97.16034","OTU_97.43213",0.982399755127028,9,9,8
"OTU_97.43213","OTU_97.13936",0.982399755127028,9,8,7
"OTU_97.29794","OTU_97.43210",0.98132843587389,9,9,8
"OTU_97.13028","OTU_97.34703",0.981175390266299,1,1,0
"OTU_97.33687","OTU_97.37902",0.97979797979798,5,5,4
"OTU_97.13004","OTU_97.16539",0.979338842975207,5,4,4
"OTU_97.36155","OTU_97.41577",0.971074380165289,4,3,2
"OTU_97.20215","OTU_97.5474",0.970615243342516,0,0,0
"OTU_97.36155","OTU_97.13004",0.968625650443832,7,7,7
"OTU_97.5474","OTU_97.510",0.967248239975513,9,9,9
"OTU_97.29574","OTU_97.14",0.95959595959596,8,8,8
"OTU_97.86","OTU_97.13936",0.95821854912764,8,8,8
"OTU_97.25726","OTU_97.29794",0.954239363330272,7,7,7
"OTU_97.12279","OTU_97.13004",0.944444444444444,9,9,9
"OTU_97.37902","OTU_97.39144",0.934343434343434,9,9,9
"OTU_97.39459","OTU_97.10938",0.934343434343434,3,3,2
"OTU_97.14","OTU_97.1201",0.934343434343434,6,6,6
"OTU_97.5561","OTU_97.57",0.932812978267524,9,9,9
"OTU_97.29561","OTU_97.39459",0.928680746862565,8,8,8
"OTU_97.24809","OTU_97.16529",0.92791551882461,2,2,1
"OTU_97.24475","OTU_97.38720",0.924548515457606,1,1,1
"OTU_97.37599","OTU_97.37902",0.922558922558923,9,9,9
"OTU_97.951","OTU_97.12419",0.920875420875421,8,8,8
"OTU_97.33687","OTU_97.39144",0.919191919191919,4,4,3
"OTU_97.37","OTU_97.18729",0.912917049280686,3,3,1
"OTU_97.23396","OTU_97.118",0.910927456382002,9,9,9
"OTU_97.33687","OTU_97.37599",0.910774410774411,5,5,5
"OTU_97.29803","OTU_97.39459",0.9092439546985,9,9,8
"OTU_97.6625","OTU_97.13004",0.9092439546985,8,8,8
