"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"1671","4422",1,0,0,0
"5468","2430",1,0,0,0
"3945","2860",1,7,7,7
"3227","2705",1,0,0,0
"2705","5160",1,0,0,0
"3026","548",1,0,0,0
"5414","189",1,0,0,0
"3026","189",1,0,0,0
"548","189",1,0,0,0
"3026","4871",1,0,0,0
"548","4871",1,0,0,0
"189","4871",1,0,0,0
"189","5273",1,0,0,0
"548","1618",1,0,0,0
"189","1618",1,0,0,0
"5273","1618",1,0,0,0
"3032","4793",1,0,0,0
"1478","1571",1,1,1,1
"4964","4457",1,0,0,0
"4835","358",1,0,0,0
"5273","1490",1,2,1,0
"3032","1490",1,0,0,0
"1490","1429",1,0,0,0
"1490","2961",1,1,0,0
"1429","2961",1,0,0,0
"1490","411",1,0,0,0
"5273","720",1,0,0,0
"1618","720",1,0,0,0
"5273","5252",1,0,0,0
"720","5252",1,3,3,2
"4060","3071",1,0,0,0
"5273","2286",1,0,0,0
"1618","2286",1,8,8,6
"4608","2286",1,0,0,0
"5273","153",1,0,0,0
"1618","153",1,0,0,0
"1478","153",1,0,0,0
"1571","153",1,0,0,0
"720","153",1,0,0,0
"4608","153",1,0,0,0
"2286","153",1,0,0,0
"4608","2425",1,0,0,0
"2286","2425",1,0,0,0
"153","1596",1,0,0,0
"2425","1596",1,0,0,0
"4608","4440",1,0,0,0
"1596","4440",1,0,0,0
"1478","464",1,0,0,0
"1571","464",1,0,0,0
"720","464",1,0,0,0
"5273","4702",1,0,0,0
"1618","4702",1,2,2,1
"4608","4702",1,0,0,0
"153","4702",1,0,0,0
"2425","4702",1,0,0,0
"1596","4702",1,0,0,0
"464","4702",1,0,0,0
"1478","40",1,2,1,1
"1571","40",1,0,0,0
"4608","40",1,0,0,0
"153","40",1,0,0,0
"2425","40",1,0,0,0
"1596","40",1,0,0,0
"464","40",1,0,0,0
"4702","40",1,0,0,0
"4321","1931",1,0,0,0
"1478","3957",1,0,0,0
"1571","3957",1,0,0,0
"1490","3957",1,9,8,7
"4608","3957",1,0,0,0
"464","3957",1,0,0,0
"4608","4002",1,1,1,1
"3957","4002",1,0,0,0
"464","5575",1,0,0,0
"40","5575",1,0,0,0
"3957","5575",1,0,0,0
"4002","5575",1,0,0,0
"3957","1633",1,0,0,0
"4002","1633",1,0,0,0
"5575","1633",1,0,0,0
"2430","5045",1,0,0,0
"2705","5045",1,1,1,1
"1490","5045",1,0,0,0
"2906","5045",1,3,1,0
"2286","5045",1,0,0,0
"153","5045",1,0,0,0
"1596","5045",1,1,1,1
"4002","5045",1,0,0,0
"5217","4831",1,0,0,0
"5468","4831",1,0,0,0
"2430","4831",1,0,0,0
"2705","4831",1,0,0,0
"5160","4831",1,5,4,4
"5273","4831",1,0,0,0
"1618","4831",1,0,0,0
"1490","4831",1,0,0,0
"720","4831",1,0,0,0
"2906","4831",1,0,0,0
"2286","4831",1,0,0,0
"153","4831",1,0,0,0
"1596","4831",1,0,0,0
"4702","4831",1,0,0,0
"4002","4831",1,0,0,0
"5575","4831",1,0,0,0
"5045","4831",1,3,2,1
"3032","1336",1,0,0,0
"4793","1336",1,0,0,0
"720","1336",1,0,0,0
"5252","1336",1,0,0,0
"3957","1336",1,0,0,0
"3032","1376",1,0,0,0
"720","1376",1,0,0,0
"5252","1376",1,0,0,0
"3957","1376",1,0,0,0
"5575","1376",1,0,0,0
"1336","1376",1,0,0,0
"2015","4243",1,0,0,0
"2015","4357",1,0,0,0
"4243","4357",1,0,0,0
"2286","3954",1,0,0,0
"153","3954",1,7,6,3
"3957","3147",1,0,0,0
"3954","3147",1,1,1,1
"4831","5394",1,0,0,0
"5313","797",1,0,0,0
"1549","2928",1,0,0,0
"5583","215",1,0,0,0
"4363","4414",1,1,1,0
"1429","4414",1,0,0,0
"3246","4414",1,9,7,5
"4608","4414",1,0,0,0
"153","4414",1,0,0,0
