"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.15869","OTU_97.29850",1,8,8,8
"OTU_97.2487","OTU_97.67",1,7,6,6
"OTU_97.1096","OTU_97.16585",1,9,9,8
"OTU_97.29850","OTU_97.35535",1,9,9,9
"OTU_97.1096","OTU_97.6703",1,9,9,9
"OTU_97.29850","OTU_97.6703",1,9,9,9
"OTU_97.16585","OTU_97.6703",1,8,8,8
"OTU_97.16585","OTU_97.1656",1,9,9,9
"OTU_97.2487","OTU_97.32588",1,8,8,7
"OTU_97.16585","OTU_97.32588",1,8,8,8
"OTU_97.35535","OTU_97.32588",1,8,8,8
"OTU_97.1656","OTU_97.32588",1,8,8,8
"OTU_97.2487","OTU_97.33687",1,9,8,7
"OTU_97.15869","OTU_97.33687",1,8,8,8
"OTU_97.35535","OTU_97.33687",1,9,8,7
"OTU_97.1656","OTU_97.33687",1,9,9,9
"OTU_97.32588","OTU_97.33687",1,8,8,8
"OTU_97.2487","OTU_97.12461",1,7,6,5
"OTU_97.15869","OTU_97.12461",1,8,8,8
"OTU_97.29850","OTU_97.12461",1,8,8,7
"OTU_97.6703","OTU_97.12461",1,9,8,6
"OTU_97.37599","OTU_97.37902",1,9,9,9
"OTU_97.15869","OTU_97.39144",1,9,9,9
"OTU_97.29850","OTU_97.39144",1,8,8,8
"OTU_97.37599","OTU_97.39144",1,7,7,6
"OTU_97.402","OTU_97.7623",1,9,9,6
"OTU_97.26561","OTU_97.31428",1,9,9,8
"OTU_97.31428","OTU_97.226",1,9,9,9
"OTU_97.9679","OTU_97.15051",1,9,9,8
"OTU_97.402","OTU_97.29387",1,9,9,7
"OTU_97.401","OTU_97.158",1,8,8,8
"OTU_97.158","OTU_97.3264",1,9,9,7
"OTU_97.255","OTU_97.7662",1,9,9,9
"OTU_97.255","OTU_97.27756",1,9,9,9
"OTU_97.7662","OTU_97.27756",1,9,9,9
"OTU_97.360","OTU_97.16633",1,0,0,0
"OTU_97.175","OTU_97.16633",1,8,8,8
"OTU_97.4904","OTU_97.346",1,8,8,7
"OTU_97.401","OTU_97.501",1,1,1,1
"OTU_97.585","OTU_97.488",1,2,2,2
"OTU_97.488","OTU_97.1399",1,9,9,9
"OTU_97.7623","OTU_97.281",1,4,2,2
"OTU_97.501","OTU_97.281",1,1,1,1
"OTU_97.501","OTU_97.424",1,7,4,3
"OTU_97.755","OTU_97.424",1,4,4,4
"OTU_97.365","OTU_97.424",1,8,7,6
"OTU_97.211","OTU_97.35940",1,9,7,7
"OTU_97.6580","OTU_97.35940",1,8,8,8
"OTU_97.360","OTU_97.674",1,7,6,5
"OTU_97.365","OTU_97.674",1,9,9,7
"OTU_97.360","OTU_97.361",1,0,0,0
"OTU_97.585","OTU_97.361",1,0,0,0
"OTU_97.785","OTU_97.663",1,3,3,3
"OTU_97.10199","OTU_97.339",1,5,5,4
"OTU_97.288","OTU_97.42522",1,9,9,9
"OTU_97.288","OTU_97.720",1,9,9,9
"OTU_97.42522","OTU_97.720",1,9,9,9
"OTU_97.365","OTU_97.38248",1,2,1,1
"OTU_97.663","OTU_97.38248",1,6,5,4
"OTU_97.785","OTU_97.286",1,8,8,6
"OTU_97.663","OTU_97.286",1,8,8,8
"OTU_97.38248","OTU_97.286",1,9,8,8
"OTU_97.38248","OTU_97.2881",1,7,7,7
"OTU_97.286","OTU_97.2881",1,8,8,8
"OTU_97.38248","OTU_97.4651",1,8,8,8
"OTU_97.286","OTU_97.4651",1,9,9,8
"OTU_97.2881","OTU_97.4651",1,8,8,8
"OTU_97.266","OTU_97.15337",1,9,9,9
"OTU_97.266","OTU_97.155",1,8,8,8
"OTU_97.15337","OTU_97.155",1,9,9,9
"OTU_97.361","OTU_97.617",1,6,6,4
"OTU_97.360","OTU_97.23942",1,7,5,3
"OTU_97.181","OTU_97.23942",1,9,9,9
"OTU_97.35268","OTU_97.34294",1,9,9,9
"OTU_97.35268","OTU_97.41674",1,7,7,7
"OTU_97.34294","OTU_97.41674",1,9,9,9
"OTU_97.181","OTU_97.571",1,9,9,9
"OTU_97.34294","OTU_97.571",1,6,6,5
"OTU_97.34294","OTU_97.43194",1,8,8,7
"OTU_97.571","OTU_97.43194",1,8,8,8
"OTU_97.35268","OTU_97.37076",1,9,9,9
"OTU_97.41674","OTU_97.37076",1,9,9,9
"OTU_97.571","OTU_97.37076",1,9,9,8
"OTU_97.43194","OTU_97.37076",1,8,8,7
"OTU_97.35268","OTU_97.37565",1,9,9,9
"OTU_97.41674","OTU_97.27813",1,9,9,9
"OTU_97.571","OTU_97.27813",1,8,8,8
"OTU_97.43194","OTU_97.27813",1,8,8,8
"OTU_97.683","OTU_97.18624",1,7,7,7
"OTU_97.37636","OTU_97.18624",1,9,9,9
"OTU_97.571","OTU_97.43372",1,9,9,9
"OTU_97.43194","OTU_97.43372",1,5,5,5
"OTU_97.37076","OTU_97.43372",1,9,9,9
"OTU_97.27813","OTU_97.43372",1,7,7,7
"OTU_97.23942","OTU_97.21746",1,8,8,8
"OTU_97.41674","OTU_97.21746",1,8,8,8
"OTU_97.37636","OTU_97.26563",1,7,6,2
"OTU_97.26563","OTU_97.36971",1,5,5,3
"OTU_97.26563","OTU_97.16265",1,9,9,9
"OTU_97.36971","OTU_97.16265",1,7,7,7
"OTU_97.26563","OTU_97.34800",1,8,8,8
"OTU_97.36971","OTU_97.34800",1,8,8,8
"OTU_97.16265","OTU_97.34800",1,8,8,8
"OTU_97.181","OTU_97.39377",1,9,8,8
"OTU_97.26563","OTU_97.39377",1,8,8,8
"OTU_97.16265","OTU_97.39377",1,9,9,9
"OTU_97.34800","OTU_97.39377",1,8,8,8
"OTU_97.23942","OTU_97.39184",1,9,9,9
"OTU_97.34294","OTU_97.39184",1,9,9,9
"OTU_97.21746","OTU_97.39184",1,5,4,4
"OTU_97.683","OTU_97.699",1,9,9,9
"OTU_97.37636","OTU_97.699",1,9,9,9
"OTU_97.18624","OTU_97.699",1,9,9,9
"OTU_97.23922","OTU_97.15271",1,8,7,7
"OTU_97.23922","OTU_97.10619",1,3,3,1
"OTU_97.15271","OTU_97.27041",1,8,8,8
"OTU_97.15271","OTU_97.10089",1,8,8,8
"OTU_97.15271","OTU_97.38273",1,9,9,9
"OTU_97.27041","OTU_97.38273",1,9,9,9
"OTU_97.37903","OTU_97.35521",1,7,7,7
"OTU_97.27041","OTU_97.4859",1,8,7,7
"OTU_97.35521","OTU_97.4859",1,9,9,8
"OTU_97.35521","OTU_97.294",1,6,4,3
"OTU_97.2847","OTU_97.1397",1,8,8,6
"OTU_97.28512","OTU_97.1397",1,6,5,5
"OTU_97.28512","OTU_97.24025",1,8,8,8
"OTU_97.28512","OTU_97.154",1,8,8,8
"OTU_97.24025","OTU_97.154",1,9,9,9
"OTU_97.24168","OTU_97.1681",1,7,7,7
"OTU_97.144","OTU_97.15190",1,8,8,8
"OTU_97.2847","OTU_97.2918",1,8,8,8
"OTU_97.24927","OTU_97.28748",1,8,8,7
"OTU_97.4800","OTU_97.28526",1,8,8,8
"OTU_97.28748","OTU_97.11618",1,7,6,6
"OTU_97.43362","OTU_97.11618",1,9,9,9
"OTU_97.7287","OTU_97.37987",1,8,8,8
"OTU_97.7657","OTU_97.29561",1,9,9,8
"OTU_97.4800","OTU_97.18153",1,8,8,8
"OTU_97.24927","OTU_97.32564",1,7,7,7
"OTU_97.43362","OTU_97.32564",1,9,8,7
"OTU_97.11618","OTU_97.32564",1,8,8,8
"OTU_97.24636","OTU_97.32564",1,9,8,8
"OTU_97.37987","OTU_97.39245",1,9,9,8
"OTU_97.768","OTU_97.39245",1,9,9,9
"OTU_97.10101","OTU_97.14746",1,7,7,7
"OTU_97.33056","OTU_97.14746",1,8,8,8
"OTU_97.18153","OTU_97.14746",1,7,7,7
"OTU_97.24636","OTU_97.741",1,4,4,4
"OTU_97.32564","OTU_97.741",1,9,9,9
"OTU_97.37987","OTU_97.18382",1,9,9,9
"OTU_97.768","OTU_97.18382",1,9,9,9
"OTU_97.39245","OTU_97.18382",1,7,7,6
"OTU_97.7475","OTU_97.33679",1,9,9,9
"OTU_97.39245","OTU_97.33679",1,8,8,8
"OTU_97.14746","OTU_97.22716",1,9,9,9
"OTU_97.33056","OTU_97.29574",1,9,9,6
"OTU_97.37987","OTU_97.38665",1,9,9,9
"OTU_97.18382","OTU_97.38665",1,9,9,9
"OTU_97.33679","OTU_97.38665",1,9,9,9
"OTU_97.10101","OTU_97.39459",1,8,8,8
"OTU_97.32564","OTU_97.5659",1,8,8,8
"OTU_97.35237","OTU_97.734",1,4,4,1
"OTU_97.43362","OTU_97.1654",1,7,7,7
"OTU_97.24636","OTU_97.1654",1,9,8,7
"OTU_97.22716","OTU_97.1654",1,9,9,8
"OTU_97.5659","OTU_97.1654",1,9,9,8
"OTU_97.27152","OTU_97.10938",1,0,0,0
"OTU_97.33056","OTU_97.10938",1,9,9,9
"OTU_97.22716","OTU_97.10938",1,9,9,9
"OTU_97.7475","OTU_97.20215",1,9,9,9
"OTU_97.768","OTU_97.20215",1,7,7,7
"OTU_97.39245","OTU_97.20215",1,9,8,7
"OTU_97.29574","OTU_97.1201",1,9,9,8
"OTU_97.34780","OTU_97.1201",1,8,8,8
"OTU_97.9982","OTU_97.5474",1,9,8,7
"OTU_97.18153","OTU_97.30402",1,9,9,9
"OTU_97.32564","OTU_97.30402",1,9,9,9
"OTU_97.5659","OTU_97.30402",1,9,9,9
"OTU_97.24870","OTU_97.37368",1,9,8,7
"OTU_97.25475","OTU_97.37368",1,9,9,9
"OTU_97.29561","OTU_97.23136",1,9,9,8
"OTU_97.741","OTU_97.23136",1,7,6,6
"OTU_97.39459","OTU_97.23136",1,9,9,8
"OTU_97.43362","OTU_97.28270",1,6,6,6
"OTU_97.7287","OTU_97.28270",1,8,8,8
"OTU_97.23136","OTU_97.28270",1,7,7,4
"OTU_97.16695","OTU_97.510",1,9,9,9
"OTU_97.33056","OTU_97.5894",1,8,8,8
"OTU_97.18153","OTU_97.5894",1,8,7,7
"OTU_97.29574","OTU_97.5894",1,6,6,4
"OTU_97.10938","OTU_97.5894",1,9,9,9
"OTU_97.10101","OTU_97.824",1,7,7,5
"OTU_97.35237","OTU_97.824",1,9,9,7
"OTU_97.734","OTU_97.824",1,8,8,8
"OTU_97.2297","OTU_97.1693",1,9,9,8
"OTU_97.7287","OTU_97.30088",1,8,8,7
"OTU_97.38665","OTU_97.30088",1,8,8,8
"OTU_97.39245","OTU_97.29317",1,8,8,7
"OTU_97.38665","OTU_97.29317",1,7,7,7
"OTU_97.9982","OTU_97.28280",1,8,7,7
"OTU_97.10101","OTU_97.8409",1,8,7,6
"OTU_97.37368","OTU_97.8409",1,4,4,3
"OTU_97.1201","OTU_97.10385",1,9,9,8
"OTU_97.186","OTU_97.1779",1,9,9,9
"OTU_97.37","OTU_97.12279",1,9,9,9
"OTU_97.36155","OTU_97.13028",1,8,7,6
"OTU_97.41706","OTU_97.6625",1,8,8,8
"OTU_97.6625","OTU_97.16529",1,8,8,8
"OTU_97.41706","OTU_97.34479",1,8,8,8
"OTU_97.13028","OTU_97.34479",1,9,8,4
"OTU_97.37","OTU_97.13004",1,9,9,9
"OTU_97.41577","OTU_97.16539",1,9,8,8
"OTU_97.34479","OTU_97.16539",1,6,6,4
"OTU_97.24809","OTU_97.34528",1,9,9,9
"OTU_97.6625","OTU_97.19082",1,9,8,8
"OTU_97.16529","OTU_97.19082",1,8,8,7
"OTU_97.6625","OTU_97.10485",1,8,8,8
"OTU_97.16529","OTU_97.10485",1,9,9,9
"OTU_97.19082","OTU_97.10485",1,5,5,5
"OTU_97.41706","OTU_97.28027",1,3,3,2
"OTU_97.41577","OTU_97.28027",1,7,7,7
"OTU_97.26863","OTU_97.28027",1,8,8,8
"OTU_97.13028","OTU_97.14926",1,5,5,2
"OTU_97.41577","OTU_97.22576",1,6,6,6
"OTU_97.16539","OTU_97.22576",1,9,9,9
"OTU_97.22261","OTU_97.29005",1,8,7,5
"OTU_97.34479","OTU_97.14061",1,9,9,8
"OTU_97.22261","OTU_97.14061",1,8,7,6
"OTU_97.26863","OTU_97.14061",1,3,3,0
"OTU_97.14926","OTU_97.2464",1,7,7,7
"OTU_97.22576","OTU_97.2464",1,9,9,8
"OTU_97.13028","OTU_97.18729",1,8,8,4
"OTU_97.22261","OTU_97.18729",1,9,9,8
"OTU_97.14926","OTU_97.18729",1,7,7,7
"OTU_97.36155","OTU_97.3911",1,8,7,6
"OTU_97.29005","OTU_97.3911",1,7,7,7
"OTU_97.41706","OTU_97.24464",1,9,9,8
"OTU_97.28027","OTU_97.24464",1,8,8,8
"OTU_97.20153","OTU_97.1677",1,9,9,9
"OTU_97.13450","OTU_97.73",1,7,7,7
"OTU_97.26200","OTU_97.40820",1,1,1,1
"OTU_97.40820","OTU_97.21012",1,9,9,8
"OTU_97.21012","OTU_97.11659",1,8,8,8
"OTU_97.32087","OTU_97.5785",1,9,9,9
"OTU_97.11659","OTU_97.14116",1,7,7,5
"OTU_97.32087","OTU_97.14116",1,8,8,8
"OTU_97.5785","OTU_97.14116",1,8,8,8
"OTU_97.617","OTU_97.10428",1,2,2,2
"OTU_97.11659","OTU_97.19163",1,9,9,8
"OTU_97.21012","OTU_97.33220",1,8,8,8
"OTU_97.32087","OTU_97.121",1,9,9,9
"OTU_97.10428","OTU_97.22041",1,2,0,0
"OTU_97.5074","OTU_97.43632",1,8,8,8
"OTU_97.41989","OTU_97.8514",1,8,7,6
"OTU_97.43632","OTU_97.14259",1,8,8,8
"OTU_97.40762","OTU_97.30556",1,7,7,7
"OTU_97.25726","OTU_97.7542",1,7,7,7
"OTU_97.5074","OTU_97.7542",1,9,9,9
"OTU_97.8514","OTU_97.7542",1,9,9,9
"OTU_97.29794","OTU_97.36771",1,8,8,8
"OTU_97.14259","OTU_97.36771",1,9,9,9
"OTU_97.20153","OTU_97.8830",1,8,8,8
"OTU_97.1677","OTU_97.8830",1,8,8,8
"OTU_97.30556","OTU_97.8830",1,4,3,1
"OTU_97.20153","OTU_97.31673",1,8,8,8
"OTU_97.5074","OTU_97.36663",1,9,9,9
"OTU_97.40762","OTU_97.36663",1,7,7,7
"OTU_97.14259","OTU_97.36663",1,9,9,9
"OTU_97.36771","OTU_97.22942",1,9,9,9
"OTU_97.30556","OTU_97.26883",1,8,8,8
"OTU_97.14259","OTU_97.1486",1,9,9,9
"OTU_97.22942","OTU_97.1486",1,8,8,8
"OTU_97.25726","OTU_97.13522",1,7,7,6
"OTU_97.22942","OTU_97.13522",1,9,8,7
"OTU_97.26883","OTU_97.13522",1,9,8,7
"OTU_97.43425","OTU_97.6433",1,9,9,9
"OTU_97.6433","OTU_97.9316",1,9,9,9
"OTU_97.43425","OTU_97.18018",1,8,8,8
"OTU_97.43637","OTU_97.18018",1,9,9,9
"OTU_97.951","OTU_97.18018",1,7,7,7
"OTU_97.43425","OTU_97.12419",1,9,9,9
"OTU_97.6433","OTU_97.12419",1,9,9,9
"OTU_97.9316","OTU_97.12419",1,8,8,7
"OTU_97.18018","OTU_97.12419",1,9,9,9
"OTU_97.9316","OTU_97.15133",1,8,8,8
"OTU_97.951","OTU_97.15133",1,8,8,8
"OTU_97.18018","OTU_97.15133",1,9,9,9
"OTU_97.951","OTU_97.43023",1,9,9,8
"OTU_97.31553","OTU_97.152",1,9,8,7
"OTU_97.7542","OTU_97.3161",1,9,9,9
"OTU_97.31673","OTU_97.3161",1,7,6,5
"OTU_97.31673","OTU_97.3545",1,9,8,7
"OTU_97.1677","OTU_97.13145",1,4,4,3
"OTU_97.3324","OTU_97.13145",1,8,8,8
"OTU_97.3545","OTU_97.13145",1,8,7,7
"OTU_97.20597","OTU_97.170",1,7,7,6
"OTU_97.13820","OTU_97.41441",1,9,9,9
"OTU_97.33897","OTU_97.33390",1,9,9,9
"OTU_97.20597","OTU_97.33390",1,8,8,7
"OTU_97.170","OTU_97.33390",1,9,9,9
"OTU_97.170","OTU_97.1635",1,9,9,8
"OTU_97.41441","OTU_97.1635",1,9,9,9
"OTU_97.41948","OTU_97.1635",1,5,5,3
"OTU_97.33390","OTU_97.1635",1,9,9,9
"OTU_97.13820","OTU_97.23009",1,5,5,4
"OTU_97.170","OTU_97.23009",1,9,9,9
"OTU_97.41948","OTU_97.23009",1,5,5,5
"OTU_97.6755","OTU_97.11641",1,6,6,6
"OTU_97.86","OTU_97.16034",1,8,8,8
"OTU_97.16034","OTU_97.36559",1,9,9,9
"OTU_97.11641","OTU_97.34765",1,9,9,8
"OTU_97.36559","OTU_97.34765",1,7,6,5
"OTU_97.16034","OTU_97.43213",1,9,9,8
"OTU_97.34765","OTU_97.43213",1,9,9,9
"OTU_97.11641","OTU_97.13936",1,9,9,8
"OTU_97.36559","OTU_97.3002",1,9,9,9
"OTU_97.34765","OTU_97.3002",1,7,7,7
"OTU_97.36559","OTU_97.25028",1,7,6,6
"OTU_97.36559","OTU_97.25986",1,9,9,9
"OTU_97.34765","OTU_97.3016",1,9,9,8
"OTU_97.25986","OTU_97.3016",1,9,9,9
"OTU_97.571","OTU_97.43403",1,8,8,8
"OTU_97.43194","OTU_97.43403",1,9,8,7
"OTU_97.27813","OTU_97.43403",1,8,8,8
"OTU_97.21746","OTU_97.43403",1,7,7,7
"OTU_97.15051","OTU_97.578",1,5,5,3
"OTU_97.7888","OTU_97.578",1,2,1,1
"OTU_97.381","OTU_97.15603",1,9,9,9
"OTU_97.23396","OTU_97.118",1,9,9,9
"OTU_97.20153","OTU_97.3324",0.999387817569636,7,7,5
"OTU_97.38958","OTU_97.34",0.99862258953168,7,7,7
"OTU_97.19163","OTU_97.33220",0.998469543924089,8,8,8
"OTU_97.23942","OTU_97.34294",0.998163452708907,9,9,9
"OTU_97.11641","OTU_97.25028",0.996479951025406,9,9,8
"OTU_97.40762","OTU_97.404",0.994949494949495,5,5,4
"OTU_97.785","OTU_97.38248",0.994337312519131,7,6,4
"OTU_97.5785","OTU_97.121",0.994031221303949,9,9,9
"OTU_97.37987","OTU_97.28270",0.993419038873584,7,7,7
"OTU_97.41853","OTU_97.13450",0.993419038873584,3,2,0
"OTU_97.34371","OTU_97.13450",0.992347719620447,9,9,9
"OTU_97.41706","OTU_97.36155",0.992194674012856,9,9,9
"OTU_97.21012","OTU_97.19163",0.991123354759718,7,6,6
"OTU_97.9451","OTU_97.1486",0.990205081114172,9,9,9
"OTU_97.3264","OTU_97.772",0.98989898989899,5,3,2
"OTU_97.885","OTU_97.26200",0.98989898989899,4,4,3
"OTU_97.23942","OTU_97.39377",0.98989898989899,7,6,3
"OTU_97.13028","OTU_97.14061",0.989286807468626,8,8,5
"OTU_97.20215","OTU_97.28270",0.988827670645852,7,7,7
"OTU_97.41853","OTU_97.3161",0.987297214569942,7,7,5
"OTU_97.35237","OTU_97.37368",0.986685032139578,5,4,2
"OTU_97.39322","OTU_97.10513",0.985919804101622,0,0,0
"OTU_97.23922","OTU_97.4859",0.984695439240894,8,8,7
"OTU_97.37987","OTU_97.768",0.982858891949801,9,9,9
"OTU_97.34479","OTU_97.28027",0.97979797979798,5,4,2
"OTU_97.29574","OTU_97.9982",0.976277930823385,8,8,7
"OTU_97.33220","OTU_97.121",0.974747474747475,9,9,9
"OTU_97.11641","OTU_97.16034",0.974747474747475,9,9,9
"OTU_97.8830","OTU_97.31673",0.974288337924702,9,9,9
"OTU_97.6755","OTU_97.7475",0.971533516988062,6,6,5
"OTU_97.20597","OTU_97.23009",0.970921334557698,9,8,7
"OTU_97.586","OTU_97.26200",0.96969696969697,3,1,1
"OTU_97.13028","OTU_97.10485",0.96969696969697,3,1,1
"OTU_97.43210","OTU_97.36771",0.968778696051423,8,8,8
"OTU_97.29561","OTU_97.35852",0.96678910315274,9,9,9
"OTU_97.10089","OTU_97.2847",0.966176920722375,8,8,8
"OTU_97.2487","OTU_97.6703",0.963422099785736,9,9,8
"OTU_97.11659","OTU_97.32087",0.961432506887052,7,7,7
"OTU_97.9451","OTU_97.36663",0.954851545760637,9,9,9
"OTU_97.9316","OTU_97.951",0.954851545760637,8,8,8
"OTU_97.33056","OTU_97.1654",0.954545454545455,8,7,6
"OTU_97.67","OTU_97.35535",0.95393327211509,8,8,8
"OTU_97.14259","OTU_97.13522",0.953168044077135,9,9,9
"OTU_97.23922","OTU_97.27041",0.952249770431589,4,3,1
"OTU_97.40820","OTU_97.5785",0.951178451178451,8,7,7
"OTU_97.34683","OTU_97.38931",0.95102540557086,9,9,9
"OTU_97.41577","OTU_97.18729",0.949647995102541,8,8,7
"OTU_97.384","OTU_97.755",0.94811753902663,6,4,3
"OTU_97.26561","OTU_97.226",0.947811447811448,9,9,9
"OTU_97.27883","OTU_97.3002",0.947352310988675,6,6,5
"OTU_97.37987","OTU_97.33679",0.943985307621671,8,8,8
"OTU_97.1096","OTU_97.39144",0.941077441077441,7,7,7
"OTU_97.213","OTU_97.41674",0.940465258647077,7,7,7
"OTU_97.43210","OTU_97.59",0.940006121824304,9,9,9
"OTU_97.586","OTU_97.365",0.93939393939394,0,0,0
"OTU_97.27152","OTU_97.34458",0.93939393939394,0,0,0
"OTU_97.10938","OTU_97.29317",0.93939393939394,2,1,0
"OTU_97.1635","OTU_97.23009",0.93939393939394,7,7,6
"OTU_97.523","OTU_97.578",0.93939393939394,0,0,0
"OTU_97.5785","OTU_97.19163",0.937863483318029,8,8,7
"OTU_97.13028","OTU_97.13004",0.937251300887665,4,2,1
"OTU_97.384","OTU_97.337",0.934343434343434,7,7,5
"OTU_97.35268","OTU_97.27813",0.933884297520661,9,9,9
"OTU_97.40820","OTU_97.10428",0.932966023875115,7,7,4
"OTU_97.16034","OTU_97.25986",0.932812978267524,9,9,9
"OTU_97.1397","OTU_97.24025",0.932200795837159,8,7,7
"OTU_97.3324","OTU_97.31673",0.932047750229568,7,7,6
"OTU_97.5785","OTU_97.22041",0.931741659014386,6,6,5
"OTU_97.14746","OTU_97.5894",0.929292929292929,9,8,7
"OTU_97.170","OTU_97.41441",0.929292929292929,9,9,7
"OTU_97.1397","OTU_97.2918",0.929139883685338,7,7,7
"OTU_97.33056","OTU_97.741",0.927609427609428,6,6,6
"OTU_97.24870","OTU_97.30088",0.927609427609428,9,9,8
"OTU_97.3002","OTU_97.25986",0.924854606672789,9,9,9
"OTU_97.38665","OTU_97.734",0.924395469850015,8,8,7
"OTU_97.31673","OTU_97.43023",0.924242424242424,1,1,0
"OTU_97.365","OTU_97.421",0.923783287419651,3,2,2
"OTU_97.5074","OTU_97.1486",0.92363024181206,7,7,7
"OTU_97.545","OTU_97.7888",0.922558922558923,4,3,2
"OTU_97.41577","OTU_97.26863",0.922558922558923,7,7,7
"OTU_97.14746","OTU_97.35852",0.921793694520967,7,7,7
"OTU_97.86","OTU_97.43213",0.921181512090603,7,7,7
"OTU_97.523","OTU_97.810",0.920875420875421,2,2,2
"OTU_97.24870","OTU_97.29317",0.920875420875421,8,8,8
"OTU_97.11659","OTU_97.121",0.920875420875421,8,8,8
"OTU_97.16539","OTU_97.14926",0.920569329660239,7,7,7
"OTU_97.43362","OTU_97.30402",0.919957147229875,7,7,7
"OTU_97.1654","OTU_97.23136",0.919957147229875,6,6,5
"OTU_97.34925","OTU_97.20215",0.919804101622283,8,8,8
"OTU_97.3264","OTU_97.24927",0.919191919191919,2,2,1
"OTU_97.663","OTU_97.2881",0.919038873584328,9,9,9
"OTU_97.1096","OTU_97.2487",0.9178145087236,9,9,8
"OTU_97.211","OTU_97.6580",0.917508417508417,7,7,7
"OTU_97.12279","OTU_97.41853",0.917508417508417,9,9,9
"OTU_97.14926","OTU_97.31673",0.917508417508417,6,6,3
"OTU_97.37076","OTU_97.43403",0.917508417508417,6,6,6
"OTU_97.7657","OTU_97.1654",0.916590143862871,9,8,8
"OTU_97.4800","OTU_97.30402",0.916284052647689,8,8,8
"OTU_97.360","OTU_97.33390",0.915977961432507,3,3,2
"OTU_97.175","OTU_97.365",0.915365779002143,3,2,2
"OTU_97.12461","OTU_97.37599",0.914141414141414,8,8,8
