"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.1096","OTU_97.2487",1,9,9,8
"OTU_97.15869","OTU_97.29850",1,8,8,8
"OTU_97.1096","OTU_97.67",1,8,8,7
"OTU_97.2487","OTU_97.67",1,7,6,6
"OTU_97.15869","OTU_97.67",1,9,9,8
"OTU_97.1096","OTU_97.16585",1,9,9,8
"OTU_97.2487","OTU_97.16585",1,7,6,5
"OTU_97.29850","OTU_97.35535",1,9,9,9
"OTU_97.67","OTU_97.35535",1,8,8,8
"OTU_97.16585","OTU_97.35535",1,8,8,6
"OTU_97.1096","OTU_97.6703",1,9,9,9
"OTU_97.2487","OTU_97.6703",1,9,9,8
"OTU_97.29850","OTU_97.6703",1,9,9,9
"OTU_97.16585","OTU_97.6703",1,8,8,8
"OTU_97.15869","OTU_97.1656",1,8,8,8
"OTU_97.67","OTU_97.1656",1,8,8,8
"OTU_97.16585","OTU_97.1656",1,9,9,9
"OTU_97.2487","OTU_97.32588",1,8,8,7
"OTU_97.15869","OTU_97.32588",1,8,8,8
"OTU_97.29850","OTU_97.32588",1,7,7,7
"OTU_97.67","OTU_97.32588",1,9,8,8
"OTU_97.16585","OTU_97.32588",1,8,8,8
"OTU_97.35535","OTU_97.32588",1,8,8,8
"OTU_97.1656","OTU_97.32588",1,8,8,8
"OTU_97.2487","OTU_97.33687",1,9,8,7
"OTU_97.15869","OTU_97.33687",1,8,8,8
"OTU_97.67","OTU_97.33687",1,8,8,8
"OTU_97.35535","OTU_97.33687",1,9,8,7
"OTU_97.1656","OTU_97.33687",1,9,9,9
"OTU_97.32588","OTU_97.33687",1,8,8,8
"OTU_97.2487","OTU_97.12461",1,7,6,5
"OTU_97.15869","OTU_97.12461",1,8,8,8
"OTU_97.29850","OTU_97.12461",1,8,8,7
"OTU_97.6703","OTU_97.12461",1,9,8,6
"OTU_97.12461","OTU_97.37599",1,8,8,8
"OTU_97.37599","OTU_97.37902",1,9,9,9
"OTU_97.1096","OTU_97.39144",1,7,7,7
"OTU_97.15869","OTU_97.39144",1,9,9,9
"OTU_97.29850","OTU_97.39144",1,8,8,8
"OTU_97.37599","OTU_97.39144",1,7,7,6
"OTU_97.37902","OTU_97.39144",1,9,9,9
"OTU_97.402","OTU_97.7623",1,9,9,6
"OTU_97.26561","OTU_97.31428",1,9,9,8
"OTU_97.26561","OTU_97.226",1,9,9,9
"OTU_97.31428","OTU_97.226",1,9,9,9
"OTU_97.9679","OTU_97.15051",1,9,9,8
"OTU_97.402","OTU_97.29387",1,9,9,7
"OTU_97.360","OTU_97.800",1,6,4,3
"OTU_97.401","OTU_97.158",1,8,8,8
"OTU_97.158","OTU_97.3264",1,9,9,7
"OTU_97.255","OTU_97.7662",1,9,9,9
"OTU_97.255","OTU_97.27756",1,9,9,9
"OTU_97.7662","OTU_97.27756",1,9,9,9
"OTU_97.800","OTU_97.175",1,4,2,2
"OTU_97.360","OTU_97.16633",1,0,0,0
"OTU_97.175","OTU_97.16633",1,8,8,8
"OTU_97.158","OTU_97.39322",1,8,7,6
"OTU_97.4904","OTU_97.346",1,8,8,7
"OTU_97.401","OTU_97.501",1,1,1,1
"OTU_97.384","OTU_97.755",1,6,4,3
"OTU_97.586","OTU_97.772",1,9,8,6
"OTU_97.3264","OTU_97.772",1,5,3,2
"OTU_97.39322","OTU_97.379",1,2,2,2
"OTU_97.360","OTU_97.365",1,6,6,4
"OTU_97.175","OTU_97.365",1,3,2,2
"OTU_97.501","OTU_97.488",1,5,4,3
"OTU_97.585","OTU_97.488",1,2,2,2
"OTU_97.488","OTU_97.1399",1,9,9,9
"OTU_97.7623","OTU_97.281",1,4,2,2
"OTU_97.501","OTU_97.281",1,1,1,1
"OTU_97.384","OTU_97.337",1,7,7,5
"OTU_97.501","OTU_97.424",1,7,4,3
"OTU_97.755","OTU_97.424",1,4,4,4
"OTU_97.365","OTU_97.424",1,8,7,6
"OTU_97.885","OTU_97.26200",1,4,4,3
"OTU_97.401","OTU_97.211",1,6,4,4
"OTU_97.211","OTU_97.6580",1,7,7,7
"OTU_97.211","OTU_97.35940",1,9,7,7
"OTU_97.6580","OTU_97.35940",1,8,8,8
"OTU_97.360","OTU_97.674",1,7,6,5
"OTU_97.31428","OTU_97.674",1,6,3,2
"OTU_97.365","OTU_97.674",1,9,9,7
"OTU_97.4904","OTU_97.421",1,6,5,4
"OTU_97.379","OTU_97.421",1,8,6,3
"OTU_97.365","OTU_97.421",1,3,2,2
"OTU_97.674","OTU_97.421",1,1,1,1
"OTU_97.360","OTU_97.361",1,0,0,0
"OTU_97.585","OTU_97.361",1,0,0,0
"OTU_97.785","OTU_97.663",1,3,3,3
"OTU_97.755","OTU_97.545",1,6,4,3
"OTU_97.10199","OTU_97.339",1,5,5,4
"OTU_97.288","OTU_97.42522",1,9,9,9
"OTU_97.288","OTU_97.720",1,9,9,9
"OTU_97.42522","OTU_97.720",1,9,9,9
"OTU_97.365","OTU_97.38248",1,2,1,1
"OTU_97.785","OTU_97.38248",1,7,6,4
"OTU_97.663","OTU_97.38248",1,6,5,4
"OTU_97.785","OTU_97.286",1,8,8,6
"OTU_97.361","OTU_97.286",1,7,7,7
"OTU_97.663","OTU_97.286",1,8,8,8
"OTU_97.38248","OTU_97.286",1,9,8,8
"OTU_97.785","OTU_97.2881",1,9,8,6
"OTU_97.663","OTU_97.2881",1,9,9,9
"OTU_97.38248","OTU_97.2881",1,7,7,7
"OTU_97.286","OTU_97.2881",1,8,8,8
"OTU_97.38248","OTU_97.4651",1,8,8,8
"OTU_97.286","OTU_97.4651",1,9,9,8
"OTU_97.2881","OTU_97.4651",1,8,8,8
"OTU_97.545","OTU_97.7888",1,4,3,2
"OTU_97.523","OTU_97.810",1,2,2,2
"OTU_97.266","OTU_97.15337",1,9,9,9
"OTU_97.266","OTU_97.155",1,8,8,8
"OTU_97.15337","OTU_97.155",1,9,9,9
"OTU_97.361","OTU_97.617",1,6,6,4
"OTU_97.360","OTU_97.23942",1,7,5,3
"OTU_97.181","OTU_97.23942",1,9,9,9
"OTU_97.23942","OTU_97.35268",1,8,8,7
"OTU_97.23942","OTU_97.34294",1,9,9,9
"OTU_97.35268","OTU_97.34294",1,9,9,9
"OTU_97.213","OTU_97.41674",1,7,7,7
"OTU_97.35268","OTU_97.41674",1,7,7,7
"OTU_97.34294","OTU_97.41674",1,9,9,9
"OTU_97.181","OTU_97.571",1,9,9,9
"OTU_97.34294","OTU_97.571",1,6,6,5
"OTU_97.181","OTU_97.43194",1,8,8,8
"OTU_97.34294","OTU_97.43194",1,8,8,7
"OTU_97.571","OTU_97.43194",1,8,8,8
"OTU_97.35268","OTU_97.37076",1,9,9,9
"OTU_97.41674","OTU_97.37076",1,9,9,9
"OTU_97.571","OTU_97.37076",1,9,9,8
"OTU_97.43194","OTU_97.37076",1,8,8,7
"OTU_97.23942","OTU_97.37565",1,9,9,7
"OTU_97.35268","OTU_97.37565",1,9,9,9
"OTU_97.35268","OTU_97.27813",1,9,9,9
"OTU_97.34294","OTU_97.27813",1,6,6,6
"OTU_97.41674","OTU_97.27813",1,9,9,9
"OTU_97.571","OTU_97.27813",1,8,8,8
"OTU_97.43194","OTU_97.27813",1,8,8,8
