"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"OTU_97.37599","OTU_97.37902",0.909090909090909,9,9,9
"OTU_97.37902","OTU_97.401",0.909090909090909,0,0,0
"OTU_97.37599","OTU_97.158",0.909090909090909,2,0,0
"OTU_97.37902","OTU_97.158",0.909090909090909,3,3,2
"OTU_97.37902","OTU_97.585",0.909090909090909,0,0,0
"OTU_97.37599","OTU_97.213",0.909090909090909,2,2,1
"OTU_97.37902","OTU_97.213",0.909090909090909,5,4,3
"OTU_97.37599","OTU_97.266",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.266",0.909090909090909,0,0,0
"OTU_97.158","OTU_97.266",0.909090909090909,0,0,0
"OTU_97.37599","OTU_97.15337",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.15337",0.909090909090909,0,0,0
"OTU_97.158","OTU_97.15337",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.155",0.909090909090909,0,0,0
"OTU_97.37599","OTU_97.27152",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.27152",0.909090909090909,0,0,0
"OTU_97.37599","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.401","OTU_97.37903",0.909090909090909,1,1,1
"OTU_97.158","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.585","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.213","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.211","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.266","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.15337","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.155","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.27152","OTU_97.37903",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.10619",0.909090909090909,0,0,0
"OTU_97.37903","OTU_97.10619",0.909090909090909,6,6,5
"OTU_97.37599","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.39144","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.401","OTU_97.57",0.909090909090909,1,0,0
"OTU_97.158","OTU_97.57",0.909090909090909,5,3,3
"OTU_97.175","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.331","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.585","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.213","OTU_97.57",0.909090909090909,1,0,0
"OTU_97.365","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.211","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.361","OTU_97.57",0.909090909090909,1,1,0
"OTU_97.720","OTU_97.57",0.909090909090909,1,1,0
"OTU_97.266","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.15337","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.155","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.43194","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.37636","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.27152","OTU_97.57",0.909090909090909,0,0,0
"OTU_97.37903","OTU_97.57",0.909090909090909,8,8,8
"OTU_97.10619","OTU_97.57",0.909090909090909,9,9,9
"OTU_97.38273","OTU_97.57",0.909090909090909,9,9,9
"OTU_97.37902","OTU_97.24025",0.909090909090909,0,0,0
"OTU_97.37903","OTU_97.24025",0.909090909090909,3,3,1
"OTU_97.57","OTU_97.24025",0.909090909090909,5,4,3
"OTU_97.37902","OTU_97.154",0.909090909090909,0,0,0
"OTU_97.37903","OTU_97.154",0.909090909090909,3,3,1
"OTU_97.57","OTU_97.154",0.909090909090909,5,5,3
"OTU_97.37599","OTU_97.1681",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.1681",0.909090909090909,0,0,0
"OTU_97.158","OTU_97.1681",0.909090909090909,0,0,0
"OTU_97.37903","OTU_97.1681",0.909090909090909,0,0,0
"OTU_97.57","OTU_97.1681",0.909090909090909,1,0,0
"OTU_97.37599","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.39144","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.401","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.158","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.175","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.585","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.213","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.365","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.211","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.361","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.720","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.266","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.15337","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.155","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.43194","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.37636","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.27152","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.37903","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.10619","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.38273","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.57","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.24025","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.154","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.1681","OTU_97.144",0.909090909090909,0,0,0
"OTU_97.144","OTU_97.15190",0.909090909090909,8,8,8
"OTU_97.37599","OTU_97.184",0.909090909090909,0,0,0
"OTU_97.37902","OTU_97.184",0.909090909090909,0,0,0
"OTU_97.401","OTU_97.184",0.909090909090909,0,0,0
"OTU_97.158","OTU_97.184",0.909090909090909,0,0,0
"OTU_97.175","OTU_97.184",0.909090909090909,0,0,0
"OTU_97.585","OTU_97.184",0.909090909090909,1,1,1
"OTU_97.213","OTU_97.184",0.909090909090909,0,0,0
"OTU_97.211","OTU_97.184",0.909090909090909,0,0,0
