"taxa1","taxa2","value"
"12130","26",0.985881542699725
"14597","6331",0.984389348025712
"5536","7805",0.980716253443526
"98","14423",0.979338842975207
"5896","1849",0.970844811753903
"2385","5482",0.966942148760331
"11546","15983",0.962809917355372
"3825","9096",0.960169880624426
"2906","11575",0.959481175390266
"11394","14357",0.950528007346189
"6119","14381",0.949839302112029
"2361","16870",0.949265381083563
"11950","13344",0.945133149678604
"14044","14145",0.941460055096419
"5896","16444",0.940426997245179
"2012","3502",0.93732782369146
"11203","14794",0.934113865932048
"2385","13087",0.92688246097337
"675","5439",0.921258034894399
"3825","696",0.921143250688705
"8486","2063",0.91643709825528
"10590","7420",0.913567493112948
"7291","5292",0.910812672176309
"696","9096",0.908516988062443
"6006","14362",0.90564738292011
"6169","15983",0.898415977961432
"12508","11437",0.897497704315886
"12916","6431",0.893480257116621
"3474","9604",0.893365472910927
"16525","6431",0.892906336088154
"13295","14044",0.892217630853995
"2012","14044",0.890381083562902
"6111","12237",0.888544536271809
"13545","26",0.887741046831956
"14145","3502",0.885904499540863
"2385","11005",0.884986225895317
"13295","3502",0.883264462809917
"13033","12605",0.881772268135904
"5738","12508",0.876951331496786
"16312","12396",0.875114784205693
"6645","6538",0.873163452708907
"12508","6169",0.871786042240588
"6431","4613",0.870867768595041
"5536","751",0.868227731864096
"12943","12226",0.866735537190083
"1661","10784",0.865702479338843
"4954","16264",0.86489898989899
"1547","6538",0.864439853076217
"11950","14929",0.863406795224977
"13033","6431",0.861685032139578
"9867","6538",0.857782369146005
"14943","11203",0.857323232323232
"2736","6538",0.855831037649219
"14943","14794",0.85548668503214
"6169","11546",0.853879706152433
"12508","15983",0.853305785123967
"10849","4451",0.851928374655647
"2737","5395",0.850665748393021
"12508","11546",0.847910927456382
"3494","10784",0.839187327823691
"10487","14511",0.838383838383838
"4499","12943",0.837465564738292
"3663","16646",0.837350780532599
"12226","6538",0.836317722681359
"13234","15044",0.835399449035813
"327","8422",0.833677685950413
"11185","10240",0.832415059687787
"11701","10240",0.829545454545455
"1494","6331",0.826790633608815
"16646","14423",0.826446280991736
"6987","4499",0.826101928374656
"13344","2651",0.822658402203857
"675","14044",0.821051423324151
"11734","1759",0.818640955004591
"3470","13259",0.817952249770432
"7434","9579",0.814853076216713
"13344","8201",0.809113865932048
"1849","16444",0.800390266299357
"14044","3502",0.798094582185491
"13087","11005",0.796831955922865
"5925","4930",0.794765840220386
"13087","12462",0.794536271808999
"15401","7422",0.793732782369146
"675","7293",0.793503213957759
"5536","2012",0.7928145087236
"13295","2012",0.791551882460973
"14563","7101",0.7910927456382
"12462","11005",0.790289256198347
"2574","16421",0.790059687786961
"8058","11747",0.788911845730028
"12709","6538",0.788797061524334
"6189","12709",0.785238751147842
"9867","6189",0.784894398530762
"12558","15401",0.784664830119376
"6189","6538",0.784435261707989
"11185","11701",0.781106519742883
"8486","12558",0.77995867768595
"12057","11734",0.778925619834711
"11340","10649",0.776744719926538
"1424","8569",0.776515151515151
"2736","1547",0.775941230486685
"15044","16191",0.774908172635445
"2749","7346",0.773645546372819
"12057","1759",0.769168962350781
"13545","12130",0.765036730945822
"12558","11317",0.762511478420569
"14929","13344",0.76182277318641
"14597","9604",0.761248852157943
"2385","12462",0.76113406795225
"5828","4954",0.760674931129477
"11953","10975",0.75872359963269
"11747","577",0.75872359963269
"13087","5846",0.758034894398531
"11005","5846",0.758034894398531
"9867","6645",0.754706152433425
"751","8163",0.754476584022039
"7293","5738",0.753673094582185
"9441","15960",0.753213957759412
"14357","13975",0.750114784205693
"7791","14044",0.74965564738292
"16191","5896",0.74965564738292
"10975","9096",0.74931129476584
"8590","11979",0.749196510560147
"10784","4047",0.748852157943067
"675","5738",0.748852157943067
"12237","327",0.745408631772268
"5439","12508",0.744031221303949
"5896","10649",0.742194674012856
"12508","9067",0.741850321395776
"11747","3444",0.74024334251607
"12057","5846",0.733700642791552
"283","15044",0.731060606060606
"14931","1180",0.728994490358127
"9056","6538",0.728879706152433
"11734","5846",0.72842056932966
"1759","12790",0.727272727272727
"7101","15401",0.727043158861341
"1759","5846",0.726584022038568
"11404","1954",0.723943985307622
"12605","4613",0.723829201101928
"13033","12916",0.723370064279155
"16191","14357",0.722681359044995
"14563","15401",0.720844811753903
"2385","12057",0.720730027548209
"5439","5738",0.720615243342516
"5896","11340",0.720500459136823
"9056","4499",0.719467401285583
"2497","11747",0.71831955922865
"5439","7293",0.717860422405877
"11005","1759",0.716483011937557
"14280","13234",0.715909090909091
"4499","6538",0.713957759412305
"11317","15401",0.713957759412305
"8486","15401",0.713728191000918
"6331","9604",0.713613406795225
"6431","17278",0.712924701561065
"2385","5846",0.712809917355372
"13549","14931",0.712809917355372
"2589","9096",0.712809917355372
"6987","6538",0.712809917355372
"7293","13881",0.712809917355372
"577","3444",0.711662075298439
"6331","3474",0.711547291092746
"2012","14145",0.710743801652893
"13549","1180",0.710055096418733
"8486","7422",0.7089072543618
"5738","15983",0.708792470156106
"13947","9017",0.708677685950413
"3494","1661",0.707988980716253
"5846","16191",0.707070707070707
"13295","14145",0.70684113865932
"2073","6431",0.706382001836547
"3444","6331",0.706267217630854
"15044","5896",0.706267217630854
"12237","4737",0.706152433425161
"4499","12226",0.705808080808081
"2497","3444",0.705119375573921
"1661","4047",0.704660238751148
"242","11351",0.704086317722681
"8058","11706",0.704086317722681
"10038","1955",0.702823691460055
"2385","16191",0.702594123048669
"15044","5846",0.702364554637282
"9999","3444",0.701790633608815
"2736","9056",0.701675849403122
"675","12508",0.700642791551882
"7882","7890",0.700528007346189
"10487","4995",0.700298438934803
"14280","15044",0.700183654729109
"12558","7422",0.699380165289256
"1605","13549",0.698691460055096
"1547","9056",0.69777318640955
"6645","9056",0.69777318640955
"2589","696",0.696625344352617
"8201","2651",0.695362718089991
"15044","13033",0.694674012855831
"2385","5896",0.694214876033058
"5482","11005",0.693755739210285
"2736","12709",0.693411386593205
"2012","11546",0.693181818181818
"1547","6189",0.693067033976125
"6165","3667",0.692952249770432
"16191","1849",0.692952249770432
"13033","16191",0.692837465564738
"13549","10985",0.692378328741965
"8058","3444",0.692148760330578
"10100","14051",0.691689623507805
"11953","2589",0.691460055096419
"7293","7791",0.691345270890725
"10922","14866",0.689164370982553
"283","4047",0.688820018365473
"2736","6189",0.6883608815427
"16525","12916",0.68698347107438
"9867","9056",0.686409550045914
"6987","12943",0.686065197428834
"11706","3444",0.68560606060606
"12605","6431",0.684458218549128
"12074","3474",0.684113865932048
"7293","13295",0.683884297520661
"14929","2651",0.683769513314968
"14943","16191",0.683310376492195
"9602","10828",0.683080808080808
"5482","13087",0.682506887052342
"13087","1759",0.682162534435262
"1547","12709",0.681818181818182
"2497","577",0.681244260789715
"13033","4613",0.681129476584022
"2736","9867",0.680211202938476
"14929","8201",0.680211202938476
"5482","16191",0.679063360881543
"14511","4995",0.678948576675849
"2385","9056",0.67825987144169
"15983","11437",0.67757116620753
"13033","2073",0.677341597796143
"16688","10784",0.67722681359045
"2063","15401",0.676767676767677
"12201","8331",0.675160697887971
"11706","11747",0.675160697887971
"11734","12790",0.674127640036731
"10922","156",0.674127640036731
"9602","9223",0.673553719008264
"5846","5896",0.673553719008264
"6645","6189",0.673209366391185
"675","7791",0.671602387511478
"10649","9493",0.669651056014692
"13043","9056",0.667929292929293
"8058","577",0.6678145087236
"6365","16646",0.666896235078053
"9056","6987",0.66678145087236
"14145","12508",0.665633608815427
"9056","12174",0.66540404040404
"15044","3663",0.664026629935721
"675","5536",0.664026629935721
"8486","11317",0.663911845730028
"2089","16084",0.663682277318641
"9867","4499",0.662993572084481
"12943","6538",0.662075298438935
"14044","12508",0.660812672176309
"9067","11437",0.660583103764922
"9056","12709",0.660123966942149
"12462","5846",0.660009182736455
"14044","11437",0.659320477502296
"16191","11394",0.659090909090909
"283","16191",0.658976124885216
"5292","3444",0.658172635445363
"5482","5846",0.658057851239669
"1661","5846",0.657828282828283
"2651","4995",0.657598714416896
"9867","12709",0.65736914600551
"7293","5536",0.65702479338843
"6645","4499",0.656910009182736
"17049","1138",0.65564738292011
"3549","8807",0.65530303030303
"2385","12790",0.655188246097337
"12790","5846",0.655188246097337
"13975","13549",0.65461432506887
"9579","16961",0.654499540863177
"1661","16191",0.654155188246097
"5439","14044",0.653122130394858
"9326","10100",0.652777777777778
"3663","6365",0.651859504132231
"12943","12709",0.651515151515151
"4499","12709",0.651400367309458
"9056","12226",0.648415977961432
"16646","14943",0.646464646464647
"15044","12605",0.646349862258953
"11203","16191",0.646120293847567
"10828","14183",0.646005509641873
"9867","6987",0.644742883379247
"11950","8201",0.641299357208448
"13087","16191",0.639003673094582
"11953","16870",0.638774104683196
"16688","1661",0.638200183654729
"5896","9493",0.638085399449036
"2012","12508",0.637855831037649
"6189","9056",0.637741046831956
"6645","12709",0.637741046831956
"16191","13975",0.636363636363636
"11953","696",0.63613406795225
"16646","16191",0.635560146923783
"5846","1849",0.63544536271809
"7293","14145",0.634871441689624
"1547","4499",0.63441230486685
"6987","12226",0.63372359963269
"13947","9719",0.63372359963269
"16646","5846",0.633608815426997
"4206","10038",0.632116620752984
"5482","12462",0.631657483930211
"8058","2497",0.631542699724518
"16191","13549",0.631427915518825
"11004","16191",0.628787878787879
"11005","16191",0.628558310376492
"6006","10828",0.628558310376492
"16646","14794",0.626147842056933
"13033","13549",0.626147842056933
"14866","156",0.625229568411387
"16688","4047",0.625114784205693
"11734","16191",0.62465564738292
"12174","6538",0.62465564738292
"2736","4499",0.624540863177227
"13043","6538",0.624540863177227
"2385","1759",0.623737373737374
"1547","6645",0.62362258953168
"9056","12943",0.623048668503214
"8058","9999",0.622474747474748
"15392","3766",0.622130394857668
"16191","11340",0.622015610651974
"16525","4613",0.621900826446281
"7434","16961",0.619031221303949
"14597","3474",0.618572084481175
"13033","16525",0.617998163452709
"3663","11004",0.616391184573003
"2385","11734",0.615702479338843
"5439","2012",0.615472910927456
"5439","7791",0.615358126721763
"8721","16961",0.614784205693297
"16191","3337",0.614325068870523
"7293","12508",0.61421028466483
"15044","2385",0.613751147842057
"8597","16191",0.612373737373737
"15044","16646",0.612258953168044
"13033","5846",0.611914600550964
"11706","2497",0.611340679522498
"16753","13549",0.610651974288338
"5738","11437",0.610192837465565
"1759","14943",0.609963269054178
"8597","3663",0.608930211202938
"283","2385",0.608700642791552
"12057","16191",0.608585858585859
"2736","6645",0.608126721763085
"6431","2906",0.607782369146005
"11004","16646",0.6044536271809
"12074","9604",0.603191000918274
"16646","98",0.602961432506887
"6538","12508",0.602846648301194
"283","13033",0.601469237832874
"13549","9056",0.601239669421488
"5738","9067",0.599862258953168
"9719","9017",0.599632690541781
"10038","702",0.598714416896235
"13471","16444",0.598484848484849
"13975","4609",0.596763085399449
"15044","1759",0.59538567493113
"1759","16191",0.594926538108356
"242","12508",0.594467401285583
"3321","8331",0.594123048668503
