"taxa1","taxa2","value"
"12130","26",0.974097030915213
"14597","6331",0.96687519130701
"2906","11575",0.940226124885216
"98","14423",0.938246097337006
"6119","14381",0.934821701867156
"11546","15983",0.931492959902051
"2361","16870",0.92517982858892
"5536","7805",0.922558922558923
"14044","14145",0.912716176920722
"5896","16444",0.911711815120906
"6431","4613",0.905542164064891
"3825","9096",0.904193449647995
"5896","1849",0.903992577288032
"6169","15983",0.901983853688399
"3825","696",0.90179254667891
"10590","7420",0.900711662075298
"696","9096",0.899716865625957
"3474","9604",0.881973140495868
"7291","5292",0.877353076216713
"2012","14044",0.876721763085399
"13545","26",0.876195668809305
"2385","5482",0.871087771655954
"1661","10784",0.870963422099786
"6006","14362",0.867567722681359
"11203","14794",0.862431129476584
"2385","11005",0.861455463728191
"13295","14044",0.857409320477502
"13295","3502",0.851258800122436
"2737","5395",0.851249234771962
"675","5439",0.849757040097949
"2012","3502",0.849297903275176
"16312","12396",0.849068334863789
"11950","13344",0.848150061218243
"16525","6431",0.846983088460361
"12508","6169",0.84639960208142
"8486","2063",0.83819253137435
"10849","4451",0.835829889807163
"12508","15983",0.833189853076217
"2385","13087",0.83261593204775
"2736","6538",0.828636746250383
"4499","12943",0.824418426691154
"11950","14929",0.82182621671258
"13033","6431",0.816842669115396
"11701","10240",0.815484389348026
"11185","10240",0.814202632384451
"11394","14357",0.810271273339455
"6189","6538",0.806932966023875
"13344","8201",0.801576369758188
"13344","2651",0.799051117232935
"13295","2012",0.79828588919498
"13033","12605",0.796774563820018
"12943","12226",0.794077134986226
"1849","16444",0.79221189164371
"6169","11546",0.788318794000612
"9867","6538",0.783010024487297
"1547","6538",0.781096954392409
"5925","4930",0.780111723293542
"12226","6538",0.778916054484236
"16191","5896",0.778208218549128
"14943","14794",0.777624732170187
"11953","10975",0.775539485766758
"12916","6431",0.774420339761249
"6111","12237",0.771091597796143
"11185","11701",0.770575068870523
"675","14044",0.7684132996633
"4954","16264",0.75848446587083
