"taxa1","taxa2","value"
"12130","26",0.972308310376492
"14597","6331",0.964742118151209
"98","14423",0.956975053565963
"2906","11575",0.948882767064585
"11546","15983",0.941794842363024
"6119","14381",0.938073921028466
"5896","16444",0.936830425466789
"5536","7805",0.933683425160698
"3825","9096",0.930794689317417
"2361","16870",0.928814661769207
"5896","1849",0.927016375880012
"14044","14145",0.916465794306703
"696","9096",0.89485766758494
"10849","4451",0.893652433425161
"10590","7420",0.8878367003367
"3474","9604",0.883876645240282
"11203","14794",0.878013085399449
"11950","13344",0.877458295071931
"11701","10240",0.874799127640037
"3825","696",0.87209213345577
"2012","14044",0.870944291398837
"11185","10240",0.868524257728803
"6169","15983",0.864927685950413
"6431","4613",0.864085935108662
"675","5439",0.86147459442914
"2012","3502",0.859360651974288
"1661","10784",0.858777165595347
"2385","5482",0.855840602999694
"13295","14044",0.851784894398531
"2385","11005",0.848982246709519
"6006","14362",0.848063973063973
"13295","3502",0.846131772268136
"7291","5292",0.843195209672482
"13545","26",0.838297750229568
"11950","14929",0.838288184879094
"2737","5395",0.838087312519131
"2385","13087",0.830415901438629
"4499","12943",0.827957606366697
"12943","12226",0.827029767370676
"16312","12396",0.826092363024181
"11185","11701",0.824112335475972
"16525","6431",0.82089837771656
"12508","6169",0.820334022038568
"327","8422",0.812299127640037
"675","14044",0.811151285583104
"11394","14357",0.810175619834711
"6169","11546",0.809582568105295
"12508","15983",0.803671181512091
"8486","2063",0.803135521885522
"2574","16421",0.802896388123661
"4954","16264",0.800065044383226
"13344","8201",0.79992156412611
"14563","7101",0.798467630853995
"10975","9096",0.796382384450566
"6111","12237",0.795645852464034
"14943","14794",0.794459749005204
"11953","10975",0.789399678604224
"5738","12508",0.782828282828283
"13295","2012",0.780283899602081
"13033","6431",0.777318640955005
"14044","3502",0.773167278849097
"12916","6431",0.771885521885522
"6189","6538",0.770928986838078
"2736","6538",0.765266299357208
"16191","5896",0.7636975818794
"13344","2651",0.760292317110499
"13087","11005",0.755394857667585
"7434","9579",0.755366161616162
"2736","1547",0.754447887970615
"14943","11203",0.752840909090909
"1849","16444",0.752142638506275
"12508","11546",0.750076522803796
"9441","15960",0.749273033363942
"7791","14044",0.747809534741353
"14145","3502",0.747226048362412
"11734","1759",0.74418426691154
"11747","3444",0.743371212121212
"3470","13259",0.742385981022345
"14929","13344",0.740300734618916
"9056","6538",0.739009412304867
"8486","15401",0.738225053565963
"9867","6189",0.738138965411693
"13549","14931",0.737985919804102
"5925","4930",0.737373737373737
"13549","1180",0.735345883073156
"9056","4499",0.734695439240894
"6189","12709",0.733939776553413
