"taxa1","taxa2","value"
"12130","26",0.971676997245179
"14597","6331",0.960571625344353
"98","14423",0.940082644628099
"2906","11575",0.928030303030303
"6119","14381",0.924414600550964
"2361","16870",0.920712809917355
"11546","15983",0.919593663911846
"5536","7805",0.910812672176309
"14044","14145",0.910382231404959
"6169","15983",0.902289944903581
"5896","1849",0.900137741046832
"3825","9096",0.899879476584022
"6431","4613",0.890495867768595
"5896","16444",0.888688016528926
"10590","7420",0.883780991735537
"3474","9604",0.877754820936639
"3825","696",0.87491391184573
"696","9096",0.872589531680441
"2012","14044",0.865874655647383
"11203","14794",0.862517217630854
"2385","5482",0.862345041322314
"1661","10784",0.861914600550964
"6006","14362",0.853822314049587
"13545","26",0.851670110192837
"12508","6169",0.845471763085399
"7291","5292",0.84478305785124
"13295","3502",0.84435261707989
"11950","13344",0.84340564738292
"2737","5395",0.84263085399449
"2385","11005",0.835485537190083
"10849","4451",0.835227272727273
"675","5439",0.835227272727273
"2012","3502",0.832386363636364
"13295","14044",0.832042011019284
"16312","12396",0.828684573002755
"8486","2063",0.823261019283747
"16525","6431",0.821711432506887
"4499","12943",0.818267906336088
"2736","6538",0.818009641873278
"2385","13087",0.815857438016529
"12508","15983",0.815771349862259
"11950","14929",0.81361914600551
"11185","10240",0.81189738292011
"11701","10240",0.810778236914601
"11394","14357",0.800533746556474
"6189","6538",0.790977961432507
"12943","12226",0.788653581267218
"13344","8201",0.787190082644628
"13033","12605",0.784693526170799
"13295","2012",0.78254132231405
"6169","11546",0.78004476584022
"1547","6538",0.776084710743802
"675","14044",0.774793388429752
"12916","6431",0.769972451790634
"13033","6431",0.766959366391185
"14943","14794",0.765237603305785
"11185","11701",0.764893250688705
"6111","12237",0.760158402203857
"9867","6538",0.757489669421488
"14563","7101",0.756112258953168
"13344","2651",0.754993112947658
"2574","16421",0.754820936639118
"12226","6538",0.753529614325069
"327","8422",0.752066115702479
"11953","10975",0.751807851239669
"1849","16444",0.75094696969697
"14929","13344",0.75043044077135
"5925","4930",0.74879476584022
"5738","12508",0.747417355371901
"4954","16264",0.747417355371901
"10975","9096",0.744920798898072
"12508","11437",0.743371212121212
"8486","15401",0.737172865013774
"7791","14044",0.732868457300275
"16191","5896",0.732524104683196
"12508","11546",0.732093663911846
"11747","3444",0.727530991735537
"12709","6538",0.727272727272727
"6645","6538",0.723484848484849
"11734","1759",0.71969696969697
"13087","11005",0.71797520661157
"9056","6538",0.71745867768595
"14943","11203",0.71711432506887
"9867","6189",0.71711432506887
"10487","14511",0.71711432506887
"8590","11979",0.716942148760331
"4499","6538",0.715650826446281
"13549","14931",0.714617768595041
"11404","1954",0.714359504132231
"9056","4499",0.714015151515151
"14931","1180",0.713929063360882
"9441","15960",0.713412534435262
"14145","3502",0.710227272727273
"2736","1547",0.709624655647383
"14044","3502",0.709624655647383
"12558","15401",0.709366391184573
"6331","3474",0.708763774104683
"675","7293",0.708419421487603
"8058","11747",0.706783746556474
"3470","13259",0.706095041322314
"13545","12130",0.705578512396694
"13549","1180",0.705492424242424
"12558","11317",0.702823691460055
"3663","16646",0.702479338842975
"9867","6645",0.702479338842975
"7434","9579",0.702048898071625
"2589","696",0.700843663911846
"13033","4613",0.699896694214876
"5536","2012",0.699380165289256
"13295","14145",0.699121900826446
"11747","577",0.698777548209366
"8058","3444",0.698088842975207
"4499","12226",0.697916666666667
"15401","7422",0.696883608815427
"6189","12709",0.696108815426997
"9867","9056",0.695247933884298
"5439","7293",0.693870523415978
"10038","1955",0.691373966942149
"2589","9096",0.689996556473829
"5846","16191",0.68939393939394
"14511","4995",0.68913567493113
"2385","5846",0.68784435261708
"3494","1661",0.6866391184573
"2736","9056",0.685347796143251
"12074","3474",0.682679063360882
"11005","5846",0.682248622589532
"8201","2651",0.681818181818182
"12057","11734",0.681732093663912
"9056","12709",0.679321625344353
"8486","12558",0.674414600550964
"12237","4737",0.674156336088154
"6645","9056",0.674070247933884
"2385","12462",0.673725895316804
"7293","13295",0.672004132231405
"2385","16191",0.671659779614325
"2749","7346",0.671573691460055
"12462","11005",0.671487603305785
"6189","9056",0.670798898071625
"11953","2589",0.670110192837466
