"taxa1","taxa2","value"
"12130","26",0.949705387205387
"14597","6331",0.94075221916131
"98","14423",0.937193908784818
"5536","7805",0.903466483011938
"5896","1849",0.896866391184573
"2361","16870",0.896655953474135
"11546","15983",0.896560299969391
"3825","9096",0.891662840526477
"6119","14381",0.889290633608815
"12508","6169",0.888716712580349
"2906","11575",0.88766452402816
"14044","14145",0.863292011019284
"11203","14794",0.861264156718702
"6169","15983",0.856117998163453
"11950","13344",0.855008417508417
"2385","5482",0.850302265074992
"6431","4613",0.847183960820324
"3825","696",0.845079583715947
"10849","4451",0.844888276706458
"5896","16444",0.841310835629017
"13033","6431",0.828837618610346
"12508","11546",0.824647995102541
"12508","15983",0.81592439546985
"6169","11546",0.815293082338537
"11701","10240",0.814527854300582
"11185","10240",0.814145240281604
"11950","14929",0.811313896541169
"13545","26",0.805938169574533
"10590","7420",0.805364248546067
"14931","1180",0.804981634527089
"11953","10975",0.80171028466483
"696","9096",0.799625038261402
"13344","2651",0.797348484848485
"7291","5292",0.796468472604836
"12226","6538",0.792164064891338
"13344","8201",0.786960514233242
"6006","14362",0.7842439546985
"8486","2063",0.784148301193756
"16191","5896",0.774582950719314
"2385","13087",0.774104683195592
"16312","12396",0.766739363330272
"2012","3502",0.766165442301806
"1849","16444",0.765132384450566
"3474","9604",0.763946280991736
"2385","11005",0.761707988980716
"16525","6431",0.761459289868381
"675","5439",0.759814049586777
"11394","14357",0.75975665748393
"12943","12226",0.759718396082032
"2737","5395",0.759354912764004
"8486","15401",0.755987909397
"2012","14044",0.755509641873278
"11185","11701",0.751473063973064
"1661","10784",0.748393021120294
"8486","12558",0.748393021120294
"14943","14794",0.739018977655341
"6987","6538",0.731711049892868
"5925","4930",0.731003213957759
"4954","16264",0.728688399142945
"13295","3502",0.725302265074992
"2736","6538",0.723102234465871
"2574","16421",0.722011784511784
"13295","14044",0.721170033670034
"4499","12943",0.720156106519743
"12916","6431",0.72004132231405
"9056","6538",0.718032598714417
"11747","3444",0.717822161003979
"327","8422",0.713135139271503
"2736","6189",0.709997704315886
"6645","6538",0.708065503520049
"12508","11437",0.707778543005816
"6111","12237",0.706994184266912
"13549","14931",0.706305479032752
"12558","15401",0.705693296602388
"16525","12916",0.705176767676768
"15401","7422",0.705042852770125
"9056","4499",0.704736761554943
"4499","6538",0.703722834404653
"1547","6538",0.701981940618304
"9867","6538",0.700929752066116
"6987","4499",0.700183654729109
"14563","7101",0.699762779308234
"6189","6538",0.696472298745026
"9056","12226",0.696108815426997
"13549","1180",0.694846189164371
"14943","11203",0.694310529537802
"12943","6538",0.691861799816345
"9867","6189",0.690656565656566
"6189","12709",0.689853076216713
"8201","2651",0.689585246403428
"4499","12226",0.688724364860729
"2385","12462",0.686734771962045
"6331","3474",0.686065197428834
"12605","6431",0.68510866238139
"675","14044",0.683463422099786
"13545","12130",0.682621671258035
"14145","3502",0.682545148454239
"5536","2012",0.681626874808693
"5439","7293",0.681378175696358
"9056","6987",0.6806512090603
"13295","14145",0.678527701254974
"14929","13344",0.678183348637894
"13033","4613",0.677838996020814
"2012","14145",0.677035506580961
"13087","11005",0.675638965411693
"6331","9604",0.675390266299357
"2589","696",0.674548515457606
"13295","2012",0.672865013774105
"6431","16191",0.67276936026936
"2385","5896",0.672118916437098
"13033","12916",0.671985001530456
"13033","12605",0.671468472604836
"8058","3444",0.671085858585859
"5738","12508",0.668254514845424
"11734","1759",0.667737985919804
"11747","577",0.666934496479951
"11404","1954",0.666532751760024
"9441","15960",0.666456228956229
"1547","4499",0.666016222834405
"2736","1547",0.665595347413529
"8486","7422",0.665097949188858
"13033","16525",0.663720538720539
"9867","9056",0.663299663299663
"2385","5846",0.661922252831344
"2589","9096",0.661176155494337
"12057","5846",0.6592439546985
"10487","4995",0.658497857361494
"2736","9056",0.658325681052954
"12558","11317",0.657503060912152
"1547","9056",0.65719696969697
"5846","16191",0.65668044077135
"1494","6331",0.654442148760331
"6645","9056",0.654269972451791
"675","7293",0.65360039791858
"6645","4499",0.652031680440771
"2073","6431",0.651763850627487
"12074","3474",0.649085552494643
"2385","16191",0.647995102540557
"9056","12709",0.647019436792164
"9056","12943",0.646789868380777
"14511","4995",0.645259412304867
"3494","1661",0.64502984389348
"8058","11747",0.644895928986838
"9999","3444",0.644628099173554
"5536","12508",0.644054178145087
"14597","3474",0.643040250994796
"10487","14511",0.642848943985308
"12237","4737",0.642600244872972
"9867","6645",0.64246632996633
"14929","2651",0.642179369452097
"2736","4499",0.641720232629324
"5846","5896",0.641643709825528
"2736","12709",0.639845423936333
"14145","12508",0.639826293235384
"577","3444",0.639462809917355
"14563","15401",0.638888888888889
"9867","4499",0.638640189776553
"7101","15401",0.638314967860422
"7805","12508",0.6378367003367
"10975","9096",0.637147995102541
"7434","9579",0.63613406795225
"7293","12508",0.631657483930211
"1605","13549",0.631561830425467
"7293","13295",0.630337465564738
"8590","11979",0.630031374349556
"7293","5536",0.630012243648607
"2749","7346",0.629687021732476
"11953","2589",0.628520048974594
"12057","11734",0.625784358738904
"6189","12226",0.625478267523722
"14597","9604",0.62431129476584
"5439","12508",0.624273033363942
"2063","15401",0.62379476584022
"2589","3825",0.62362258953168
"6189","9056",0.623431282522192
"4499","12709",0.623335629017447
"5536","751",0.622513008876645
"3470","13259",0.622302571166208
"7293","13881",0.618438169574533
"2497","3444",0.617558157330885
"13881","12508",0.617175543311907
"13033","16191",0.615511172329354
"2385","12057",0.614267676767677
"14597","12074",0.613483318028773
"3663","16646",0.611034588307316
"12558","7422",0.610154576063667
"7293","6169",0.608700642791552
"12709","6538",0.607801499846954
"7293","14145",0.606921487603306
"12605","4613",0.606730180593817
"2385","9056",0.606347566574839
"6189","4499",0.605869299051117
"2736","9867",0.603726660544842
"12916","4613",0.601851851851852
"13549","10985",0.601832721150903
"7293","5738",0.600704009794919
"1547","6189",0.600531833486379
"15983","11437",0.600436179981635
"2736","12226",0.600359657177839
"14280","13234",0.60034052647689
"6431","5896",0.599900520355066
"6431","2385",0.597738751147842
"1605","14931",0.5967439546985
"7791","12508",0.595290021426385
"5482","11005",0.595232629323538
"6331","12074",0.595136975818794
"11005","5846",0.595117845117845
"15044","13033",0.594448270584634
"2497","577",0.594123048668503
"14044","3502",0.594084787266605
"10038","1955",0.593950872359963
"16646","5846",0.593415212733395
"2089","16084",0.593128252219161
"5482","5846",0.592343893480257
"7791","14044",0.591674318947046
"8486","14563",0.591387358432813
"11706","3444",0.591081267217631
"6645","6189",0.590086470768289
"16646","14423",0.589990817263545
"3444","6331",0.589646464646465
"7882","7890",0.589455157636976
"15044","16191",0.587886440159167
"16646","16191",0.58784817875727
"6431","5846",0.587656871747781
"13033","5896",0.587025558616468
"13881","14145",0.586030762167126
"8486","11317",0.583448117539027
"675","12508",0.582606366697276
"15044","5896",0.582128099173554
"14044","12508",0.58201331496786
"9602","10828",0.581994184266912
"15044","6431",0.581611570247934
"14145","6169",0.580368074686257
"13033","5846",0.580157636975819
"13947","9017",0.579832415059688
"5828","4954",0.57893327211509
"10784","4047",0.578665442301806
