"taxa1","taxa2","value"
"3474","9604",1
"696","9096",0.999808692990511
"12130","26",0.998488674625038
"2012","14044",0.997933884297521
"10590","7420",0.99605907560453
"13295","14044",0.993648607284971
"1661","10784",0.993533823079278
"14597","6331",0.992998163452709
"2906","11575",0.992787725742271
"5896","16444",0.982112794612795
"6119","14381",0.980352770125497
"13295","3502",0.977215335169881
"11546","15983",0.966425619834711
"6431","4613",0.963900367309458
"14044","14145",0.962140342822161
"2385","11005",0.961202938475666
"3825","696",0.958505509641873
"7291","5292",0.958237679828589
"2361","16870",0.953703703703704
"6006","14362",0.950891490664218
"6169","15983",0.947849709213346
"13545","26",0.946453168044077
"2737","5395",0.94314355677992
"5536","7805",0.941651362105908
"675","5439",0.939700030609122
"98","14423",0.939298285889195
"2736","6538",0.934171258034894
"16525","6431",0.932506887052342
"2012","3502",0.932430364248546
"16312","12396",0.931397306397306
"4499","12943",0.928680746862565
"13295","2012",0.923706764615856
"13033","12605",0.9220806550352
"6189","6538",0.917393633302724
"3825","9096",0.916724058769513
"5896","1849",0.911118763391491
"8486","2063",0.892236761554943
"2385","5482",0.891873278236915
"2385","13087",0.891127180899908
"10487","14511",0.872570400979492
"12709","6538",0.870925160697888
"7791","14044",0.870772115090297
"9867","6538",0.865090296908479
"11203","14794",0.863598102234466
"11394","14357",0.86078588919498
"1547","6538",0.860211968166514
"8590","11979",0.859886746250383
"675","14044",0.853363177226814
"12462","11005",0.852138812366085
"12508","15983",0.850455310682583
"14044","3502",0.849403122130395
"11950","13344",0.841291704928069
"11005","5846",0.839244719926538
"5738","12508",0.836202938475666
"6111","12237",0.835189011325375
"11950","14929",0.832338536883991
"675","7293",0.831917661463116
"14929","13344",0.830865472910927
"5925","4930",0.829220232629324
"12916","6431",0.828799357208448
"12943","12226",0.828435873890419
"1759","5846",0.827211509029691
"10849","4451",0.826771502907866
"10975","9096",0.825929752066116
"1849","16444",0.819291398836853
"5536","2012",0.816804407713499
"11701","10240",0.81644092439547
"14943","14794",0.816230486685032
"13344","8201",0.816192225283134
"10038","1955",0.815847872666055
"3470","13259",0.814680899908173
"11185","10240",0.814260024487297
"3663","16646",0.808941689623508
"13545","12130",0.807966023875115
"14563","7101",0.807143403734313
"11404","1954",0.806894704621977
"13033","6431",0.804847719620447
"12508","6169",0.804082491582492
"11734","5846",0.803412917049281
"11734","1759",0.801786807468626
"13344","2651",0.800753749617386
"327","8422",0.798840679522498
"12508","11437",0.797558922558923
"6987","4499",0.796372819100092
"13087","11005",0.796181512090603
"7434","9579",0.793541475359657
"242","11351",0.79160927456382
"11185","11701",0.789677073767983
"2574","16421",0.789237067646159
"8058","11747",0.788663146617692
"4954","16264",0.788280532598714
"2012","11437",0.785870064279155
"2736","1547",0.782809152127334
"16191","5896",0.781833486378941
"6165","3667",0.780589990817264
"12237","4737",0.778122130394858
"9867","6645",0.777930823385369
"751","8163",0.777892561983471
"14929","8201",0.77687863483318
"14280","13234",0.776763850627487
"11005","1759",0.775042087542088
"15044","3663",0.773760330578512
"9602","14362",0.772956841138659
"11747","577",0.772861187633915
"9096","16821",0.772803795531068
"10784","1759",0.772727272727273
"2308","3502",0.772727272727273
"8058","9604",0.77192378328742
"3663","3502",0.771254208754209
"7882","7890",0.770852464034282
"13947","9017",0.770833333333333
"10590","7291",0.768996786042241
"9441","15960",0.768097643097643
"13087","12462",0.767523722069177
"14943","16191",0.767313284358739
"1494","9604",0.76574456688093
"12226","6538",0.765668044077135
"1424","8569",0.765591521273339
"10784","4047",0.765553259871442
"12558","11317",0.765342822161004
"14943","11203",0.763908019589838
"3494","10784",0.762894092439547
"6169","11546",0.761344505662688
"5896","10649",0.761153198653199
"8058","11706",0.760502754820937
"6645","6538",0.760062748699112
"5828","4954",0.758589684726048
"14145","3502",0.757958371594735
"11747","3444",0.757939240893786
"12057","11734",0.757652280379553
"5482","11005",0.755605295378023
"10922","156",0.753060912151821
"9719","9017",0.75273569023569
"9867","6189",0.75204698500153
"2737","14929",0.751779155188246
"13234","15044",0.751262626262626
"11953","10975",0.749368686868687
"2737","13344",0.749292164064891
"12057","5846",0.748756504438323
"14044","11437",0.747627793082339
"2737","9604",0.747321701867156
"1547","12709",0.747015610651974
"14866","156",0.746977349250077
"8486","15401",0.745733853688399
"283","15044",0.745466023875115
"9056","6538",0.745006887052342
"15044","5896",0.744949494949495
"5536","751",0.744452096724824
"10590","5896",0.744126874808693
"7422","10590",0.74349556167738
"12558","15401",0.743285123966942
"2497","11747",0.742672941536578
"5439","7293",0.742481634527089
"10100","14051",0.742175543311907
"1759","12790",0.741333792470156
"6365","16646",0.740434649525559
"13947","9719",0.739267676767677
"6987","12943",0.739229415365779
"15044","2737",0.738789409243955
"8058","1494",0.738732017141108
"2749","7346",0.738387664524028
