"taxa1","taxa2","value"
"8486","15401",0.989095500459137
"13033","6431",0.98767982858892
"9056","6538",0.987067646158555
"12130","26",0.983509335782063
"10849","4451",0.98339455157637
"2906","11575",0.983126721763085
"11203","14794",0.982935414753597
"14597","6331",0.982935414753597
"4499","6538",0.982782369146005
"11747","3444",0.982399755127028
"10590","7420",0.981519742883379
"98","14423",0.980907560453015
"2737","5395",0.979568411386593
"13344","2651",0.978688399142945
"1661","10784",0.978650137741047
"3474","9604",0.978611876339149
"11185","11701",0.976010101010101
"6119","14381",0.974747474747475
"9056","4499",0.974403122130395
"13344","8201",0.974288337924702
"11701","10240",0.971839608203245
"5896","1849",0.971801346801347
"13549","14931",0.971265687174778
"2361","16870",0.970844811753903
"11953","10975",0.970576981940618
"7291","5292",0.969773492500765
"6431","4613",0.969161310070401
"5536","7805",0.969123048668503
"3825","696",0.968587389041935
"11546","15983",0.967822161003979
"5925","4930",0.967095194367922
"3825","9096",0.966942148760331
"2385","5482",0.966368227731864
"11950","14929",0.966062136516682
"6169","15983",0.964646464646465
"13545","26",0.961509029690848
"13033","4613",0.961241199877564
"13549","1180",0.958524640342822
"10487","4995",0.955540250994796
"6331","3474",0.955387205387205
"5439","7293",0.95274716865626
"11185","10240",0.951790633608815
"13295","14145",0.950604530149985
"14929","8201",0.947390572390572
"2012","3502",0.943449647995103
"16191","5896",0.942569635751454
"6006","14362",0.942225283134374
"8058","3444",0.941192225283134
"2589","696",0.941077441077441
"1849","16444",0.934228650137741
"13295","3502",0.93338689929599
"2012","14044",0.933004285277013
"12508","6169",0.932124273033364
"12943","12226",0.928719008264463
"2385","9056",0.927494643403734
"14044","14145",0.927188552188552
"5896","16444",0.925045913682277
"696","9096",0.923783287419651
"12074","3474",0.922099785736149
"8201","2651",0.920454545454545
"6987","4499",0.920301499846954
"5846","16191",0.917584940312213
"16525","6431",0.916896235078053
"6645","9056",0.915212733394552
"9999","3444",0.913758800122436
"1605","13549",0.910889194980104
"1661","13549",0.909320477502296
"15401","7422",0.907828282828283
"2385","5846",0.907254361799816
"4499","12226",0.907254361799816
"2385","16191",0.906297826752372
"11394","14357",0.905379553106826
"10487","14511",0.904882154882155
"15044","16191",0.904537802265075
"8058","11747",0.904384756657484
"12558","15401",0.901821242730334
"3321","13947",0.898722069176615
"14929","13344",0.898415977961432
"14511","4995",0.897803795531068
"1547","9056",0.897689011325375
"16312","12396",0.896732476277931
"2385","13087",0.89657943067034
"11950","13344",0.895393327211509
"1547","6538",0.894628099173554
"10784","4047",0.894322007958372
"7293","13295",0.893097643097643
"9056","5896",0.891643709825528
"11404","1954",0.889960208142026
"14943","14794",0.888582797673707
"2589","9096",0.887511478420569
"2012","12508",0.885981022344659
"4499","12943",0.885636669727579
"16191","14357",0.88441230486685
"9867","9056",0.884182736455464
"6431","13295",0.882767064585246
"11747","577",0.882575757575758
"10784","13549",0.879208754208754
"2736","9056",0.87894092439547
"12916","6431",0.875
"13295","2012",0.874961738598102
"11953","2589",0.873890419344965
"6169","11546",0.873737373737374
"3494","1661",0.873393021120294
"6645","6538",0.873239975512703
"2497","3444",0.872972145699418
"15401","10590",0.872895622895623
"15401","2012",0.872053872053872
"6331","9604",0.871671258034894
"675","5439",0.870485154576064
"4954","16264",0.869987756351393
"327","8422",0.869605142332415
"2385","12462",0.868533823079278
"9867","6645",0.867385981022345
"577","3444",0.867385981022345
"1661","5846",0.867041628405265
"2736","1547",0.864860728497092
"13295","14044",0.863636363636364
"675","14044",0.86352157943067
"10784","5846",0.863445056626875
"12508","11546",0.863253749617386
"12508","15983",0.863138965411693
"2574","16421",0.863138965411693
"15044","13033",0.862144168962351
"2736","6538",0.859159779614325
"11706","3444",0.858318028772574
"13033","12605",0.855601469237833
"6189","12709",0.852923171104989
"696","13295",0.852846648301194
"9096","3502",0.852272727272727
"675","7293",0.851430976430976
"13549","9056",0.850971839608203
"1494","6331",0.850665748393021
"10784","15401",0.849785736149372
"9867","6538",0.849288337924702
"15044","5896",0.847987450260178
"8486","2063",0.847910927456382
"16646","16191",0.846456994184267
"2385","11005",0.846150902969085
"10784","5896",0.842707376798286
"14929","2651",0.84110039791858
"6538","3502",0.840488215488216
"6538","2737",0.839569941842669
"14044","6169",0.839493419038874
"9056","2737",0.838728191000918
"5536","2012",0.83853688399143
"13033","12130",0.837924701561065
"7293","5738",0.836355984083257
"7101","15401",0.835858585858586
"3502","6169",0.835858585858586
"4499","2737",0.835858585858586
"10975","9096",0.835590756045302
"3494","10784",0.835552494643404
"14044","15983",0.834940312213039
"15044","2737",0.834787266605448
"14563","15401",0.834481175390266
"11734","1759",0.834213345576982
"14563","7101",0.833524640342822
"6431","13549",0.832147229874503
"10784","4499",0.831382001836547
"9056","5395",0.83065503520049
"9602","10828",0.830004591368228
"13549","10985",0.829698500153046
"2089","16084",0.829162840526477
"4499","5395",0.828741965105601
"3502","9604",0.828053259871442
"12226","6538",0.827938475665748
"5846","4499",0.827900214263851
"16191","2012",0.827479338842975
"3502","15983",0.827020202020202
"12558","11317",0.825834098561371
"1661","15401",0.824915824915825
"15401","9604",0.824341903887358
"6538","5395",0.82380624426079
"9056","12709",0.823691460055096
"8590","11979",0.823653198653199
"15044","5395",0.823232323232323
"14280","13234",0.822734925007652
"12057","5846",0.822505356596266
"11005","5846",0.822161003979186
"7882","7890",0.821969696969697
"6189","9056",0.821204468931742
"1661","4047",0.820362718089991
"1661","16191",0.819061830425467
"13549","4499",0.819023569023569
"8486","3502",0.819023569023569
"13549","10590",0.818755739210285
"2012","14145",0.817990511172329
"6189","6538",0.817722681359045
"13033","3502",0.817148760330578
"7434","9579",0.816727884909703
"3474","5896",0.815809611264157
"9056","6987",0.81558004285277
"1661","6538",0.81370523415978
"14931","1180",0.813131313131313
"2012","6331",0.812021732476278
"11701","3502",0.811792164064891
"15044","3663",0.811486072849709
"5738","12508",0.811333027242118
"14044","3502",0.811141720232629
"10590","3444",0.81060606060606
"15401","7420",0.808807774716866
"15983","2737",0.808425160697888
"8486","9604",0.808310376492195
"13033","13549",0.807659932659933
"1661","4499",0.807430364248546
"13033","26",0.807239057239057
"13087","11005",0.806397306397306
"3444","9604",0.806282522191613
"16191","14381",0.805976430976431
"10828","14183",0.805325987144169
"1661","5896",0.805211202938476
"15401","3502",0.804828588919498
"4613","2012",0.803298132843587
"3444","6331",0.802379859198041
"9602","9223",0.80222681359045
"12709","6538",0.802150290786654
"12237","4737",0.802112029384757
"2651","12130",0.801385062748699
"6111","12237",0.801270278543006
"13549","2012",0.800313743495562
"10784","6538",0.800237220691766
"2385","10590",0.800084175084175
"14044","12130",0.800084175084175
"12508","11437",0.799969390878482
"6987","6538",0.799395469850015
"13234","15044",0.799165901438629
"11701","12508",0.798668503213958
"13043","9056",0.79863024181206
"14145","3502",0.798553719008264
"6431","10590",0.798324150596878
"2736","6189",0.79759718396082
"2012","16444",0.796487603305785
"11701","2012",0.796258034894399
"5439","3502",0.79572237526783
"6538","5896",0.794842363024181
"9056","10590",0.794459749005204
"13947","9017",0.79434496479951
"10784","16191",0.793311906948271
"12605","6431",0.792737985919804
"16191","13295",0.792011019283747
"3470","13259",0.791322314049587
"5482","11005",0.790901438628711
"7293","5536",0.789944903581267
"1661","3502",0.78990664217937
"13545","12130",0.789868380777472
"8201","5896",0.789753596571778
"7293","13881",0.788720538720539
"12057","11734",0.788146617692072
"9867","6189",0.787725742271197
"9056","14929",0.787649219467401
"6431","17278",0.786883991429446
"16191","9056",0.786157024793388
"5395","14929",0.786080501989593
"5896","9493",0.784626568717478
"15044","12130",0.7842439546985
"9096","3444",0.784205693296602
"2749","7346",0.783249158249158
"10784","5439",0.783172635445363
"9441","15960",0.783134374043465
"1661","2737",0.782636975818794
"9579","16961",0.782292623201714
"9056","12943",0.782139577594123
"11317","15401",0.781029996939088
"9056","12226",0.779040404040404
"9096","14597",0.779040404040404
"14943","16191",0.779002142638506
"15983","5395",0.778619528619529
"2736","12709",0.778389960208142
"5896","10649",0.778313437404346
