"taxa1","taxa2","value"
"10849","4451",0.989592898683808
"98","14423",0.989133761861035
"8486","15401",0.987144168962351
"12130","26",0.98699112335476
"10590","7420",0.985843281297827
"13344","2651",0.984427609427609
"11203","14794",0.983471074380165
"2906","11575",0.983203244566881
"14597","6331",0.982591062136517
"11701","10240",0.982514539332721
"11185","10240",0.980563207835935
"2737","5395",0.980563207835935
"9056","4499",0.980524946434037
"3474","9604",0.978229262320171
"3825","696",0.977808386899296
"2361","16870",0.97723446587083
"11953","10975",0.977196204468932
"6119","14381",0.97689011325375
"4499","12226",0.975971839608203
"5536","7805",0.974900520355066
"6987","4499",0.973829201101928
"13549","14931",0.972910927456382
"11546","15983",0.972834404652586
"11185","11701",0.972222222222222
"7291","5292",0.971724823997551
"5896","1849",0.971150902969085
"5925","4930",0.970921334557698
"2385","5482",0.97004132231405
"4499","6538",0.969620446893174
"2574","16421",0.966636057545148
"13545","26",0.966521273339455
"4499","12943",0.965641261095807
"11950","14929",0.96541169268442
"13549","1180",0.964914294459749
"10487","4995",0.964455157636976
"6169","15983",0.9640342822161
"3825","9096",0.963842975206612
"13344","8201",0.962274257728803
"12558","15401",0.961853382307928
"6331","3474",0.961355984083257
"1849","16444",0.960935108662381
"15401","7422",0.958945515763698
"9056","6538",0.958065503520049
"6006","14362",0.957988980716253
"16191","5896",0.957721150902969
"6645","9056",0.957376798285889
"8486","2063",0.957147229874503
"9056","12709",0.955846342209979
"11950","13344",0.955578512396694
"2012","3502",0.954698500153046
"1661","10784",0.954660238751148
"11394","14357",0.954430670339761
"5896","16444",0.954430670339761
"13033","6431",0.954392408937863
"2385","5846",0.954048056320784
"696","9096",0.953359351086624
"13295","14145",0.951905417814509
"2012","14044",0.951637588001224
"16525","6431",0.951561065197429
"2589","696",0.951140189776553
"14044","14145",0.951140189776553
"9999","3444",0.951063666972758
"9867","9056",0.950260177532905
"1547","6538",0.949341903887358
"6431","4613",0.948347107438017
"13295","3502",0.948155800428528
"8201","2651",0.946893174165901
"12916","6431",0.946319253137435
"13295","2012",0.946280991735537
"15044","16191",0.945592286501377
"2736","6538",0.944980104071013
"12508","6169",0.944750535659627
"16312","12396",0.944597490052036
"6189","9056",0.944482705846342
"12508","15983",0.943679216406489
"12709","6538",0.943411386593205
"3494","1661",0.943105295378023
"2385","13087",0.943067033976125
"13033","12605",0.942837465564738
"9441","15960",0.942416590143863
"14563","7101",0.941498316498317
"577","3444",0.940426997245179
"12943","12226",0.939355677992042
"14943","14794",0.939317416590144
"13033","4613",0.938820018365473
"6189","6538",0.938552188552189
"7293","13881",0.937901744719926
"2736","9056",0.937863483318029
"11747","3444",0.93767217630854
"2589","9096",0.937213039485767
"2385","11005",0.936103458830732
"11404","1954",0.935567799204163
"14511","4995",0.934381695745332
"13087","11005",0.934343434343434
"13295","14044",0.934037343128252
"14563","15401",0.933501683501683
"3470","13259",0.932239057239057
"9867","6538",0.932200795837159
"10487","14511",0.931359044995409
"5439","7293",0.930938169574533
"5846","16191",0.93082338536884
"14929","13344",0.93082338536884
"7101","15401",0.929752066115702
"8058","3444",0.928145087235996
"6169","11546",0.92757116620753
"8590","11979",0.926040710131619
"1605","13549",0.925887664524028
"14929","2651",0.925352004897459
"12237","4737",0.925045913682277
"5536","2012",0.924012855831038
"7882","7890",0.92259718396082
"327","8422",0.921908478726661
"12074","3474",0.920951943679216
"751","8163",0.919383226201408
"675","5439",0.91865625956535
"242","11351",0.918044077134986
"11953","2589",0.917049280685644
"2385","12462",0.916398836853382
"1547","9056",0.914830119375574
"9056","12943",0.914715335169881
"4954","16264",0.914294459749005
"675","7293",0.91421793694521
"11747","577",0.912190082644628
"14145","3502",0.911960514233242
"11734","1759",0.91027701254974
"2089","16084",0.909703091521273
"10922","156",0.907292623201714
"15044","13033",0.907254361799816
"10038","1955",0.906412610958065
"3321","8331",0.90564738292011
"9602","10828",0.90308386899296
"6645","6538",0.902854300581573
"2497","3444",0.900099479644934
"15044","3663",0.89914294459749
"3321","13947",0.897880318334864
"14866","156",0.89657943067034
"3321","11439",0.896426385062749
"14929","8201",0.896311600857055
"12057","5846",0.89520202020202
"10828","14183",0.894245485154576
"6111","12237",0.89401591674319
"13545","12130",0.893748086929905
"1424","8569",0.893135904499541
"11706","3444",0.892676767676768
"7434","9579",0.892523722069177
"8058","11706",0.892408937863483
"7293","13295",0.891758494031221
"3321","12201",0.891720232629324
"7434","16961",0.890534129170493
"12558","11317",0.890113253749617
"8058","11747",0.888735843281298
"5482","11005",0.88682277318641
"11005","5846",0.886516681971227
"6189","4499",0.885942760942761
"12057","11734",0.885407101316192
"2736","1547",0.883570554025099
"9056","6987",0.882767064585246
"12508","11546",0.881695745332109
"6331","9604",0.880318334863789
"11950","8201",0.880165289256198
"675","14044",0.880088766452403
"9867","4499",0.880050505050505
"14280","13234",0.879935720844812
"16191","14357",0.879208754208754
"2012","14145",0.879055708601163
"9579","16961",0.878405264768901
"6189","12709",0.878060912151821
"14597","3474",0.877716559534741
"2589","3825",0.876951331496786
"3663","16191",0.876836547291093
"4499","12709",0.876530456075911
"13549","10985",0.875994796449342
"2749","7346",0.875229568411387
"12226","6538",0.875038261401898
"3494","10784",0.873813896541169
"5828","4954",0.873469543924089
"2497","11747",0.873354759718396
"6645","4499",0.871939087848179
"2385","16191",0.870944291398837
"14943","11203",0.870485154576064
"5482","13087",0.870102540557086
"6165","3667",0.869796449341904
"9867","6645",0.868342516069789
"1494","6331",0.868227731864096
"11548","11439",0.867653810835629
"3321","9017",0.867271196816651
"9602","9223",0.866850321395776
"7293","5536",0.866238138965412
"6431","17278",0.86593204775023
"2736","4499",0.865855524946434
"9056","12226",0.864592898683808
"3663","16646",0.864286807468626
"9867","6189",0.863751147842057
"1547","4499",0.863483318028773
"14044","3502",0.862909397000306
"11317","15401",0.86267982858892
"13947","9017",0.862450260177533
"12201","11548",0.862067646158555
"11950","2651",0.861608509335782
"8486","12558",0.861378940924395
"5738","12508",0.861072849709213
"16646","16191",0.860575451484542
"2439","9326",0.860575451484542
"4206","10038",0.860154576063667
"7293","5738",0.859810223446587
"13033","16191",0.858471074380165
"11340","10649",0.858164983164983
"16191","1849",0.856481481481482
"9602","6006",0.856404958677686
"3663","6365",0.856060606060606
"10649","9493",0.855945821854913
"16525","12916",0.855257116620753
"6987","6538",0.85479797979798
"9719","9017",0.854644934190389
"3321","10100",0.854032751760024
"1759","12790",0.853267523722069
"10038","702",0.851851851851852
"12508","11437",0.851660544842363
"12462","11005",0.850971839608203
"2736","6189",0.850397918579737
"2063","15401",0.849977043158861
"1661","4047",0.848943985307622
"14931","1180",0.848408325681053
"5439","7791",0.848025711662075
"12605","6431",0.847490052035507
"11439","9719",0.845347413529232
"10922","14866",0.845309152127334
"12605","4613",0.844276094276094
"11953","16870",0.844161310070401
"7791","14044",0.843740434649526
"3470","1661",0.843472604836241
"12943","6538",0.843357820630548
"3321","9326",0.843357820630548
"2439","10100",0.843204775022957
"6365","16646",0.840909090909091
"9326","9719",0.838383838383838
"10100","14051",0.838307315580043
"2736","12709",0.838154269972452
"8486","11317",0.837924701561065
"3321","2439",0.837274257728803
"8721","16961",0.836317722681359
"14943","16191",0.835361187633915
"11706","11747",0.834787266605448
"8058","9999",0.834672482399755
"13043","9056",0.83321854912764
"11734","5846",0.832759412304867
"16191","3337",0.832415059687787
"5536","751",0.831649831649832
"15044","16646",0.831075910621365
"2497","577",0.82824456688093
"16646","14423",0.827632384450566
"16525","4613",0.826446280991736
"1759","5846",0.825872359963269
"5439","14044",0.824380165289256
"4609","10690",0.824341903887358
"6538","2737",0.822237526782981
"3321","11548",0.821510560146924
"13033","16525",0.821166207529844
"9326","11548",0.819406183042547
"12201","9326",0.819023569023569
"12508","9067",0.818985307621671
"14597","9604",0.818411386593205
"13033","2073",0.81814355677992
"6365","11004",0.817225283134374
"5439","12508",0.816804407713499
"8058","577",0.815847872666055
"11953","9096",0.815503520048975
"8058","2497",0.815197428833792
"11439","13947",0.81370523415978
"1661","12456",0.813475665748393
"13033","13295",0.813475665748393
"12057","1759",0.813207835935109
"5686","8331",0.812786960514233
"11953","3825",0.81129476584022
"16870","3825",0.811103458830732
"13947","9719",0.810988674625038
"9326","11439",0.810759106213652
"10784","4047",0.810223446587083
"11548","9719",0.809879093970003
"13043","4499",0.809496479951025
"2439","11439",0.809305172941537
"8569","1830",0.809113865932048
"3321","9719",0.80873125191307
"15044","5846",0.808501683501683
"13975","4609",0.807621671258035
"7293","7791",0.807506887052342
"13087","12462",0.807162534435262
"7293","14145",0.807009488827671
"13033","3663",0.80685644322008
"1605","14931",0.806550352004897
"2439","9719",0.80547903275176
"13087","1759",0.804752066115702
"9096","16821",0.804560759106214
"12558","7422",0.803106825834099
"2361","2589",0.802762473217019
"11734","12790",0.801614631160086
"16646","5846",0.800658096112642
"12201","2439",0.80000765228038
"6006","10828",0.799778083868993
"16191","10649",0.799625038261402
"12201","8331",0.799357208448118
"15044","5896",0.798515457606367
"3321","156",0.797750229568411
"3549","8807",0.797635445362718
"2736","9867",0.797482399755127
"2073","17278",0.796946740128558
"2651","4995",0.796908478726661
"2385","1759",0.796372819100092
"13087","5846",0.796181512090603
"16525","17278",0.79503367003367
"2073","16525",0.79468931741659
"1547","6189",0.794038873584328
"12237","327",0.793962350780533
"12462","5846",0.79365625956535
"6331","12074",0.79365625956535
"7293","12508",0.793235384144475
"1661","5846",0.793082338536884
"1547","12709",0.792661463116009
"12916","4613",0.792508417508417
"10024","13906",0.79247015610652
"9326","10100",0.79178145087236
"12916","17278",0.791513621059076
"17049","1138",0.790977961432507
"8486","7422",0.789830119375574
"8058","1494",0.789409243954698
"16083","10985",0.78921793694521
"7293","3502",0.789141414141414
"5482","16191",0.787955310682583
"10487","2651",0.787534435261708
"5439","2012",0.787457912457912
"14280","15044",0.787190082644628
"13033","12916",0.787113559840833
"11005","1759",0.786692684419957
"2736","6645",0.786271808999082
"7791","12508",0.784473523109887
"6365","16191",0.783937863483318
"12462","1759",0.783134374043465
"2073","12916",0.781986531986532
"16984","1183",0.781795224977043
"5439","5738",0.778581267217631
"8597","3663",0.778007346189164
"3444","6331",0.777242118151209
"696","13295",0.776553412917049
"10922","9719",0.775902969084787
"6987","12943",0.775711662075298
"2385","12790",0.775635139271503
"11548","9017",0.775214263850628
"3663","5846",0.774984695439241
"12790","5846",0.774946434037343
"10975","9096",0.774869911233548
"13234","15044",0.77310988674625
"15983","3479",0.773033363942455
"11548","13947",0.77276553412917
"11439","9017",0.771502907866544
"6645","6189",0.771005509641873
"13295","1849",0.771005509641873
"2385","12057",0.770737679828589
"3663","11004",0.770508111417202
"11747","9999",0.769704621977349
"11706","577",0.769551576369758
"13259","1661",0.769130700948883
"2385","9056",0.768786348331803
"2439","9017",0.768365472910927
"12074","9604",0.768097643097643
"13881","14145",0.767523722069177
"3444","1494",0.766758494031221
"9867","12943",0.766452402816039
"11953","696",0.764960208142026
"156","9719",0.764654116926844
"16444","10649",0.764654116926844
"2736","12943",0.764156718702173
"8597","16191",0.763888888888889
"15983","11437",0.762779308233854
"12201","13947",0.762626262626263
