"taxa1","taxa2","value"
"14597","6331",0.982246709519437
"12130","26",0.97842056932966
"3474","9604",0.965449954086318
"696","9096",0.963039485766758
"2906","11575",0.959557698194062
"2012","14044",0.957988980716253
"10590","7420",0.95634374043465
"13295","14044",0.951484542393633
"3825","696",0.943640955004591
"1661","10784",0.939929599020508
"5896","16444",0.935912151821243
"2737","5395",0.934534741352923
"6169","15983",0.933884297520661
"7291","5292",0.932545148454239
"6431","4613",0.929216406489134
"16525","6431",0.926767676767677
"13344","2651",0.923400673400673
"4499","12943",0.92328588919498
"6119","14381",0.920110192837466
"13295","2012",0.918617998163453
"13033","6431",0.916896235078053
"13545","26",0.916398836853382
"11953","10975",0.914830119375574
"12508","15983",0.914753596571778
"16191","5896",0.912266605448424
"1849","16444",0.911271808999082
"11747","3444",0.911195286195286
"8486","15401",0.910736149372513
"6006","14362",0.910047444138353
"675","7293",0.909550045913682
"9056","6538",0.909205693296602
"6189","9056",0.909167431894705
"1661","10038",0.909090909090909
"4206","10038",0.909090909090909
"13033","16525",0.909090909090909
"14280","4613",0.909090909090909
"13033","4613",0.909090909090909
"16525","4613",0.909090909090909
"13033","6734",0.909090909090909
"1661","2385",0.909090909090909
"6365","2385",0.909090909090909
"10038","5846",0.909090909090909
"2385","5846",0.909090909090909
"2385","16191",0.909090909090909
"5846","16191",0.909090909090909
"13549","14931",0.909090909090909
"13549","1180",0.909090909090909
"13549","10985",0.909090909090909
"11953","2589",0.909090909090909
"2589","696",0.909090909090909
"2589","9096",0.909090909090909
"16753","10670",0.909090909090909
"6365","9056",0.909090909090909
"6189","4499",0.909090909090909
"9056","4499",0.909090909090909
"4499","6538",0.909090909090909
"11953","16833",0.909090909090909
"9223","6006",0.909090909090909
"6006","1183",0.909090909090909
"16984","1183",0.909090909090909
"6006","10828",0.909090909090909
"1183","10828",0.909090909090909
"11979","5255",0.909090909090909
"16833","5255",0.909090909090909
"10828","15075",0.909090909090909
"10828","2155",0.909090909090909
"15075","2155",0.909090909090909
"5439","7293",0.909090909090909
"242","13295",0.909090909090909
"7293","13295",0.909090909090909
"13295","14145",0.909090909090909
"2012","14145",0.909090909090909
"13295","3502",0.909090909090909
"7293","15983",0.909090909090909
"13295","15983",0.909090909090909
"7293","9067",0.909090909090909
"6734","8302",0.909090909090909
"15401","5395",0.909090909090909
"15401","2651",0.909090909090909
"14511","4995",0.909090909090909
"13549","8849",0.909090909090909
"6331","3474",0.909090909090909
"10038","4930",0.909090909090909
"5255","4930",0.909090909090909
"5925","4930",0.909090909090909
"10038","11575",0.909090909090909
"16833","11575",0.909090909090909
"4930","11575",0.909090909090909
"1661","16444",0.909090909090909
"10038","16444",0.909090909090909
"12462","16444",0.909090909090909
"5846","16444",0.909090909090909
"4930","16444",0.909090909090909
"11575","16444",0.909090909090909
"12462","9493",0.909090909090909
"12665","6734",0.909052647689011
"1661","5846",0.909052647689011
"6734","15727",0.909052647689011
"751","13295",0.909052647689011
"11953","13661",0.909014386287114
"15401","8849",0.909014386287114
"1661","9056",0.908976124885216
"13033","9493",0.908976124885216
"5846","4930",0.908937863483318
"14280","4499",0.908861340679523
"3494","1661",0.908746556473829
"12237","13295",0.908746556473829
"1661","4930",0.908746556473829
"7293","13881",0.908708295071931
"7293","2012",0.908708295071931
"10038","5255",0.908670033670034
"16833","12237",0.908593510866238
"16833","7293",0.908516988062443
"7293","8302",0.908478726660545
"5255","8849",0.908402203856749
"16191","1849",0.908287419651056
"14280","13033",0.908172635445363
"8597","9493",0.908096112641567
"4499","12226",0.908057851239669
"10038","8223",0.907943067033976
"12074","3474",0.907943067033976
"5846","11575",0.907904805632078
"2385","9056",0.907790021426385
"14597","3474",0.907790021426385
"9223","8849",0.907751760024487
"8223","5846",0.907598714416896
"2385","11953",0.907598714416896
"13906","9067",0.907560453014998
"16753","13549",0.907522191613101
"16961","13295",0.907407407407407
"1183","16961",0.90736914600551
"16444","9493",0.907292623201714
"2736","9056",0.907216100397919
"2589","3825",0.907177838996021
"11953","9493",0.907139577594123
"6734","16753",0.907101316192225
"11953","9096",0.906910009182736
"10038","12462",0.906871747780839
"2385","12462",0.906795224977043
"16833","15983",0.906489133761861
"15075","16961",0.906412610958065
"4613","9493",0.906374349556168
"6365","10670",0.906029996939088
"16833","4737",0.905953474135292
"6331","12074",0.905915212733395
"1661","6365",0.905800428527701
"6734","16191",0.905685644322008
"6365","16191",0.90564738292011
"12508","6169",0.905226507499235
"1661","8223",0.905188246097337
"14931","10985",0.905188246097337
"6189","6538",0.905188246097337
"7434","16961",0.905188246097337
"13234","9493",0.905149984695439
"5395","2651",0.905035200489746
"11404","1954",0.904537802265075
"10828","9939",0.904461279461279
"9223","13295",0.904308233853688
"8597","16191",0.904155188246097
"1661","11575",0.904155188246097
"6006","5255",0.9041169268442
"12665","8302",0.904002142638506
"16984","10828",0.903849097030915
"6734","4499",0.903466483011938
"13033","13471",0.90308386899296
"7293","14145",0.902930823385369
"8597","10985",0.902892561983471
"4613","6734",0.9023951637588
"8058","3444",0.9023951637588
"5846","11953",0.902242118151209
"9067","9493",0.902203856749311
"2385","12790",0.902165595347414
"5439","13295",0.901668197122743
"2651","3444",0.901668197122743
"12237","4737",0.901438628711356
"5439","15983",0.901438628711356
"13033","4499",0.901400367309458
"3321","2651",0.901400367309458
"8302","593",0.901400367309458
"13545","12130",0.901400367309458
"14280","6734",0.901323844505663
"2089","3444",0.901285583103765
"11950","2651",0.901247321701867
"1759","5846",0.901056014692378
"4995","9493",0.901017753290481
"14943","9493",0.900902969084787
"12237","242",0.90086470768289
"2063","15401",0.90086470768289
"13033","6365",0.900826446280992
"8223","16444",0.900749923477196
"10038","11953",0.900673400673401
"11953","696",0.900635139271503
"12462","5846",0.900596877869605
"12665","2155",0.900558616467707
"1661","5255",0.900482093663912
"8302","11686",0.900482093663912
"3470","1661",0.900252525252525
"16525","9493",0.900022956841139
"16312","12396",0.899793388429752
"6365","9493",0.899372513008877
"13033","10670",0.898875114784206
"13549","9067",0.898836853382308
