"taxa1","taxa2","value"
"OTU_97.186","OTU_97.1779",0.942722681359045
"OTU_97.31553","OTU_97.152",0.942493112947658
"OTU_97.24025","OTU_97.154",0.938475665748393
"OTU_97.29794","OTU_97.43210",0.936753902662994
"OTU_97.266","OTU_97.15337",0.934458218549128
"OTU_97.16034","OTU_97.43213",0.932506887052342
"OTU_97.23396","OTU_97.118",0.931932966023875
"OTU_97.86","OTU_97.16034",0.930555555555556
"OTU_97.5474","OTU_97.510",0.928719008264463
"OTU_97.15133","OTU_97.43023",0.928030303030303
"OTU_97.86","OTU_97.13936",0.925734618916437
"OTU_97.34371","OTU_97.13450",0.92550505050505
"OTU_97.34683","OTU_97.38931",0.924816345270891
"OTU_97.9316","OTU_97.951",0.924242424242424
"OTU_97.401","OTU_97.158",0.922979797979798
"OTU_97.43425","OTU_97.6433",0.922750229568411
"OTU_97.43637","OTU_97.951",0.921946740128558
"OTU_97.6625","OTU_97.16529",0.917929292929293
"OTU_97.40762","OTU_97.14259",0.917929292929293
"OTU_97.43637","OTU_97.18018",0.917699724517906
"OTU_97.38958","OTU_97.34",0.916666666666667
"OTU_97.1201","OTU_97.5474",0.9160927456382
"OTU_97.18018","OTU_97.43023",0.914370982552801
"OTU_97.37599","OTU_97.37902",0.912878787878788
"OTU_97.38931","OTU_97.39459",0.912878787878788
"OTU_97.38818","OTU_97.11972",0.912878787878788
"OTU_97.13004","OTU_97.16539",0.912190082644628
"OTU_97.38273","OTU_97.57",0.911616161616162
"OTU_97.39171","OTU_97.510",0.910468319559229
"OTU_97.951","OTU_97.43023",0.910468319559229
"OTU_97.33220","OTU_97.121",0.90771349862259
"OTU_97.26883","OTU_97.13522",0.907483930211203
"OTU_97.34371","OTU_97.73",0.906565656565657
"OTU_97.43637","OTU_97.43023",0.906565656565657
"OTU_97.24475","OTU_97.29803",0.904384756657484
"OTU_97.25475","OTU_97.37368",0.903351698806244
"OTU_97.14","OTU_97.5474",0.902892561983471
"OTU_97.24475","OTU_97.35176",0.902777777777778
"OTU_97.39171","OTU_97.1201",0.902777777777778
"OTU_97.32087","OTU_97.33220",0.902777777777778
"OTU_97.43213","OTU_97.13936",0.902548209366391
"OTU_97.1201","OTU_97.510",0.901400367309458
"OTU_97.37","OTU_97.12279",0.899219467401286
"OTU_97.34683","OTU_97.35176",0.899104683195592
"OTU_97.35176","OTU_97.38931",0.898989898989899
"OTU_97.14","OTU_97.10385",0.898989898989899
"OTU_97.29803","OTU_97.38931",0.898415977961432
"OTU_97.37","OTU_97.36155",0.897956841138659
"OTU_97.211","OTU_97.35940",0.897727272727273
"OTU_97.5287","OTU_97.57",0.897727272727273
"OTU_97.5561","OTU_97.57",0.897727272727273
"OTU_97.37","OTU_97.6625",0.897727272727273
"OTU_97.5785","OTU_97.121",0.897727272727273
"OTU_97.29803","OTU_97.39459",0.896464646464647
"OTU_97.43425","OTU_97.12419",0.895431588613407
"OTU_97.37903","OTU_97.57",0.89520202020202
"OTU_97.29803","OTU_97.35176",0.89520202020202
"OTU_97.14","OTU_97.510",0.89520202020202
"OTU_97.37","OTU_97.34703",0.89520202020202
"OTU_97.37902","OTU_97.39144",0.894054178145087
"OTU_97.12279","OTU_97.36155",0.894054178145087
"OTU_97.15337","OTU_97.155",0.893939393939394
"OTU_97.12419","OTU_97.43023",0.892906336088154
"OTU_97.24168","OTU_97.1681",0.892676767676768
"OTU_97.951","OTU_97.15133",0.892676767676768
"OTU_97.5474","OTU_97.10385",0.891758494031221
"OTU_97.2297","OTU_97.7287",0.891414141414141
"OTU_97.39171","OTU_97.10385",0.891414141414141
"OTU_97.7657","OTU_97.38931",0.890495867768595
"OTU_97.10619","OTU_97.57",0.890151515151515
"OTU_97.34925","OTU_97.11972",0.890151515151515
"OTU_97.13820","OTU_97.41441",0.890151515151515
"OTU_97.43637","OTU_97.15133",0.890036730945822
"OTU_97.28399","OTU_97.34683",0.889233241505969
"OTU_97.32087","OTU_97.121",0.889003673094582
"OTU_97.12279","OTU_97.13004",0.888888888888889
"OTU_97.36663","OTU_97.22942",0.888888888888889
"OTU_97.951","OTU_97.12419",0.888888888888889
"OTU_97.144","OTU_97.184",0.888774104683196
"OTU_97.1201","OTU_97.10385",0.888314967860422
"OTU_97.86","OTU_97.43213",0.888200183654729
"OTU_97.24475","OTU_97.38931",0.88647842056933
"OTU_97.34683","OTU_97.39459",0.88613406795225
"OTU_97.16695","OTU_97.28399",0.886019283746556
"OTU_97.11641","OTU_97.86",0.885560146923783
"OTU_97.43637","OTU_97.12419",0.885330578512397
"OTU_97.28399","OTU_97.24927",0.883838383838384
"OTU_97.13450","OTU_97.73",0.883838383838384
"OTU_97.15271","OTU_97.10619",0.882575757575758
"OTU_97.57","OTU_97.4859",0.882575757575758
"OTU_97.34780","OTU_97.39171",0.882116620752984
"OTU_97.16695","OTU_97.510",0.881427915518825
"OTU_97.13820","OTU_97.33897",0.881313131313131
"OTU_97.951","OTU_97.18018",0.880968778696051
"OTU_97.16695","OTU_97.7657",0.880050505050505
"OTU_97.43632","OTU_97.40762",0.880050505050505
"OTU_97.24636","OTU_97.29803",0.879591368227732
"OTU_97.37599","OTU_97.39144",0.878787878787879
"OTU_97.27041","OTU_97.57",0.878787878787879
"OTU_97.28399","OTU_97.29803",0.878787878787879
"OTU_97.24809","OTU_97.34703",0.877525252525252
"OTU_97.34925","OTU_97.20215",0.877180899908173
"OTU_97.37903","OTU_97.5287",0.876262626262626
"OTU_97.9982","OTU_97.14",0.876262626262626
"OTU_97.40762","OTU_97.59",0.876262626262626
"OTU_97.43425","OTU_97.43637",0.876262626262626
"OTU_97.5785","OTU_97.33220",0.876147842056933
"OTU_97.1201","OTU_97.28280",0.87603305785124
"OTU_97.29574","OTU_97.14",0.875573921028466
"OTU_97.39984","OTU_97.43632",0.875
"OTU_97.24927","OTU_97.7657",0.874770431588613
"OTU_97.43425","OTU_97.18018",0.873278236914601
"OTU_97.24636","OTU_97.24475",0.872474747474748
"OTU_97.25475","OTU_97.734",0.872474747474748
"OTU_97.9451","OTU_97.40762",0.872474747474748
"OTU_97.13820","OTU_97.170",0.872474747474748
"OTU_97.37903","OTU_97.5561",0.871212121212121
"OTU_97.24809","OTU_97.16529",0.871212121212121
"OTU_97.10428","OTU_97.33220",0.871212121212121
"OTU_97.10619","OTU_97.5561",0.869949494949495
"OTU_97.16695","OTU_97.5474",0.869949494949495
"OTU_97.32588","OTU_97.37902",0.869834710743802
"OTU_97.27041","OTU_97.38273",0.869146005509642
"OTU_97.7287","OTU_97.11972",0.868916437098255
"OTU_97.26883","OTU_97.1486",0.868686868686869
"OTU_97.13820","OTU_97.20597",0.868686868686869
"OTU_97.86","OTU_97.25986",0.868686868686869
"OTU_97.12279","OTU_97.34703",0.867424242424242
"OTU_97.43210","OTU_97.59",0.867424242424242
"OTU_97.15869","OTU_97.37599",0.866161616161616
"OTU_97.25475","OTU_97.824",0.866161616161616
"OTU_97.144","OTU_97.15190",0.86489898989899
"OTU_97.7657","OTU_97.39459",0.86489898989899
"OTU_97.34683","OTU_97.14",0.863636363636364
"OTU_97.39171","OTU_97.5474",0.863636363636364
"OTU_97.5474","OTU_97.28280",0.863636363636364
"OTU_97.41577","OTU_97.26863",0.863636363636364
"OTU_97.86","OTU_97.34765",0.863636363636364
"OTU_97.34703","OTU_97.2464",0.862718089990817
"OTU_97.38931","OTU_97.14",0.862603305785124
"OTU_97.34925","OTU_97.38931",0.862488521579431
"OTU_97.1656","OTU_97.37599",0.862373737373737
"OTU_97.15190","OTU_97.184",0.862373737373737
"OTU_97.35852","OTU_97.39459",0.862373737373737
"OTU_97.30556","OTU_97.26883",0.862373737373737
"OTU_97.10619","OTU_97.27041",0.861570247933884
"OTU_97.86","OTU_97.25028",0.861570247933884
"OTU_97.266","OTU_97.155",0.861111111111111
"OTU_97.1693","OTU_97.38818",0.861111111111111
"OTU_97.39984","OTU_97.43210",0.861111111111111
"OTU_97.43210","OTU_97.40762",0.861111111111111
"OTU_97.7287","OTU_97.25475",0.860996326905418
"OTU_97.15271","OTU_97.57",0.859848484848485
"OTU_97.26863","OTU_97.28027",0.859848484848485
"OTU_97.11659","OTU_97.33220",0.859848484848485
"OTU_97.9316","OTU_97.43023",0.859848484848485
"OTU_97.32588","OTU_97.37599",0.859733700642792
"OTU_97.43637","OTU_97.9316",0.859504132231405
"OTU_97.28399","OTU_97.39171",0.859044995408632
"OTU_97.14116","OTU_97.33220",0.858700642791552
"OTU_97.24870","OTU_97.25475",0.858585858585859
"OTU_97.24809","OTU_97.26863",0.858585858585859
"OTU_97.29317","OTU_97.11972",0.857897153351699
"OTU_97.10428","OTU_97.121",0.857667584940312
"OTU_97.13820","OTU_97.23009",0.857667584940312
"OTU_97.11972","OTU_97.10385",0.857323232323232
"OTU_97.14926","OTU_97.34703",0.857323232323232
"OTU_97.20215","OTU_97.38818",0.856864095500459
"OTU_97.29794","OTU_97.30556",0.856519742883379
"OTU_97.43425","OTU_97.43023",0.855945821854913
"OTU_97.37","OTU_97.13004",0.85479797979798
"OTU_97.34780","OTU_97.14",0.85410927456382
"OTU_97.34683","OTU_97.29803",0.85376492194674
"OTU_97.24870","OTU_97.34925",0.853535353535353
"OTU_97.22576","OTU_97.34703",0.853535353535353
"OTU_97.39984","OTU_97.29794",0.853535353535353
"OTU_97.34780","OTU_97.10385",0.853191000918274
"OTU_97.14116","OTU_97.121",0.8527318640955
"OTU_97.24475","OTU_97.39459",0.852272727272727
"OTU_97.35176","OTU_97.39459",0.852272727272727
"OTU_97.29803","OTU_97.8409",0.852272727272727
"OTU_97.510","OTU_97.10385",0.852272727272727
"OTU_97.22576","OTU_97.24464",0.852043158861341
"OTU_97.37987","OTU_97.11972",0.851813590449954
"OTU_97.39171","OTU_97.14",0.851010101010101
"OTU_97.1693","OTU_97.30088",0.851010101010101
"OTU_97.11659","OTU_97.121",0.851010101010101
"OTU_97.43425","OTU_97.9316",0.851010101010101
"OTU_97.37903","OTU_97.35521",0.849747474747475
"OTU_97.7475","OTU_97.2297",0.849747474747475
"OTU_97.34925","OTU_97.734",0.849173553719008
"OTU_97.33687","OTU_97.37902",0.848484848484849
"OTU_97.37903","OTU_97.10089",0.848484848484849
"OTU_97.34780","OTU_97.5474",0.847681359044995
"OTU_97.29561","OTU_97.24475",0.847337006427916
"OTU_97.29803","OTU_97.34925",0.847222222222222
"OTU_97.37","OTU_97.41853",0.847222222222222
"OTU_97.10619","OTU_97.5287",0.845959595959596
"OTU_97.6433","OTU_97.9316",0.845959595959596
"OTU_97.24636","OTU_97.10938",0.844811753902663
"OTU_97.35237","OTU_97.25475",0.84469696969697
"OTU_97.34925","OTU_97.1693",0.84469696969697
"OTU_97.25475","OTU_97.38818",0.84469696969697
"OTU_97.34925","OTU_97.38818",0.84469696969697
"OTU_97.13004","OTU_97.34703",0.84469696969697
"OTU_97.6433","OTU_97.43023",0.844582185491276
"OTU_97.37","OTU_97.2464",0.844237832874197
"OTU_97.16695","OTU_97.10385",0.843778696051423
"OTU_97.22942","OTU_97.26883",0.843778696051423
