"taxa1","taxa2","value"
"OTU_97.31553","OTU_97.152",0.943937480869299
"OTU_97.23396","OTU_97.118",0.943774869911233
"OTU_97.29794","OTU_97.43210",0.940847872666055
"OTU_97.24025","OTU_97.154",0.9353669268442
"OTU_97.5474","OTU_97.510",0.935013008876645
"OTU_97.186","OTU_97.1779",0.934984312825222
"OTU_97.86","OTU_97.16034",0.934745179063361
"OTU_97.15133","OTU_97.43023",0.934496479951025
"OTU_97.266","OTU_97.15337",0.931569482705846
"OTU_97.401","OTU_97.158",0.931062519130701
"OTU_97.43637","OTU_97.951",0.930335552494643
"OTU_97.34683","OTU_97.38931",0.928585093357821
"OTU_97.86","OTU_97.13936",0.928508570554025
"OTU_97.1201","OTU_97.5474",0.928365090296909
"OTU_97.43637","OTU_97.18018",0.927389424548515
"OTU_97.37599","OTU_97.37902",0.926901591674319
"OTU_97.34371","OTU_97.13450",0.925246786042241
"OTU_97.38818","OTU_97.11972",0.922291092745638
"OTU_97.951","OTU_97.43023",0.921812825221916
"OTU_97.38931","OTU_97.39459",0.921038031833486
"OTU_97.9316","OTU_97.951",0.919670186715641
"OTU_97.24475","OTU_97.29803",0.917737985919804
"OTU_97.43425","OTU_97.6433",0.917517982858892
"OTU_97.18018","OTU_97.43023",0.914715335169881
"OTU_97.5561","OTU_97.57",0.912945745332109
"OTU_97.24475","OTU_97.35176",0.912811830425467
"OTU_97.38958","OTU_97.34",0.912276170798898
"OTU_97.29803","OTU_97.39459",0.911931818181818
"OTU_97.25475","OTU_97.37368",0.9101048362412
"OTU_97.14","OTU_97.5474",0.910066574839302
"OTU_97.37","OTU_97.12279",0.909703091521273
"OTU_97.33220","OTU_97.121",0.90881351392715
"OTU_97.34371","OTU_97.73",0.908746556473829
"OTU_97.39171","OTU_97.1201",0.90872742577288
"OTU_97.35176","OTU_97.38931",0.908459595959596
"OTU_97.29803","OTU_97.38931",0.90812480869299
"OTU_97.5287","OTU_97.57",0.907273492500765
"OTU_97.43637","OTU_97.43023",0.906910009182736
"OTU_97.39171","OTU_97.510",0.905417814508724
"OTU_97.38273","OTU_97.57",0.90420301499847
"OTU_97.34683","OTU_97.35176",0.903963881236609
"OTU_97.37902","OTU_97.39144",0.903935185185185
"OTU_97.951","OTU_97.12419",0.903715182124273
"OTU_97.14","OTU_97.10385",0.903696051423324
"OTU_97.12419","OTU_97.43023",0.903609963269054
"OTU_97.37","OTU_97.36155",0.903456917661463
"OTU_97.6625","OTU_97.16529",0.902720385674931
"OTU_97.26883","OTU_97.13522",0.902672558922559
"OTU_97.2297","OTU_97.7287",0.900931665136211
"OTU_97.40762","OTU_97.14259",0.900931665136211
"OTU_97.37","OTU_97.34703",0.900357744107744
"OTU_97.29803","OTU_97.35176",0.90017600244873
"OTU_97.37","OTU_97.6625",0.898894245485155
"OTU_97.24475","OTU_97.38931",0.896866391184573
"OTU_97.34780","OTU_97.39171",0.896789868380777
"OTU_97.34925","OTU_97.20215",0.89580463728191
"OTU_97.14","OTU_97.510",0.895555938169575
"OTU_97.5474","OTU_97.10385",0.895316804407714
"OTU_97.43637","OTU_97.15133",0.895307239057239
"OTU_97.1201","OTU_97.10385",0.893910697887971
"OTU_97.43637","OTU_97.12419",0.891414141414141
"OTU_97.86","OTU_97.43213",0.889788031833486
"OTU_97.9982","OTU_97.14",0.889625420875421
"OTU_97.34683","OTU_97.39459",0.888774104683196
"OTU_97.16695","OTU_97.28399",0.888114095500459
"OTU_97.39171","OTU_97.10385",0.888066268748087
"OTU_97.37599","OTU_97.39144",0.88749234771962
"OTU_97.32588","OTU_97.37902",0.886507116620753
"OTU_97.28399","OTU_97.24927",0.886287113559841
"OTU_97.144","OTU_97.184",0.885990587695133
"OTU_97.37903","OTU_97.57",0.885971456994184
"OTU_97.25475","OTU_97.734",0.884460131619223
"OTU_97.24636","OTU_97.29803",0.884115779002143
"OTU_97.24809","OTU_97.34703",0.882317493112948
"OTU_97.40762","OTU_97.59",0.881437480869299
"OTU_97.24636","OTU_97.24475",0.881217477808387
"OTU_97.34925","OTU_97.11972",0.88081573308846
"OTU_97.29574","OTU_97.14",0.88047138047138
"OTU_97.16034","OTU_97.43213",0.879467018671564
"OTU_97.24927","OTU_97.7657",0.879180058157331
"OTU_97.211","OTU_97.35940",0.878969620446893
"OTU_97.43425","OTU_97.12419",0.877247857361494
"OTU_97.24168","OTU_97.1681",0.875985231098868
"OTU_97.1201","OTU_97.510",0.874359121518212
"OTU_97.32588","OTU_97.37599",0.874282598714417
"OTU_97.57","OTU_97.4859",0.873919115396388
"OTU_97.34925","OTU_97.38931",0.873613024181206
"OTU_97.951","OTU_97.15133",0.873335629017447
"OTU_97.13820","OTU_97.41441",0.873297367615549
"OTU_97.7657","OTU_97.38931",0.873153887358433
"OTU_97.38931","OTU_97.14",0.872991276400367
"OTU_97.32087","OTU_97.121",0.872627793082339
"OTU_97.10428","OTU_97.33220",0.872503443526171
"OTU_97.16695","OTU_97.7657",0.87166169268442
"OTU_97.24870","OTU_97.25475",0.87140342822161
"OTU_97.28399","OTU_97.29803",0.871279078665442
"OTU_97.15337","OTU_97.155",0.871039944903581
"OTU_97.10619","OTU_97.57",0.870896464646465
"OTU_97.43632","OTU_97.40762",0.870733853688399
"OTU_97.16695","OTU_97.510",0.86993992959902
"OTU_97.33687","OTU_97.37902",0.86927035506581
"OTU_97.43637","OTU_97.9316",0.868610345883073
"OTU_97.13820","OTU_97.20597",0.868591215182124
"OTU_97.34683","OTU_97.14",0.868466865625957
"OTU_97.12279","OTU_97.34703",0.866534664830119
"OTU_97.37903","OTU_97.5561",0.864956382001837
"OTU_97.37903","OTU_97.5287",0.864927685950413
"OTU_97.1201","OTU_97.28280",0.863712886440159
"OTU_97.24636","OTU_97.10938",0.863196357514539
"OTU_97.5785","OTU_97.121",0.862995485154576
"OTU_97.86","OTU_97.25986",0.862651132537496
"OTU_97.13820","OTU_97.33897",0.862172865013774
"OTU_97.7287","OTU_97.25475",0.86181894704622
"OTU_97.39171","OTU_97.5474",0.861445898377717
"OTU_97.24870","OTU_97.34925",0.861331114172023
"OTU_97.34703","OTU_97.2464",0.860211968166514
"OTU_97.22576","OTU_97.34703",0.859695439240894
"OTU_97.33687","OTU_97.37599",0.859609351086624
"OTU_97.34780","OTU_97.14",0.85949456688093
"OTU_97.27041","OTU_97.57",0.858614554637282
"OTU_97.11972","OTU_97.10385",0.858375420875421
"OTU_97.14116","OTU_97.33220",0.857629323538414
"OTU_97.510","OTU_97.10385",0.857313666972758
"OTU_97.1656","OTU_97.37599",0.856739745944291
"OTU_97.12279","OTU_97.36155",0.856424089378635
"OTU_97.15869","OTU_97.37599",0.855878864401592
"OTU_97.12279","OTU_97.13004",0.855764080195898
"OTU_97.9451","OTU_97.40762",0.855534511784512
"OTU_97.14926","OTU_97.34703",0.855457988980716
"OTU_97.28399","OTU_97.7657",0.854386669727579
"OTU_97.5474","OTU_97.28280",0.854300581573309
"OTU_97.34925","OTU_97.734",0.853984925007652
"OTU_97.43213","OTU_97.13936",0.853487526782981
"OTU_97.29561","OTU_97.24475",0.85333448117539
"OTU_97.10619","OTU_97.27041",0.85307621671258
"OTU_97.28399","OTU_97.34683",0.852224900520355
"OTU_97.15271","OTU_97.10619",0.852186639118457
"OTU_97.24475","OTU_97.39459",0.852043158861341
"OTU_97.39171","OTU_97.14",0.851870982552801
"OTU_97.35176","OTU_97.39459",0.851756198347107
"OTU_97.34683","OTU_97.29803",0.851526629935721
