"taxa1","taxa2","value"
"OTU_97.23396","OTU_97.118",0.993294689317417
"OTU_97.31553","OTU_97.152",0.993074686256504
"OTU_97.186","OTU_97.1779",0.99297903275176
"OTU_97.24025","OTU_97.154",0.991391184573003
"OTU_97.266","OTU_97.15337",0.989535506580961
"OTU_97.34371","OTU_97.13450",0.987842439546985
"OTU_97.38958","OTU_97.34",0.98783287419651
"OTU_97.401","OTU_97.158",0.987689393939394
"OTU_97.34371","OTU_97.73",0.986675466789103
"OTU_97.33220","OTU_97.121",0.978755356596266
"OTU_97.37599","OTU_97.37902",0.978315350474441
"OTU_97.43425","OTU_97.6433",0.977961432506887
"OTU_97.37","OTU_97.34703",0.976392715029079
"OTU_97.34683","OTU_97.38931",0.974919651056015
"OTU_97.38273","OTU_97.57",0.974737909397
"OTU_97.38818","OTU_97.11972",0.974737909397
"OTU_97.951","OTU_97.43023",0.973857897153352
"OTU_97.37599","OTU_97.39144",0.97243265993266
"OTU_97.37","OTU_97.12279",0.972279614325069
"OTU_97.5474","OTU_97.510",0.971801346801347
"OTU_97.37902","OTU_97.39144",0.96935261707989
"OTU_97.43637","OTU_97.43023",0.96823347107438
"OTU_97.144","OTU_97.184",0.968128252219161
"OTU_97.26883","OTU_97.13522",0.96713345576982
"OTU_97.24475","OTU_97.29803",0.966349097030915
"OTU_97.29794","OTU_97.43210",0.966167355371901
"OTU_97.37","OTU_97.36155",0.965736914600551
"OTU_97.38931","OTU_97.39459",0.965526476890113
"OTU_97.18018","OTU_97.43023",0.965440388735843
"OTU_97.37903","OTU_97.57",0.965268212427303
"OTU_97.37","OTU_97.6625",0.96480907560453
"OTU_97.25475","OTU_97.37368",0.963881236608509
"OTU_97.16695","OTU_97.28399",0.963058616467707
"OTU_97.34683","OTU_97.35176",0.961260330578512
"OTU_97.28399","OTU_97.24927",0.961011631466177
"OTU_97.2297","OTU_97.7287",0.959930746862565
"OTU_97.15133","OTU_97.43023",0.959921181512091
"OTU_97.5474","OTU_97.10385",0.959911616161616
"OTU_97.35176","OTU_97.38931",0.959442913988369
"OTU_97.211","OTU_97.35940",0.959395087235996
"OTU_97.24475","OTU_97.35176",0.959050734618916
"OTU_97.43637","OTU_97.951",0.958084634220998
"OTU_97.29803","OTU_97.38931",0.956994184266912
"OTU_97.39171","OTU_97.1201",0.956965488215488
"OTU_97.32588","OTU_97.37902",0.956707223752678
"OTU_97.12279","OTU_97.34703",0.956640266299357
"OTU_97.33687","OTU_97.37599",0.956037649219467
"OTU_97.13820","OTU_97.41441",0.955674165901439
"OTU_97.24168","OTU_97.1681",0.955348943985308
"OTU_97.1201","OTU_97.10385",0.954545454545455
"OTU_97.14","OTU_97.5474",0.953818487909397
"OTU_97.1201","OTU_97.5474",0.953215870829507
"OTU_97.32588","OTU_97.37599",0.95248890419345
"OTU_97.10619","OTU_97.57",0.952288031833486
"OTU_97.14","OTU_97.510",0.952010636669728
"OTU_97.39171","OTU_97.510",0.951953244566881
"OTU_97.40762","OTU_97.59",0.951838460361188
"OTU_97.86","OTU_97.13936",0.951503673094582
"OTU_97.29803","OTU_97.35176",0.948873201714111
"OTU_97.43637","OTU_97.18018",0.948787113559841
"OTU_97.29803","OTU_97.39459",0.948681894704622
"OTU_97.15337","OTU_97.155",0.948595806550352
"OTU_97.86","OTU_97.16034",0.948586241199878
"OTU_97.57","OTU_97.4859",0.948079277624732
"OTU_97.14","OTU_97.10385",0.948069712274258
"OTU_97.43637","OTU_97.15133",0.948002754820937
"OTU_97.24927","OTU_97.7657",0.946453168044077
"OTU_97.16695","OTU_97.510",0.946367079889807
"OTU_97.33687","OTU_97.37902",0.94589837771656
"OTU_97.37903","OTU_97.5287",0.945601851851852
"OTU_97.16695","OTU_97.7657",0.945563590449954
"OTU_97.43425","OTU_97.12419",0.944626186103459
"OTU_97.6625","OTU_97.16529",0.944138353229262
"OTU_97.12419","OTU_97.43023",0.944061830425467
"OTU_97.9316","OTU_97.951",0.943717477808387
"OTU_97.32087","OTU_97.121",0.943392255892256
"OTU_97.5287","OTU_97.57",0.942952249770432
"OTU_97.86","OTU_97.43213",0.942617462503826
"OTU_97.951","OTU_97.12419",0.940417431894705
"OTU_97.37903","OTU_97.5561",0.939958295071931
"OTU_97.34780","OTU_97.39171",0.939537419651056
"OTU_97.27041","OTU_97.57",0.939126109580655
"OTU_97.86","OTU_97.25986",0.939068717477808
"OTU_97.1656","OTU_97.37599",0.938800887664524
"OTU_97.34683","OTU_97.39459",0.938762626262626
"OTU_97.34925","OTU_97.11972",0.936543464952556
"OTU_97.13820","OTU_97.33897",0.9353669268442
"OTU_97.24809","OTU_97.34703",0.935051270278543
"OTU_97.5561","OTU_97.57",0.932966023875115
