"taxa1","taxa2","value"
"OTU_97.24025","OTU_97.154",0.943095730027548
"OTU_97.31553","OTU_97.152",0.939996556473829
"OTU_97.186","OTU_97.1779",0.93741391184573
"OTU_97.23396","OTU_97.118",0.93681129476584
"OTU_97.266","OTU_97.15337",0.93655303030303
"OTU_97.86","OTU_97.16034",0.934659090909091
"OTU_97.34371","OTU_97.13450",0.929665977961432
"OTU_97.29794","OTU_97.43210",0.929407713498623
"OTU_97.34683","OTU_97.38931",0.927083333333333
"OTU_97.6625","OTU_97.16529",0.926997245179063
"OTU_97.9316","OTU_97.951",0.925619834710744
"OTU_97.951","OTU_97.43023",0.925619834710744
"OTU_97.401","OTU_97.158",0.925189393939394
"OTU_97.43425","OTU_97.6433",0.924845041322314
"OTU_97.37599","OTU_97.37902",0.924758953168044
"OTU_97.86","OTU_97.13936",0.924242424242424
"OTU_97.15133","OTU_97.43023",0.919593663911846
"OTU_97.38931","OTU_97.39459",0.919335399449036
"OTU_97.38818","OTU_97.11972",0.917613636363636
"OTU_97.43637","OTU_97.18018",0.916666666666667
"OTU_97.24475","OTU_97.29803",0.915203168044077
"OTU_97.5474","OTU_97.510",0.914600550964187
"OTU_97.26883","OTU_97.13522",0.914170110192837
"OTU_97.43637","OTU_97.43023",0.913137052341598
"OTU_97.43637","OTU_97.951",0.912620523415978
"OTU_97.5287","OTU_97.57",0.911931818181818
"OTU_97.1201","OTU_97.5474",0.911329201101928
"OTU_97.38273","OTU_97.57",0.910898760330578
"OTU_97.34371","OTU_97.73",0.910382231404959
"OTU_97.38958","OTU_97.34",0.909693526170799
"OTU_97.24475","OTU_97.35176",0.909607438016529
"OTU_97.37","OTU_97.12279",0.909607438016529
"OTU_97.2297","OTU_97.7287",0.908057851239669
"OTU_97.25475","OTU_97.37368",0.90762741046832
"OTU_97.5561","OTU_97.57",0.90754132231405
"OTU_97.33220","OTU_97.121",0.90676652892562
"OTU_97.29803","OTU_97.39459",0.904528236914601
"OTU_97.39171","OTU_97.1201",0.90435606060606
"OTU_97.39171","OTU_97.510",0.904097796143251
"OTU_97.37","OTU_97.34703",0.902462121212121
"OTU_97.16034","OTU_97.43213",0.902376033057851
"OTU_97.35176","OTU_97.38931",0.901515151515151
"OTU_97.34683","OTU_97.35176",0.901429063360882
"OTU_97.29803","OTU_97.38931",0.899621212121212
