"taxa1","taxa2","value"
"OTU_97.31553","OTU_97.152",0.933329507193144
"OTU_97.24025","OTU_97.154",0.929656412610958
"OTU_97.186","OTU_97.1779",0.926729415365779
"OTU_97.23396","OTU_97.118",0.922865013774105
"OTU_97.266","OTU_97.15337",0.917852770125497
"OTU_97.34371","OTU_97.13450",0.912993572084481
"OTU_97.38958","OTU_97.34",0.905781297826752
"OTU_97.34371","OTU_97.73",0.90377257422712
"OTU_97.34683","OTU_97.38931",0.902835169880624
"OTU_97.401","OTU_97.158",0.902490817263545
"OTU_97.5474","OTU_97.510",0.894494184266912
"OTU_97.43425","OTU_97.6433",0.893748086929905
"OTU_97.38818","OTU_97.11972",0.890878481787573
"OTU_97.951","OTU_97.43023",0.890553259871442
"OTU_97.33220","OTU_97.121",0.890361952861953
"OTU_97.29794","OTU_97.43210",0.889309764309764
"OTU_97.38931","OTU_97.39459",0.886267982858892
"OTU_97.37599","OTU_97.37902",0.884106213651668
"OTU_97.18018","OTU_97.43023",0.882460973370064
"OTU_97.43637","OTU_97.43023",0.882001836547291
"OTU_97.24475","OTU_97.29803",0.880930517294154
"OTU_97.43637","OTU_97.18018",0.87876874808693
"OTU_97.38273","OTU_97.57",0.878347872666055
"OTU_97.5474","OTU_97.10385",0.877333945515764
"OTU_97.34683","OTU_97.35176",0.876530456075911
"OTU_97.951","OTU_97.12419",0.875822620140802
"OTU_97.15133","OTU_97.43023",0.874846954392409
"OTU_97.86","OTU_97.13936",0.874540863177227
"OTU_97.10619","OTU_97.57",0.872474747474748
"OTU_97.24475","OTU_97.35176",0.871078206305479
"OTU_97.37","OTU_97.34703",0.869949494949495
"OTU_97.86","OTU_97.16034",0.869490358126722
"OTU_97.57","OTU_97.4859",0.869260789715335
"OTU_97.86","OTU_97.25028",0.868457300275482
"OTU_97.144","OTU_97.184",0.8681512090603
"OTU_97.43425","OTU_97.12419",0.867500765228038
"OTU_97.16695","OTU_97.28399",0.866926844199571
"OTU_97.39171","OTU_97.510",0.865970309152127
"OTU_97.25475","OTU_97.37368",0.865664217936945
"OTU_97.28399","OTU_97.24927",0.865377257422712
"OTU_97.32087","OTU_97.121",0.865300734618916
"OTU_97.37","OTU_97.12279",0.864860728497092
"OTU_97.211","OTU_97.35940",0.86421028466483
"OTU_97.14","OTU_97.5474",0.86369375573921
"OTU_97.26883","OTU_97.13522",0.863445056626875
"OTU_97.43637","OTU_97.951",0.863119834710744
"OTU_97.39171","OTU_97.1201",0.862909397000306
"OTU_97.35176","OTU_97.38931",0.862373737373737
"OTU_97.29803","OTU_97.38931",0.861704162840526
"OTU_97.1201","OTU_97.5474",0.861665901438629
"OTU_97.2297","OTU_97.7287",0.860919804101622
