"taxa1","taxa2","value"
"OTU_97.32588","OTU_97.37902",1
"OTU_97.6625","OTU_97.16529",1
"OTU_97.9316","OTU_97.951",1
"OTU_97.86","OTU_97.16034",1
"OTU_97.43637","OTU_97.951",0.997551270278543
"OTU_97.1201","OTU_97.5474",0.995064279155188
"OTU_97.40762","OTU_97.14259",0.994566880930517
"OTU_97.15133","OTU_97.43023",0.994146005509642
"OTU_97.12279","OTU_97.36155",0.993629476584022
"OTU_97.29794","OTU_97.43210",0.992385981022345
"OTU_97.33687","OTU_97.37902",0.991582491582492
"OTU_97.86","OTU_97.13936",0.982476277930823
"OTU_97.29574","OTU_97.14",0.977483164983165
"OTU_97.12279","OTU_97.13004",0.977272727272727
"OTU_97.43637","OTU_97.18018",0.976010101010101
"OTU_97.5474","OTU_97.510",0.975531833486379
"OTU_97.32588","OTU_97.37599",0.973943985307622
"OTU_97.37902","OTU_97.39144",0.973484848484849
"OTU_97.5561","OTU_97.57",0.973102234465871
"OTU_97.16034","OTU_97.43213",0.970576981940618
"OTU_97.37599","OTU_97.37902",0.96969696969697
"OTU_97.34780","OTU_97.14",0.96797520661157
"OTU_97.43213","OTU_97.13936",0.966253443526171
"OTU_97.23396","OTU_97.118",0.964684726048362
"OTU_97.33687","OTU_97.37599",0.963383838383838
"OTU_97.29803","OTU_97.39459",0.963001224364861
"OTU_97.34925","OTU_97.20215",0.960896847260484
"OTU_97.401","OTU_97.158",0.959634220997857
"OTU_97.24475","OTU_97.10938",0.958333333333333
"OTU_97.43210","OTU_97.43632",0.956649831649832
"OTU_97.14","OTU_97.5474",0.956439393939394
"OTU_97.35852","OTU_97.39459",0.95634374043465
"OTU_97.37599","OTU_97.39144",0.955846342209979
"OTU_97.38931","OTU_97.39459",0.955808080808081
"OTU_97.9982","OTU_97.14",0.955808080808081
"OTU_97.38931","OTU_97.5659",0.954889807162534
"OTU_97.34683","OTU_97.24636",0.954545454545455
"OTU_97.24475","OTU_97.29803",0.954545454545455
"OTU_97.24475","OTU_97.35176",0.954545454545455
"OTU_97.29803","OTU_97.35176",0.954545454545455
"OTU_97.24475","OTU_97.38931",0.954545454545455
"OTU_97.29803","OTU_97.38931",0.954545454545455
"OTU_97.34925","OTU_97.38931",0.954545454545455
"OTU_97.35176","OTU_97.38931",0.954545454545455
"OTU_97.34780","OTU_97.39171",0.954545454545455
"OTU_97.38720","OTU_97.39171",0.954545454545455
"OTU_97.38931","OTU_97.14",0.954545454545455
"OTU_97.39171","OTU_97.1201",0.954545454545455
"OTU_97.35176","OTU_97.5474",0.954545454545455
"OTU_97.25475","OTU_97.37368",0.954545454545455
"OTU_97.39171","OTU_97.10385",0.954545454545455
"OTU_97.14","OTU_97.10385",0.954545454545455
"OTU_97.38818","OTU_97.10385",0.954545454545455
"OTU_97.11972","OTU_97.10385",0.954545454545455
"OTU_97.37","OTU_97.12279",0.954545454545455
"OTU_97.22576","OTU_97.34703",0.954545454545455
"OTU_97.34703","OTU_97.29005",0.954545454545455
"OTU_97.12419","OTU_97.43023",0.954545454545455
"OTU_97.31553","OTU_97.152",0.954545454545455
"OTU_97.34683","OTU_97.38931",0.954335016835017
"OTU_97.24636","OTU_97.10938",0.954335016835017
"OTU_97.24636","OTU_97.29803",0.954124579124579
"OTU_97.24870","OTU_97.34925",0.954124579124579
"OTU_97.25475","OTU_97.29574",0.954048056320784
"OTU_97.5287","OTU_97.57",0.953703703703704
"OTU_97.28399","OTU_97.7657",0.953703703703704
"OTU_97.38818","OTU_97.11972",0.953703703703704
"OTU_97.37","OTU_97.36155",0.953703703703704
"OTU_97.24809","OTU_97.34703",0.953493265993266
"OTU_97.34925","OTU_97.734",0.953282828282828
"OTU_97.951","OTU_97.43023",0.953072390572391
"OTU_97.25475","OTU_97.734",0.952651515151515
"OTU_97.24636","OTU_97.24475",0.952441077441077
"OTU_97.29803","OTU_97.34780",0.951656718702173
