"taxa1","taxa2","value"
"OTU_97.31553","OTU_97.152",0.98305019895929
"OTU_97.23396","OTU_97.118",0.973484848484849
"OTU_97.24025","OTU_97.154",0.972183960820324
"OTU_97.186","OTU_97.1779",0.965258647076829
"OTU_97.42522","OTU_97.720",0.963383838383838
"OTU_97.8830","OTU_97.31673",0.96009335782063
"OTU_97.34371","OTU_97.13450",0.959519436792164
"OTU_97.6580","OTU_97.35940",0.958333333333333
"OTU_97.381","OTU_97.15603",0.956228956228956
"OTU_97.266","OTU_97.15337",0.952249770431589
"OTU_97.34683","OTU_97.38931",0.951178451178451
"OTU_97.488","OTU_97.1399",0.946127946127946
"OTU_97.9679","OTU_97.15051",0.943181818181818
"OTU_97.401","OTU_97.158",0.941498316498317
"OTU_97.40820","OTU_97.21012",0.939814814814815
"OTU_97.38248","OTU_97.286",0.938973063973064
"OTU_97.38818","OTU_97.11972",0.938552188552189
"OTU_97.37","OTU_97.34703",0.93476430976431
"OTU_97.255","OTU_97.7662",0.934343434343434
"OTU_97.24475","OTU_97.35176",0.932621671258035
"OTU_97.5474","OTU_97.510",0.932621671258035
"OTU_97.29794","OTU_97.43210",0.932430364248546
"OTU_97.38931","OTU_97.39459",0.931397306397306
"OTU_97.38958","OTU_97.34",0.930708601163147
"OTU_97.25726","OTU_97.3324",0.930670339761249
"OTU_97.2847","OTU_97.38273",0.92910162228344
"OTU_97.9982","OTU_97.5474",0.924701561065197
"OTU_97.18018","OTU_97.15133",0.923247627793082
"OTU_97.25986","OTU_97.3016",0.921564126109581
"OTU_97.36971","OTU_97.16265",0.919880624426079
"OTU_97.18018","OTU_97.43023",0.919383226201408
"OTU_97.33220","OTU_97.121",0.919191919191919
"OTU_97.34683","OTU_97.35176",0.919077134986226
"OTU_97.13004","OTU_97.16539",0.918847566574839
"OTU_97.24475","OTU_97.29803",0.918350168350168
"OTU_97.34371","OTU_97.73",0.918082338536884
"OTU_97.37599","OTU_97.37902",0.918005815733088
"OTU_97.255","OTU_97.27756",0.917929292929293
"OTU_97.32087","OTU_97.14116",0.917929292929293
"OTU_97.951","OTU_97.43023",0.917508417508417
"OTU_97.37","OTU_97.36155",0.917431894704622
"OTU_97.37","OTU_97.12279",0.916934496479951
"OTU_97.1397","OTU_97.24025",0.916666666666667
"OTU_97.41989","OTU_97.8514",0.916551882460973
"OTU_97.43425","OTU_97.6433",0.913337924701561
"OTU_97.1486","OTU_97.13522",0.913299663299663
"OTU_97.43637","OTU_97.43023",0.913299663299663
"OTU_97.40762","OTU_97.14259",0.912419651056015
"OTU_97.2881","OTU_97.4651",0.912113559840833
"OTU_97.37636","OTU_97.18624",0.912037037037037
"OTU_97.11641","OTU_97.16034",0.911616161616162
"OTU_97.38273","OTU_97.57",0.911157024793388
"OTU_97.29803","OTU_97.39459",0.910009182736455
"OTU_97.29005","OTU_97.3911",0.908096112641567
"OTU_97.7657","OTU_97.4800",0.906986531986532
"OTU_97.37","OTU_97.6625",0.906527395163759
"OTU_97.34294","OTU_97.41674",0.904882154882155
"OTU_97.683","OTU_97.181",0.904461279461279
"OTU_97.35176","OTU_97.38931",0.904040404040404
"OTU_97.25028","OTU_97.3016",0.903619528619529
"OTU_97.26883","OTU_97.13522",0.9023951637588
"OTU_97.20597","OTU_97.170",0.901515151515151
"OTU_97.25475","OTU_97.37368",0.900979491888583
"OTU_97.36971","OTU_97.34800",0.900902969084787
"OTU_97.1201","OTU_97.10385",0.900673400673401
"OTU_97.1201","OTU_97.5474",0.898569023569024
"OTU_97.6625","OTU_97.16529",0.898492500765228
"OTU_97.2297","OTU_97.7287",0.898148148148148
"OTU_97.41948","OTU_97.33390",0.898071625344353
"OTU_97.16034","OTU_97.43213",0.897727272727273
"OTU_97.15133","OTU_97.43023",0.896885521885522
"OTU_97.39171","OTU_97.1201",0.896464646464647
"OTU_97.9982","OTU_97.28280",0.894781144781145
"OTU_97.5785","OTU_97.14116",0.893518518518518
"OTU_97.16265","OTU_97.34800",0.893480257116621
"OTU_97.5785","OTU_97.19163",0.893288950107132
"OTU_97.31428","OTU_97.226",0.892676767676768
"OTU_97.34683","OTU_97.39459",0.891835016835017
"OTU_97.22716","OTU_97.10938",0.890572390572391
"OTU_97.5287","OTU_97.57",0.889309764309764
"OTU_97.9982","OTU_97.510",0.889309764309764
"OTU_97.9316","OTU_97.18018",0.889309764309764
"OTU_97.13936","OTU_97.25986",0.888965411692684
"OTU_97.11641","OTU_97.25028",0.887205387205387
"OTU_97.86","OTU_97.13936",0.887052341597796
"OTU_97.19163","OTU_97.33220",0.886363636363636
"OTU_97.43637","OTU_97.951",0.885942760942761
"OTU_97.29803","OTU_97.38931",0.884909703091521
"OTU_97.7662","OTU_97.27756",0.884680134680135
"OTU_97.9316","OTU_97.951",0.884680134680135
"OTU_97.4904","OTU_97.346",0.883838383838384
"OTU_97.37987","OTU_97.38665",0.883417508417508
"OTU_97.14","OTU_97.510",0.882996632996633
"OTU_97.5785","OTU_97.33220",0.882575757575758
"OTU_97.18018","OTU_97.12419",0.882575757575758
"OTU_97.86","OTU_97.16034",0.881734006734007
"OTU_97.29561","OTU_97.35852",0.879859198041016
"OTU_97.1201","OTU_97.510",0.878787878787879
"OTU_97.14","OTU_97.10385",0.877946127946128
"OTU_97.34683","OTU_97.14",0.877525252525252
"OTU_97.22716","OTU_97.1654",0.876262626262626
"OTU_97.14","OTU_97.5474",0.876109580655035
"OTU_97.3911","OTU_97.5785",0.875
"OTU_97.24870","OTU_97.38665",0.873737373737374
"OTU_97.16034","OTU_97.36559",0.873737373737374
"OTU_97.34780","OTU_97.39171",0.873278236914601
"OTU_97.16695","OTU_97.28399",0.87278083868993
"OTU_97.35268","OTU_97.41674",0.871632996632997
"OTU_97.30556","OTU_97.7542",0.870791245791246
"OTU_97.5561","OTU_97.57",0.86952861952862
"OTU_97.5474","OTU_97.10385",0.869107744107744
"OTU_97.22261","OTU_97.18729",0.868686868686869
"OTU_97.16633","OTU_97.39322",0.868457300275482
"OTU_97.12419","OTU_97.43023",0.868265993265993
"OTU_97.43213","OTU_97.25028",0.868265993265993
"OTU_97.34765","OTU_97.43213",0.86711815120906
"OTU_97.2464","OTU_97.3911",0.867003367003367
"OTU_97.20597","OTU_97.41441",0.866161616161616
"OTU_97.5287","OTU_97.5561",0.86489898989899
"OTU_97.12419","OTU_97.15133",0.86421028466483
"OTU_97.22716","OTU_97.5659",0.863253749617386
"OTU_97.24636","OTU_97.1654",0.862373737373737
"OTU_97.24636","OTU_97.10938",0.862373737373737
"OTU_97.5659","OTU_97.30402",0.862373737373737
"OTU_97.39171","OTU_97.510",0.86233547597184
"OTU_97.32087","OTU_97.33220",0.86061371288644
"OTU_97.10089","OTU_97.2847",0.859848484848485
"OTU_97.32087","OTU_97.5785",0.859504132231405
"OTU_97.29803","OTU_97.35176",0.85873890419345
"OTU_97.34780","OTU_97.1201",0.858279767370676
"OTU_97.24809","OTU_97.6625",0.857744107744108
"OTU_97.951","OTU_97.18018",0.857476277930823
"OTU_97.22576","OTU_97.29005",0.856481481481482
"OTU_97.24809","OTU_97.41577",0.856251913070095
"OTU_97.33897","OTU_97.20597",0.856098867462504
"OTU_97.28399","OTU_97.4800",0.855295378022651
"OTU_97.24475","OTU_97.38931",0.855065809611264
"OTU_97.28399","OTU_97.24927",0.85479797979798
"OTU_97.41674","OTU_97.39171",0.854721456994184
"OTU_97.28512","OTU_97.1397",0.852425772880318
"OTU_97.24927","OTU_97.28748",0.852272727272727
"OTU_97.24636","OTU_97.24475",0.851851851851852
"OTU_97.5659","OTU_97.1654",0.851430976430976
"OTU_97.12279","OTU_97.36155",0.851430976430976
"OTU_97.37076","OTU_97.27813",0.851010101010101
"OTU_97.288","OTU_97.720",0.84982399755127
"OTU_97.57","OTU_97.86",0.849020508111417
"OTU_97.34925","OTU_97.11972",0.848905723905724
"OTU_97.34925","OTU_97.20215",0.848867462503826
"OTU_97.3545","OTU_97.13145",0.848561371288644
"OTU_97.734","OTU_97.37368",0.847910927456382
"OTU_97.734","OTU_97.824",0.845538720538721
"OTU_97.24870","OTU_97.25475",0.845194367921641
"OTU_97.16529","OTU_97.10485",0.843855218855219
"OTU_97.28399","OTU_97.34683",0.842592592592593
"OTU_97.37903","OTU_97.57",0.842171717171717
"OTU_97.1201","OTU_97.28280",0.842171717171717
"OTU_97.7657","OTU_97.38931",0.841329966329966
"OTU_97.43637","OTU_97.15133",0.840909090909091
"OTU_97.37987","OTU_97.24870",0.840832568105295
"OTU_97.6625","OTU_97.22261",0.840488215488216
"OTU_97.4800","OTU_97.28748",0.84006734006734
"OTU_97.11659","OTU_97.19163",0.84006734006734
"OTU_97.34479","OTU_97.22261",0.838804713804714
"OTU_97.9316","OTU_97.12419",0.838345576981941
"OTU_97.175","OTU_97.16633",0.838269054178145
"OTU_97.24636","OTU_97.29803",0.837542087542088
"OTU_97.41577","OTU_97.18729",0.837542087542088
"OTU_97.288","OTU_97.42522",0.837274257728803
"OTU_97.7287","OTU_97.37987",0.837121212121212
"OTU_97.43637","OTU_97.18018",0.837121212121212
"OTU_97.11641","OTU_97.13936",0.836662075298439
"OTU_97.37599","OTU_97.29803",0.835858585858586
"OTU_97.86","OTU_97.43213",0.83543771043771
"OTU_97.15133","OTU_97.16034",0.835016835016835
"OTU_97.35852","OTU_97.36559",0.835016835016835
"OTU_97.14259","OTU_97.59",0.834863789409244
"OTU_97.34294","OTU_97.1654",0.83459595959596
"OTU_97.144","OTU_97.184",0.834404652586471
"OTU_97.24809","OTU_97.34703",0.832912457912458
"OTU_97.35852","OTU_97.39171",0.831649831649832
"OTU_97.40762","OTU_97.59",0.831535047444138
"OTU_97.16695","OTU_97.7657",0.83134374043465
"OTU_97.25028","OTU_97.25986",0.831228956228956
"OTU_97.12279","OTU_97.41577",0.831075910621365
"OTU_97.26563","OTU_97.16265",0.82996632996633
"OTU_97.37902","OTU_97.39144",0.829545454545455
"OTU_97.337","OTU_97.424",0.82927762473217
"OTU_97.41948","OTU_97.23009",0.828780226507499
"OTU_97.24927","OTU_97.7657",0.828703703703704
"OTU_97.20215","OTU_97.510",0.828168044077135
"OTU_97.9982","OTU_97.14",0.827020202020202
"OTU_97.11641","OTU_97.86",0.826867156412611
"OTU_97.43632","OTU_97.40762",0.826599326599327
"OTU_97.7623","OTU_97.26561",0.825757575757576
"OTU_97.39171","OTU_97.5659",0.825757575757576
"OTU_97.29317","OTU_97.2464",0.825757575757576
"OTU_97.43213","OTU_97.13936",0.825757575757576
"OTU_97.36559","OTU_97.25028",0.823921028466483
"OTU_97.22261","OTU_97.29005",0.822811447811448
"OTU_97.12461","OTU_97.1654",0.822390572390572
"OTU_97.3911","OTU_97.14259",0.822122742577288
"OTU_97.29317","OTU_97.43637",0.821969696969697
"OTU_97.40820","OTU_97.10428",0.82174012855831
"OTU_97.24809","OTU_97.34479",0.821663605754515
"OTU_97.35268","OTU_97.43194",0.821548821548822
"OTU_97.12279","OTU_97.34703",0.821051423324151
"OTU_97.5659","OTU_97.734",0.820707070707071
"OTU_97.25475","OTU_97.734",0.820668809305173
"OTU_97.37599","OTU_97.39144",0.820286195286195
