"taxa1","taxa2","value"
"OTU_97.381","OTU_97.15603",0.977846648301194
"OTU_97.31553","OTU_97.152",0.974517906336088
"OTU_97.9679","OTU_97.15051",0.974441383532293
"OTU_97.255","OTU_97.7662",0.973752678298133
"OTU_97.2881","OTU_97.4651",0.970079583715947
"OTU_97.8830","OTU_97.31673",0.967171717171717
"OTU_97.38248","OTU_97.286",0.96678910315274
"OTU_97.6580","OTU_97.35940",0.9657560453015
"OTU_97.23396","OTU_97.118",0.963154269972452
"OTU_97.488","OTU_97.1399",0.960743801652893
"OTU_97.186","OTU_97.1779",0.956496786042241
"OTU_97.42522","OTU_97.720",0.956037649219467
"OTU_97.266","OTU_97.15337",0.955846342209979
"OTU_97.401","OTU_97.158",0.954392408937863
"OTU_97.86","OTU_97.13936",0.952096724823998
"OTU_97.5785","OTU_97.14116",0.951522803795531
"OTU_97.32087","OTU_97.14116",0.950719314355678
"OTU_97.951","OTU_97.43023",0.950719314355678
"OTU_97.24025","OTU_97.154",0.949418426691154
"OTU_97.32087","OTU_97.5785",0.948844505662688
"OTU_97.25726","OTU_97.3324",0.946434037343128
"OTU_97.40820","OTU_97.21012",0.946357514539333
"OTU_97.1397","OTU_97.24025",0.945400979491889
"OTU_97.34683","OTU_97.38931",0.944980104071013
"OTU_97.255","OTU_97.27756",0.944367921640649
"OTU_97.86","OTU_97.16034",0.943947046219774
"OTU_97.16034","OTU_97.36559",0.943373125191307
"OTU_97.19163","OTU_97.33220",0.941766146311601
"OTU_97.39171","OTU_97.510",0.941153963881237
"OTU_97.37599","OTU_97.37902",0.941115702479339
"OTU_97.41948","OTU_97.33390",0.941077441077441
"OTU_97.15133","OTU_97.43023",0.940350474441384
"OTU_97.2847","OTU_97.38273",0.940197428833792
"OTU_97.43637","OTU_97.18018",0.939776553412917
"OTU_97.5474","OTU_97.510",0.939279155188246
"OTU_97.43425","OTU_97.6433",0.938552188552189
"OTU_97.14","OTU_97.5474",0.938399142944597
"OTU_97.43213","OTU_97.13936",0.936830425466789
"OTU_97.16034","OTU_97.43213",0.936792164064891
"OTU_97.29794","OTU_97.43210",0.936333027242118
"OTU_97.7662","OTU_97.27756",0.936179981634527
"OTU_97.18018","OTU_97.12419",0.935797367615549
"OTU_97.24475","OTU_97.29803",0.93441995714723
"OTU_97.25986","OTU_97.3016",0.934305172941537
"OTU_97.11641","OTU_97.16034",0.933846036118763
"OTU_97.36971","OTU_97.16265",0.933769513314968
"OTU_97.20597","OTU_97.170",0.933425160697888
"OTU_97.38818","OTU_97.11972",0.932430364248546
"OTU_97.38931","OTU_97.39459",0.932047750229568
"OTU_97.37636","OTU_97.18624",0.93185644322008
"OTU_97.9316","OTU_97.951",0.931512090603
"OTU_97.37902","OTU_97.39144",0.93013468013468
"OTU_97.29803","OTU_97.38931",0.929407713498623
"OTU_97.951","OTU_97.12419",0.928986838077747
"OTU_97.43637","OTU_97.951",0.928680746862565
"OTU_97.43637","OTU_97.12419",0.927532904805632
"OTU_97.11641","OTU_97.25028",0.927265074992348
"OTU_97.5561","OTU_97.57",0.926958983777166
"OTU_97.16265","OTU_97.34800",0.926499846954392
"OTU_97.36971","OTU_97.34800",0.925734618916437
"OTU_97.32087","OTU_97.33220",0.924548515457606
"OTU_97.12419","OTU_97.43023",0.923859810223447
"OTU_97.29803","OTU_97.35176",0.923783287419651
"OTU_97.34294","OTU_97.41674",0.923400673400673
"OTU_97.1201","OTU_97.510",0.92328588919498
"OTU_97.34371","OTU_97.13450",0.92328588919498
"OTU_97.5287","OTU_97.57",0.921602387511478
"OTU_97.25475","OTU_97.37368",0.921258034894399
"OTU_97.11641","OTU_97.13936",0.921258034894399
"OTU_97.9316","OTU_97.43023",0.920875420875421
"OTU_97.39171","OTU_97.14",0.920531068258341
"OTU_97.39171","OTU_97.1201",0.920263238445057
"OTU_97.4904","OTU_97.346",0.918809305172942
"OTU_97.14","OTU_97.10385",0.91865625956535
"OTU_97.9982","OTU_97.5474",0.918579736761555
"OTU_97.12419","OTU_97.15133",0.918541475359657
"OTU_97.18018","OTU_97.43023",0.918005815733088
"OTU_97.5785","OTU_97.19163",0.917737985919804
"OTU_97.39171","OTU_97.10385",0.917355371900826
"OTU_97.951","OTU_97.18018",0.917202326293235
"OTU_97.13004","OTU_97.16539",0.916475359657178
"OTU_97.18018","OTU_97.15133",0.91643709825528
"OTU_97.9316","OTU_97.12419",0.916169268441996
"OTU_97.31428","OTU_97.226",0.9160927456382
"OTU_97.26883","OTU_97.13522",0.915671870217325
"OTU_97.16034","OTU_97.25986",0.914447505356596
"OTU_97.24475","OTU_97.38931",0.91421793694521
"OTU_97.25028","OTU_97.25986",0.91318487909397
"OTU_97.951","OTU_97.15133",0.912993572084481
"OTU_97.9982","OTU_97.510",0.912304866850321
"OTU_97.43637","OTU_97.15133",0.912113559840833
"OTU_97.35176","OTU_97.38931",0.911616161616162
"OTU_97.9982","OTU_97.14",0.910774410774411
"OTU_97.1201","OTU_97.5474",0.91062136516682
"OTU_97.288","OTU_97.720",0.910468319559229
"OTU_97.32087","OTU_97.10428",0.910315273951638
"OTU_97.37599","OTU_97.39144",0.90889960208142
"OTU_97.1486","OTU_97.13522",0.908478726660545
