"taxa1","taxa2","value"
"5045","4831",1
"3957","4002",0.988550275482094
"5273","1618",0.980161463116009
"4352","4395",0.978860575451485
"3032","4793",0.970768288950107
"2780","3977",0.969735231098868
"3957","5575",0.96463689929599
"4702","40",0.949772344658708
"2286","153",0.942636593204775
"5634","2382",0.929436409550046
"44","4813",0.924672865013774
"2286","2425",0.921334557698194
"4813","5563",0.917403198653199
"44","5563",0.912917049280686
"1478","1571",0.907512626262626
"464","40",0.898683807774717
"464","4702",0.8985403275176
"1490","1429",0.889013238445057
"4002","5575",0.876568717477808
"5575","1633",0.876128711355984
"4608","2286",0.874904346495256
"3945","2860",0.870360805019896
"548","189",0.868438169574533
"4002","1633",0.867529461279461
"4243","4357",0.856978879706152
"3026","189",0.854597107438017
"2300","4359",0.853927532904806
"5287","4229",0.853803183348638
"3957","1633",0.844591750841751
"4060","3071",0.840335169880624
"4608","2425",0.82962197734925
"4964","4457",0.824657560453015
"4608","153",0.823825374961739
"4414","2135",0.812213039485767
"2382","44",0.808319941842669
"2300","381",0.806923400673401
"153","2425",0.805144245485155
"720","5252",0.796372819100092
"1590","171",0.796162381389654
"3026","548",0.781718702173248
"1596","4440",0.776419498010407
"2906","5045",0.764032369146005
"5634","5563",0.758350550964187
"1336","1376",0.753902662993572
"2015","4243",0.753127869605142
"2425","4359",0.746336470768289
"2705","5160",0.746011248852158
"4608","4440",0.741362488521579
"2382","4813",0.723790939700031
"4835","358",0.72303527701255
"5217","381",0.722681359044995
"2425","4440",0.721801346801347
"2425","1596",0.720787419651056
"5583","215",0.718013468013468
"3954","3147",0.716511707988981
"4608","1596",0.710877716559535
"5313","797",0.705301117232935
"381","4359",0.694654882154882
"1671","4422",0.689451331496786
"3026","3988",0.68801652892562
"4414","1590",0.686141720232629
"2906","4831",0.683846036118763
"1429","2961",0.683013850627487
"5273","4036",0.682478191000918
"2425","40",0.679952938475666
"4321","1931",0.679063360881543
"4831","4780",0.678365090296909
"1490","3957",0.676825068870523
"3162","381",0.676767676767677
"2382","5563",0.67414677073768
"5575","215",0.674041551882461
"4608","5563",0.67132499234772
"153","1596",0.667776247321702
"5414","189",0.66352923171105
"4060","1936",0.662620523415978
"1618","2286",0.661845730027548
"548","5575",0.660525711662075
"4831","4707",0.659951790633609
"3026","4871",0.655656948270585
"3957","4414",0.652490817263545
"58","1453",0.65000382614019
"4440","4352",0.649391643709825
"4608","40",0.649095117845118
"3162","2893",0.648607284970921
"4223","5045",0.64802379859198
"153","3954",0.64802379859198
"4871","153",0.647736838077747
"4608","4002",0.645441153963881
"1429","411",0.644331573308846
"3071","1936",0.639701943679216
"2286","5045",0.637415824915825
"4648","3147",0.63630624426079
"1549","2928",0.635636669727579
"548","3988",0.633914906642179
"1535","4223",0.630222681359045
"93","4352",0.629725283134374
"2015","4357",0.629600933578206
"3988","2286",0.628290480563208
"5045","4551",0.625793924089379
"1890","3344",0.62525826446281
"2906","3246",0.620762549739822
"3878","1453",0.620676461585552
"720","1936",0.620647765534129
"5414","3988",0.619662534435262
"1618","4243",0.618734695439241
"2893","1365",0.61763468013468
"548","4871",0.617452938475666
"1490","411",0.615367692072238
"189","4871",0.613885062748699
"2839","2077",0.613846801346801
"5634","44",0.612067646158555
"4966","1453",0.611675466789103
"5217","4831",0.61138850627487
"5468","5045",0.611187633914907
"5217","4352",0.610585016835017
"1618","4702",0.609762396694215
"548","1618",0.608088460361188
"40","4352",0.605936256504438
"5414","3026",0.603640572390572
"3162","1365",0.603372742577288
"4414","2572",0.603104912764004
"381","4352",0.599116161616162
"5496","3839",0.598771808999082
"4831","4551",0.596676997245179
"2425","4702",0.595414370982553
"3227","2705",0.594744796449342
"4831","5394",0.593214340373431
"4912","358",0.592152586470768
"4002","4352",0.58963689929599
"5045","2132",0.589483853688399
"5414","548",0.58894819406183
"5252","3071",0.587962962962963
"5443","4440",0.587532522191613
"5045","5394",0.58741773798592
"2286","1596",0.587102081420263
"189","3527",0.586939470462198
"4702","44",0.586681205999388
"2434","171",0.586174242424242
"5045","4222",0.586059458218549
"3246","4414",0.584203780226508
"1571","3071",0.584194214876033
"1490","2961",0.584022038567493
"215","4776",0.582577670645852
"1535","4875",0.579822849709213
"5252","1936",0.577259335782063
"2286","4440",0.576895852464034
"4776","3162",0.576723676155494
"40","3977",0.576331496786042
"720","4831",0.576293235384144
"4666","4831",0.575451484542394
"3227","5160",0.57516452402816
"381","4707",0.575021043771044
"4414","2780",0.572840143862871
"2434","4414",0.572161003979186
"4871","3988",0.57115664217937
"5575","3162",0.571013161922253
"464","4352",0.570372283440465
"2961","411",0.56977923171105
"1596","2135",0.568411386593205
"5583","4776",0.567847030915213
"4912","4835",0.565541781450872
"4702","3977",0.561887817569636
"189","3988",0.559754744413835
"4599","4352",0.55907560453015
"1371","4440",0.558166896235078
"5634","4813",0.557688628711356
"153","4440",0.557583409856137
"4223","4831",0.554340756045302
"4831","2132",0.553967707376798
"5575","4352",0.551958983777166
"1490","5328",0.551155494337312
"4702","4359",0.546698041016223
"720","4060",0.546439776553413
"1618","4831",0.546210208142026
"3977","4352",0.544124961738598
"40","1718",0.543838001224365
"5468","2430",0.543637128864402
"723","4352",0.53758226201408
"4831","4776",0.537505739210285
"4321","3957",0.536855295378023
"5273","3032",0.536769207223753
"124","5096",0.536290939700031
"3128","4036",0.534349173553719
"2434","2135",0.53372742577288
"5160","4831",0.533526553412917
"4363","2286",0.533335246403428
"1478","40",0.533172635445363
"4002","215",0.532445668809305
"5414","4871",0.532416972757882
"720","1336",0.530379553106826
"4608","4702",0.530063896541169
"4670","5262",0.528648224670952
"5443","1596",0.528619528619529
"5217","5045",0.522822926232017
"3162","4707",0.521072467095194
"4831","1336",0.520555938169575
"2430","3032",0.518700260177533
"2913","1429",0.517734159779614
"4702","4831",0.516548056320784
"5443","3344",0.516194138353229
"4708","2425",0.515629782675237
"5328","596",0.515610651974288
"4194","1453",0.51343931741659
"1453","2705",0.512779308233854
"58","3878",0.512444520967248
"2839","1890",0.511201025405571
"215","4414",0.510292317110499
"5575","4831",0.51027318640955
"1115","4352",0.510244490358127
"1633","4352",0.509201867156413
"2425","2135",0.508513161922253
"5217","4912",0.507719237832874
"153","4414",0.50710705540251
"4363","381",0.506954009794919
"3128","3032",0.505863559840833
"1365","4352",0.505433119069483
"4414","2382",0.504581802877257
"358","4831",0.504170492806856
"2799","2572",0.503969620446893
"3026","2382",0.503147000306091
"4321","1633",0.500908708295072
"4776","381",0.499502601775329
