"taxa1","taxa2","value"
"5045","4831",1
"3957","4002",0.993514692378329
"5273","1618",0.981280609121518
"4352","4395",0.976918809305173
"2780","3977",0.975283134374043
"3032","4793",0.973857897153352
"3957","5575",0.970165671870217
"2286","153",0.96558386899296
"5634","2382",0.957032445668809
"44","4813",0.95531068258341
"4702","40",0.945678374655647
"4813","5563",0.941756580961126
"2286","2425",0.920951943679216
"44","5563",0.919067569635751
"1490","1429",0.912429216406489
"464","40",0.898894245485155
"1478","1571",0.89810988674625
"464","4702",0.89580463728191
"3957","1633",0.891452402816039
"3026","189",0.887014080195898
"4608","2286",0.880662687480869
"5575","1633",0.874464340373431
"4002","1633",0.873766069788797
"548","189",0.866219008264463
"3945","2860",0.864305938169575
"4002","5575",0.864105065809611
"4243","4357",0.863378099173554
"2300","4359",0.862488521579431
"4608","153",0.855859733700643
"2382","44",0.855285812672176
"153","2425",0.85333448117539
"5287","4229",0.851775329048056
"4060","3071",0.837771655953474
"4414","2135",0.834022038567493
"4964","4457",0.833170722375268
"2300","381",0.825690618304255
"4608","2425",0.817033976124885
"5634","5563",0.790126645240282
"1590","171",0.788041398836853
"2705","5160",0.776438628711356
"3026","548",0.774994260789715
"1596","4440",0.77310988674625
"720","5252",0.766461968166514
"2015","4243",0.765084557698194
"2382","4813",0.763735843281298
"2906","5045",0.75
"4608","4440",0.749301729415366
"5217","381",0.749129553106826
"2425","4359",0.748842592592593
"5273","4036",0.743476430976431
"2425","4440",0.743466865625957
"3954","3147",0.741075528007346
"1490","3957",0.74032943067034
"5583","215",0.7363024181206
"3162","381",0.730276247321702
"5575","215",0.727827517600245
"1336","1376",0.725847490052036
"4871","153",0.72381007040098
"2425","40",0.721256121824304
"1671","4422",0.721208295071931
"3026","3988",0.719419574533211
"5313","797",0.719371747780839
"2382","5563",0.71506734006734
"153","3954",0.712857744107744
"2906","4831",0.712771655953474
"4835","358",0.709136822773186
"3957","4414",0.707740281603918
"4414","1590",0.706286348331803
"4608","5563",0.706075910621365
"2425","1596",0.706008953168044
"4831","4780",0.705339378634833
"4608","1596",0.696041857973676
"548","5575",0.694568794000612
"4440","4352",0.692579201101928
"4608","4002",0.691727884909703
"3026","4871",0.681779920416284
"153","1596",0.680125114784206
"4414","2572",0.677332032445669
"1890","3344",0.677188552188552
"548","3988",0.676911157024793
"3988","2286",0.67662419651056
"381","4359",0.672960667278849
"5414","189",0.672281527395164
"1429","2961",0.671535430058157
"4060","1936",0.669871059075605
"4608","40",0.665365779002143
"1429","411",0.664964034282216
"4321","1931",0.663930976430976
"2839","2077",0.662314432200796
"1618","2286",0.657330884603612
"4831","4707",0.655149984695439
"1490","5328",0.655140419344965
"5634","44",0.654843893480257
"1618","4243",0.653447352310989
"1549","2928",0.652988215488216
"4414","2780",0.652634297520661
"2434","171",0.651773415977961
"3071","1936",0.651304713804714
"1571","3071",0.648846418732782
"1490","411",0.646914217936945
"189","4871",0.646675084175084
"189","3527",0.645689853076217
"4966","1453",0.644934190388736
"4223","5045",0.642083715947352
"2893","1365",0.639606290174472
"4648","3147",0.639596724823998
"1535","4223",0.638563666972758
"5414","3988",0.637989745944291
"548","4871",0.636851469237833
"2286","5045",0.634919268441996
"5414","548",0.634297520661157
"548","1618",0.633187940006122
"3162","2893",0.633178374655647
"58","1453",0.632508800122436
"1618","4702",0.632394015916743
"5414","3026",0.631274869911233
"4831","4551",0.630519207223753
"93","4352",0.630174854606673
"3246","4414",0.629572237526783
"2015","4357",0.628979185797368
"5496","3839",0.628873966942149
"3878","1453",0.628290480563208
"5468","5045",0.6271330731558
"2286","1596",0.6228669268442
"2286","4440",0.622656489133762
"3227","2705",0.621432124273033
"2906","3246",0.621432124273033
"5273","3032",0.62019819406183
"1371","4440",0.619825145393327
"5045","4222",0.618572084481175
"720","1936",0.617357284970921
"2434","4414",0.617051193755739
"5045","4551",0.616190312213039
"5634","4813",0.61326331496786
"5443","4440",0.613072007958372
"4831","5394",0.610805019895929
"3227","5160",0.610575451484542
"5252","1936",0.609571089684726
"4702","44",0.609322390572391
"381","4707",0.608231940618304
"4871","3988",0.605945821854913
"1490","2961",0.605591903887358
"1535","4875",0.60557277318641
"153","4440",0.60540059687787
"2839","1890",0.599403122130395
"2425","4702",0.595615243342516
"189","3988",0.592506504438323
"3162","1365",0.588651668197123
"2434","2135",0.586767294153658
"5252","3071",0.586528160391797
"3128","4036",0.581668962350781
"5045","2132",0.580922865013774
"2961","411",0.580128940924395
"4912","358",0.579660238751148
"1596","2135",0.57841674318947
"40","1718",0.57731672788491
"4321","3957",0.576474977043159
"5443","3344",0.575317569635751
"5414","4871",0.574772344658708
"4002","215",0.573930593816957
"124","5096",0.573586241199878
"2430","3032",0.573538414447505
"5328","596",0.573261019283747
"215","4776",0.569760101010101
"5468","2430",0.568937480869299
"5583","4776",0.568583562901745
"5443","1890",0.566747015610652
"5217","4831",0.566192225283134
"4670","5262",0.56532177838996
"4363","381",0.56446089684726
"4363","2286",0.562433042546679
"3162","4707",0.561581726354454
"5045","5394",0.560491276400367
"3128","3032",0.560386057545148
"4912","4835",0.556320783593511
"40","3977",0.55522076828895
"4793","5563",0.553585093357821
"4414","2382",0.55214072543618
"4321","1633",0.549395469850015
"1478","40",0.548668503213958
"4831","2132",0.548505892255892
"1490","3538",0.544918885827977
"5443","1596",0.544718013468014
"215","4414",0.542871900826446
"5217","4912",0.539160544842363
"40","4352",0.537677915518825
"4414","5563",0.537620523415978
"4666","4831",0.537505739210285
"2425","2135",0.537142255892256
"5160","4831",0.536970079583716
"2799","2572",0.536501377410468
"3227","153",0.534750918273646
"4776","381",0.53381351392715
"720","4060",0.533765687174778
"4776","3162",0.533105677992042
"1618","4831",0.530809993878176
"5217","4352",0.529891720232629
"3026","2382",0.529566498316498
"4223","4831",0.528820400979492
"4002","4352",0.527242118151209
"58","3878",0.526170798898072
"5328","3957",0.525788184879094
"2135","5563",0.525462962962963
"2077","1890",0.522516835016835
"4599","4352",0.522373354759718
"3527","154",0.520642026323844
"5443","2425",0.520517676767677
"4286","3954",0.519178527701255
"723","4352",0.517581114172023
"1280","2425",0.515735001530456
"4321","4414",0.515706305479033
"153","4414",0.515055861646771
"4357","4551",0.51309496479951
"723","4395",0.513066268748087
"1453","2705",0.510234925007652
"381","4352",0.50839837771656
"5443","4608",0.507786195286195
"4194","2705",0.506925313743496
"5443","2286",0.506705310682583
"720","5129",0.504792240587695
"5575","3162",0.503912228344046
"4194","1453",0.503893097643098
"1936","4414",0.50264960208142
"4702","1718",0.502190465258647
"2913","1429",0.500908708295072
"2228","720",0.500210437710438
"4363","4414",0.5
"1596","4414",0.5
"5273","1490",0.499760866238139
"4702","4359",0.498306932966024
"153","2135",0.497876492194674
"4708","2425",0.497799969390879
"1115","4131",0.49674778083869
"3527","2928",0.493390342822161
"3276","2705",0.492749464340373
"4702","3977",0.492739898989899
"720","1336",0.492175543311907
"2434","1590",0.491725971839608
"154","1549",0.490664217936945
"720","4831",0.490549433731252
"1511","5045",0.490348561371289
"2425","4352",0.489583333333333
"2135","2382",0.489449418426691
"1571","5460",0.488703321089685
"1633","4352",0.48791896235078
"2831","2434",0.487565044383226
"4286","3147",0.48733547597184
"1365","4352",0.487191995714723
"3988","1618",0.485642408937863
"4414","381",0.484695439240894
"4964","5045",0.484618916437098
"1371","5443",0.484513697581879
"4793","171",0.484485001530456
"5217","2430",0.483356290174472
"4414","5634",0.4833084634221
"464","4352",0.482476277930823
"4835","2906",0.48184496479951
"4457","4243",0.480993648607285
"2839","5443",0.480467554331191
"1633","596",0.480285812672176
"3977","4352",0.479444061830425
"3071","1376",0.477789256198347
"5575","4352",0.477607514539333
"2683","4414",0.476832721150903
"4793","4002",0.474737909397
"4979","2653",0.474450948882767
"3114","3878",0.474412687480869
"4670","4414",0.473848331802877
"2839","3344",0.473829201101928
"4002","5583",0.473245714722987
"2893","2572",0.472930058157331
"3276","58",0.472365702479339
"1649","5129",0.47200221916131
"723","2430",0.470988292011019
"5496","4395",0.470136975818794
"2831","2135",0.469601316192225
"2135","171",0.46900826446281
"5575","4831",0.46875
"40","4414",0.467917814508724
"3527","1549",0.46627257422712
"358","4831",0.466062136516682
"720","5045",0.465832568105295
"2621","3538",0.465507346189164
"2300","4813",0.464914294459749
"5096","4707",0.464225589225589
"4964","4286",0.464110805019896
"4608","4702",0.463670798898072
"3276","4702",0.463029920416284
"2077","5443",0.462819482705846
"2015","4551",0.461958601163147
"1429","4414",0.460600321395776
"332","5394",0.460303795531068
"464","4357",0.458955081114172
"1571","1376",0.458572467095194
"4708","5443",0.458381160085706
"4708","1596",0.457137664524028
"4831","4776",0.457118533823079
"4131","5096",0.456822007958372
"4703","1490",0.455339378634833
"40","2135",0.454832415059688
"3954","4395",0.453684573002755
"4831","1336",0.452775864707683
"4194","5160",0.451388888888889
"4702","4831",0.449418426691154
"1931","5575",0.449217554331191
"4194","3227",0.448519283746556
"5217","5045",0.44768709825528
"4702","4352",0.446988827670646
"4608","2382",0.445840985613713
"1596","40",0.444798362411999
"1115","4599",0.444023569023569
"4702","381",0.443774869911234
"1453","124",0.442818334863789
"2286","4702",0.442435720844812
"1596","4702",0.440905264768901
"1618","2382",0.440589608203245
"3839","4707",0.44023569023569
"2286","4831",0.440178298132844
"40","4359",0.439843510866238
"1336","5394",0.439508723599633
"5575","5045",0.439451331496786
"1371","4708",0.438236531986532
"411","2683",0.437710437710438
"4703","4912",0.436753902662994
"4708","4440",0.435529537802265
"1036","444",0.435433884297521
"1115","4352",0.435175619834711
"1336","4352",0.434745179063361
"4780","4707",0.434448653198653
"2621","4357",0.433195592286501
"1280","4352",0.433032981328436
"4440","381",0.433023415977961
"5217","4707",0.432487756351393
"3032","3954",0.432038184879094
"5496","4352",0.431799051117233
"4964","4222",0.430593816957453
"2077","3344",0.429972069176615
"2286","392",0.429933807774717
"332","154",0.429752066115702
"5443","153",0.429646847260484
"2228","4875",0.429579889807163
"2425","5563",0.429292929292929
"2913","2961",0.428824227119682
"4776","1590",0.428326828895011
"4457","44",0.428279002142639
"3114","2576",0.42817378328742
"4979","4776",0.428039868380777
"4414","171",0.427810299969391
"5217","5468",0.427752907866544
"4912","2913",0.427408555249464
"3839","2799",0.42731290174472
"5414","3527",0.426777242118151
"4670","5583",0.422157177838996
"215","1590",0.422157177838996
"2831","2893",0.422051958983777
"5583","2831",0.421631083562902
"4702","5045",0.421468472604836
"2913","4359",0.421363253749617
"4060","5575",0.419851928374656
"4831","381",0.419804101622283
"2893","5634",0.418149295990205
"4648","5563",0.418053642485461
"4414","44",0.41798668503214
"2831","171",0.416991888582798
"2425","4229",0.416886669727579
"3988","5575",0.416571013161922
"4286","3839",0.416207529843893
"5468","4158",0.415078818487909
"5273","5634",0.414830119375574
"4966","381",0.414399678604224
"3227","4395",0.413251836547291
"154","2928",0.413232705846342
"153","797",0.41232399755127
"4222","392",0.412132690541781
"2135","1590",0.411482246709519
"4966","58",0.411176155494337
"5252","4060",0.410984848484849
"3032","4670",0.41079354147536
"153","5045",0.410468319559229
"3032","1478",0.408966559534741
"4666","4352",0.408679599020508
"2961","5443",0.408478726660545
"2434","2893",0.408000459136823
"4648","2382",0.407866544230181
"3114","3352",0.407856978879706
"4243","4551",0.407378711355984
"4831","1064",0.406642179369452
"2913","411",0.405226507499235
"4414","1365",0.404757805325987
"4131","124",0.404633455769819
"4835","1024",0.404585629017447
"2135","5634",0.402720385674931
"4780","3839",0.401132537496174
"3128","2896",0.400922099785736
"1371","1890",0.400099479644934
"4912","411",0.399429905111723
"3954","5460",0.399295990205081
"2015","332",0.399295990205081
"1490","1371",0.399238598102234
"4966","3878",0.398463804713805
"4286","5460",0.397995102540557
"4243","2135",0.397928145087236
"1371","2425",0.397803795531068
"3878","4702",0.397449877563514
"4776","2132",0.397258570554025
"4703","411",0.396627257422712
"1365","2300",0.396435950413223
"2430","3957",0.39606290174472
"153","4831",0.3955463728191
"4666","1618",0.395383761861035
"40","444",0.394637664524028
"5313","4395",0.394245485154576
"2046","4352",0.393987220691766
"5313","1718",0.393738521579431
"1535","3957",0.393212427303336
"2839","3418",0.393078512396694
"1365","4359",0.392820247933884
"4670","2572",0.392533287419651
"2430","4414",0.391892408937863
"4357","2799",0.391538490970309
"4357","2135",0.391423706764616
"548","3527",0.390610651974288
"2906","5394",0.390400214263851
"3032","4414",0.390036730945822
"723","5468",0.38998890419345
"4703","2572",0.389768901132537
"689","1527",0.389367156412611
"58","4131",0.389032369146006
"2896","2228",0.387654958677686
"3114","124",0.387607131925314
"5273","2286",0.387090602999694
"4363","2896",0.386947122742577
"1490","3162",0.386937557392103
"3147","2382",0.386918426691154
"1280","2913",0.385454928068564
"4964","4357",0.385206228956229
"723","5217",0.384345347413529
"464","4831",0.383407943067034
"4670","2831",0.38339837771656
"548","720",0.382872283440465
"4002","4414",0.38219314355678
"4440","4002",0.382135751453933
"2896","215",0.381829660238751
"689","3391",0.381389654116927
"5583","2434",0.38081573308846
"3032","3246",0.379333103764922
"2621","2799",0.379304407713499
"4708","153",0.378969620446893
"1336","2015",0.378175696357515
"3945","58",0.377553948576676
"44","2780",0.377429599020508
"1115","1931",0.377400902969085
"4648","93",0.376865243342516
"4286","2799",0.37620523415978
"93","1571",0.375908708295072
"3352","1453",0.375526094276094
"4060","2683",0.375420875420875
"2132","2799",0.374626951331497
"3878","4194",0.374330425466789
"1490","596",0.374158249158249
"5045","1336",0.373479109274564
"723","5313",0.371499081726354
"1453","5096",0.37054254667891
"2683","215",0.370045148454239
"2705","4793",0.369978191000918
"1490","3246",0.369452096724824
"3162","4352",0.369423400673401
"5468","4831",0.368954698500153
"4793","4979",0.368677303336394
"4666","40",0.368447734925008
"3391","1527",0.368189470462198
"5443","1036",0.367357284970921
"1371","4608",0.367280762167126
"4966","4131",0.367175543311907
"40","381",0.366199877563514
"5273","3246",0.366142485460667
"1618","3128",0.36575987144169
"5583","2572",0.365492041628405
"3032","4457",0.36541551882461
"4363","4702",0.364946816651362
"5045","4776",0.363932889501071
"4966","4440",0.363598102234466
"2286","2132",0.363578971533517
"2705","4599",0.363569406183043
"4666","4229",0.363225053565963
"4363","2135",0.362976354453627
"3114","720",0.36291896235078
"4703","358",0.36276591674319
"4363","4352",0.362698959289868
"1280","4702",0.362584175084175
"1336","4551",0.362402433425161
"4440","596",0.362316345270891
"2382","1730",0.362230257116621
"2961","2839",0.362125038261402
"2961","1890",0.36207721150903
"3147","5460",0.360747627793082
"4793","4831",0.360718931741659
"358","44",0.360087618610346
"2961","3344",0.359245867768595
"1115","124",0.359207606366697
"691","3954",0.358031068258341
"4875","5129",0.358002372206918
"2961","2077",0.357849326599327
"1890","3418",0.357638888888889
"691","689",0.35736149372513
"2300","4395",0.3565867003367
"1064","2300",0.356299739822467
"4670","1365",0.356041475359657
"2430","689",0.355524946434037
"2425","4414",0.355008417508417
"1618","1478",0.354482323232323
"3945","1453",0.354386669727579
"3105","2961",0.35342056932966
"1371","1596",0.35281795224977
"153","40",0.352750994796449
"3114","4979",0.352282292623202
"4793","4060",0.352263161922253
"1571","4352",0.351584022038567
"4357","4414",0.3514596724824
"5273","4831",0.351277930823385
"464","1376",0.350264003673095
"1376","4357",0.349833562901745
"5252","5575",0.349804866850321
"4835","5045",0.349374426078972
"5217","3352",0.349326599326599
"3071","2621",0.348714416896235
"2913","1490",0.348695286195286
"4223","4875",0.348628328741965
"2896","2683",0.347480486685032
"3276","153",0.347365702479339
"4964","3839",0.347078741965106
"189","720",0.34631351392715
"1511","2906",0.346217860422406
"4036","4414",0.346074380165289
"4703","3538",0.34605524946434
"4002","3977",0.344993495561677
"464","5045",0.344821319253137
"4966","3945",0.344773492500765
"3977","4229",0.344630012243649
"4359","4229",0.344486531986532
"5252","4831",0.344237832874197
