"taxa1","taxa2","value"
"5045","4831",1
"4352","4395",0.978564049586777
"3957","4002",0.977703168044077
"5273","1618",0.977444903581267
"2780","3977",0.961432506887052
"4702","40",0.945506198347107
"3957","5575",0.943440082644628
"3032","4793",0.943353994490358
"2286","2425",0.918130165289256
"2286","153",0.9053891184573
"1478","1571",0.896091597796143
"4813","5563",0.895488980716253
"44","5563",0.894542011019284
"5634","2382",0.889634986225895
"44","4813",0.883780991735537
"464","4702",0.882231404958678
"464","40",0.878099173553719
"1490","1429",0.863119834710744
"5575","1633",0.859934573002755
"4608","2286",0.859073691460055
"548","189",0.851670110192837
"3945","2860",0.84521349862259
"4002","1633",0.84297520661157
"4002","5575",0.837896005509642
"2300","4359",0.836432506887052
"5287","4229",0.832386363636364
"4243","4357",0.828684573002755
"3026","189",0.825843663911846
"4060","3071",0.824294077134986
"4964","4457",0.809659090909091
"4608","2425",0.797348484848485
"3957","1633",0.795368457300275
"720","5252",0.78004476584022
"2382","44",0.778581267217631
"2300","381",0.774793388429752
"2425","4359",0.772727272727273
"2906","5045",0.769886363636364
"1590","171",0.763171487603306
"3026","548",0.756112258953168
"4608","153",0.755595730027548
"5217","381",0.754907024793388
"4831","4780",0.75154958677686
"1596","4440",0.75068870523416
"5575","215",0.739325068870523
"4608","5563",0.729941460055096
"4414","2135",0.728994490358127
"1336","1376",0.728477961432507
"548","5575",0.725637052341598
"2425","40",0.724087465564738
"5634","5563",0.722279614325069
"153","2425",0.71728650137741
"2015","4243",0.714703856749311
"4835","358",0.711604683195592
"4831","4707",0.711346418732782
"4608","4002",0.709366391184573
"2906","4831",0.707988980716253
"2382","4813",0.707042011019284
"3162","381",0.700068870523416
"548","1618",0.693870523415978
"4608","40",0.690857438016529
"4648","3147",0.690168732782369
"1490","3957",0.68784435261708
"5583","215",0.685261707988981
"4414","1590",0.683195592286501
"1618","4243",0.682334710743802
"5273","4036",0.680268595041322
"4608","4440",0.679924242424242
"3957","4414",0.678546831955923
"93","4352",0.678374655647383
"5313","797",0.678202479338843
"2705","5160",0.677427685950413
"2425","1596",0.675447658402204
"1618","2286",0.668818870523416
"3988","2286",0.668216253443526
"3954","3147",0.666752754820937
"381","4359",0.664428374655647
"2425","4440",0.664084022038568
"4608","1596",0.663137052341598
"4440","4352",0.661931818181818
"4223","5045",0.660898760330578
"5468","5045",0.660296143250689
"153","3954",0.658574380165289
"1429","2961",0.651515151515151
"1618","4702",0.648846418732782
"3026","4871",0.648588154269972
"4321","1931",0.644025482093664
"3026","3988",0.639290633608815
"1671","4422",0.638774104683196
"4871","153",0.635416666666667
"58","1453",0.633780991735537
"40","4352",0.632575757575758
"1535","4223",0.632403581267218
"5217","4831",0.628960055096419
"5045","4222",0.628013085399449
"2425","4702",0.626807851239669
"189","3527",0.62310606060606
"4060","1936",0.622847796143251
"4702","44",0.622847796143251
"5414","189",0.622503443526171
"1549","2928",0.621814738292011
"153","1596",0.621556473829201
"5217","4352",0.620695592286501
"3162","2893",0.618543388429752
"2286","5045",0.616907713498623
"3246","4414",0.616563360881543
"5045","4551",0.615616391184573
"2839","2077",0.613119834710744
"4966","1453",0.612947658402204
"4831","4551",0.611053719008264
"4002","4352",0.610365013774105
"1890","3344",0.609590220385675
"5045","2132",0.608126721763085
"4666","4831",0.607954545454545
"1490","411",0.606060606060606
"4002","215",0.605285812672176
"381","4352",0.603391873278237
"1571","3071",0.602789256198347
"40","3977",0.602530991735537
"40","1718",0.602358815426997
"4831","5394",0.601411845730028
"189","4871",0.596676997245179
"4363","381",0.59564393939394
"3071","1936",0.59443870523416
"720","1936",0.590392561983471
"548","4871",0.589101239669422
"720","4831",0.589015151515151
"5575","3162",0.587637741046832
"3878","1453",0.586432506887052
"381","4707",0.586260330578512
"5634","44",0.585399449035813
"4702","3977",0.584538567493113
"1535","4875",0.583419421487603
"1618","4831",0.583247245179063
"2906","3246",0.582128099173554
"2015","4357",0.581697658402204
"4414","2572",0.580320247933884
"464","4352",0.580234159779614
"4363","2286",0.579889807162534
"2228","720",0.577995867768595
"5045","5394",0.575241046831956
"5217","4912",0.574638429752066
"3227","2705",0.573777548209366
"4599","4352",0.571453168044077
"4831","2132",0.571280991735537
"1490","2961",0.570592286501377
"1490","5328",0.569903581267218
"2434","171",0.569473140495868
"4223","4831",0.567665289256198
"5160","4831",0.567579201101928
"5414","3988",0.567493112947658
"215","4776",0.567062672176309
"5252","1936",0.565340909090909
"3162","1365",0.564307851239669
"723","4352",0.564307851239669
"2430","3032",0.56327479338843
"4912","358",0.56275826446281
"5328","3957",0.56275826446281
"5252","3071",0.560778236914601
"3227","5160",0.560692148760331
"548","3988",0.559314738292011
"5575","4352",0.559314738292011
"4702","4359",0.559056473829201
"4776","3162",0.558884297520661
"2893","1365",0.555871212121212
"4414","2780",0.555785123966942
"4831","4776",0.555182506887052
"3977","4352",0.555096418732782
"4608","4702",0.553891184573003
"5443","4440",0.552772038567493
"1429","411",0.552513774104683
"124","5096",0.549845041322314
"2382","5563",0.548898071625344
"2434","4414",0.548553719008264
"720","1336",0.547004132231405
"5217","5045",0.545196280991736
"5328","596",0.545110192837466
"3162","4707",0.544679752066116
"4648","5563",0.543560606060606
"1596","2135",0.543044077134986
"5496","3839",0.542011019283747
"4871","3988",0.540977961432507
"4702","4352",0.540977961432507
"1571","5460",0.539858815426997
"153","4440",0.537792699724518
"189","3988",0.537620523415978
"2961","411",0.536845730027548
"1371","4440",0.536587465564738
"3276","4702",0.533143939393939
"358","4831",0.53245523415978
"5414","3026",0.53150826446281
"1115","4352",0.53142217630854
"723","4395",0.53013085399449
"1478","40",0.528581267217631
"5583","4776",0.527892561983471
"4831","1336",0.524621212121212
"5414","548",0.520833333333333
"1633","4352",0.520747245179063
"5468","2430",0.520230716253444
"4912","4835",0.518939393939394
"4979","2653",0.518250688705234
"720","5129",0.517734159779614
"1115","4131",0.517648071625344
"2425","2135",0.516356749311295
"3026","2382",0.515409779614325
"3128","4036",0.514290633608815
"5496","4352",0.514118457300275
"4708","2425",0.512913223140496
"4702","4831",0.512482782369146
"1280","2425",0.510502754820937
"4648","2382",0.509900137741047
"5575","4831",0.509727961432507
"5634","4813",0.509469696969697
"4670","5262",0.509039256198347
"4321","4414",0.507747933884298
"5414","4871",0.506628787878788
"720","4060",0.506542699724518
"2434","2135",0.505251377410468
"4702","1718",0.504218319559229
"4793","5563",0.504132231404959
"4702","381",0.503271349862259
"4414","2382",0.502324380165289
"4002","5583",0.502152203856749
"3114","720",0.50129132231405
"153","2135",0.49982782369146
"4835","2906",0.49931129476584
"1596","4414",0.49905303030303
"1336","4352",0.49905303030303
"153","4414",0.49896694214876
"2425","4352",0.49870867768595
"1336","5394",0.496900826446281
"5496","4395",0.496470385674931
"1936","4414",0.496126033057851
"1280","4352",0.496126033057851
"4414","5563",0.495609504132231
"548","720",0.495351239669421
"1596","4702",0.494920798898072
"2286","1596",0.494404269972452
"4363","4414",0.493457300275482
"2913","1429",0.493285123966942
"4321","3957",0.493285123966942
"2135","5563",0.493199035812672
"4194","1453",0.491132920110193
"1596","40",0.490530303030303
"1453","2705",0.490185950413223
"720","5045",0.489927685950413
"2913","4359",0.488550275482094
"2046","4352",0.488550275482094
"5443","3344",0.488033746556474
"4666","1618",0.486311983471074
"40","4359",0.485106749311295
"5575","4776",0.485020661157025
"40","444",0.484590220385675
"5273","3032",0.484504132231405
"2839","1890",0.483557162534435
"3071","1376",0.483471074380165
"1365","4352",0.482782369146006
"3988","5575",0.482610192837466
"215","4414",0.482179752066116
"3128","3032",0.481835399449036
"4793","171",0.479080578512397
"3114","3352",0.478477961432507
"4321","1633",0.476756198347107
"3114","3878",0.472193526170799
"2135","2382",0.471935261707989
"4060","5575",0.471504820936639
"2799","2572",0.470643939393939
"2683","4414",0.470557851239669
"4608","2382",0.46935261707989
"4666","4352",0.46935261707989
"4831","381",0.465134297520661
"4793","4002",0.465048209366391
"3527","154",0.464876033057851
"3988","1618",0.463842975206612
"3352","1453",0.463240358126722
"4776","381",0.462637741046832
"1490","3538",0.462465564738292
"1618","2382",0.461862947658402
"4666","40",0.461088154269972
"1453","124",0.461002066115702
"3227","153",0.460571625344353
"4457","4243",0.460055096418733
"2286","4440",0.459796831955923
"5443","1596",0.459280303030303
"4414","381",0.458849862258953
"2286","4702",0.457988980716253
"40","4414",0.457472451790634
"2425","5563",0.456869834710744
"4793","4599",0.456439393939394
"2896","215",0.455492424242424
"332","5394",0.455061983471074
"4835","1024",0.454889807162534
"3276","2705",0.454545454545455
"2286","4831",0.454201101928375
"4695","4002",0.453684573002755
"5252","4831",0.453168044077135
"1429","4414",0.452737603305785
"1115","4599",0.451618457300275
"5273","1490",0.450757575757576
"3114","124",0.450671487603306
"4363","4352",0.450413223140496
"5443","1890",0.449380165289256
"1931","5575",0.449207988980716
"4457","44",0.448347107438017
"5443","2425",0.447658402203857
"2705","4599",0.447658402203857
"358","44",0.447400137741047
"5096","4707",0.446625344352617
"58","3878",0.444989669421488
"3276","58",0.444645316804408
"5217","4707",0.444214876033058
"4131","5096",0.443870523415978
"3527","2928",0.443267906336088
"464","4357",0.442493112947658
"4286","3954",0.439480027548209
"5575","5045",0.439221763085399
"3878","4702",0.43775826446281
"3032","3954",0.435778236914601
"1571","1376",0.432937327823691
"4357","4551",0.432679063360882
"4793","4979",0.431559917355372
"5045","1336",0.430612947658402
"1490","596",0.430182506887052
"1633","596",0.429924242424242
"4648","1596",0.429665977961433
"40","2135",0.427858126721763
"4414","5634",0.427858126721763
"4286","3147",0.427341597796143
"3147","2382",0.427169421487603
"4793","4831",0.426825068870523
"4912","2913",0.426222451790634
"1649","5129",0.426050275482094
"3114","2576",0.424758953168044
