"taxa1","taxa2","value"
"5045","4831",1
"4352","4395",0.995772115090297
"5273","1618",0.98903810835629
"3957","4002",0.98886593204775
"4702","40",0.976124885215794
"2286","153",0.965258647076829
"3032","4793",0.959385521885522
"2780","3977",0.955635904499541
"3957","5575",0.951561065197429
"44","4813",0.947180134680135
"1478","1571",0.938915671870217
"5634","2382",0.934477349250077
"2286","2425",0.92705463728191
"44","5563",0.907330884603612
"464","40",0.90599173553719
"464","4702",0.904576063666973
"4002","5575",0.902835169880624
"4813","5563",0.898549892868075
"548","189",0.894551576369758
"4608","2286",0.893824609733701
"5575","1633",0.892657636975819
"4002","1633",0.882460973370064
"3945","2860",0.882307927762473
"1490","1429",0.873393021120294
"4243","4357",0.859293694520967
"4060","3071",0.858930211202938
"5287","4229",0.856634527089073
"3026","189",0.852464034282216
"2300","4359",0.841903887358433
"4608","2425",0.838670798898072
"4414","2135",0.837121212121212
"3957","1633",0.832262014080196
"4608","153",0.821988827670646
"1590","171",0.818277471686563
"153","2425",0.808712121212121
"720","5252",0.80821472298745
"4964","4457",0.807736455463728
"2300","381",0.794383226201408
"3026","548",0.790652739516376
"2382","44",0.786118763391491
"1596","4440",0.783268288950107
"5634","5563",0.77123507805326
"2906","5045",0.768786348331803
"2705","5160",0.760808846036119
"2382","4813",0.749674778083869
"2425","4359",0.748278236914601
"4608","4440",0.746326905417815
"2015","4243",0.744949494949495
"1336","1376",0.743973829201102
"2286","5045",0.734810223446587
"1618","2286",0.725704009794919
"2425","1596",0.725359657177839
"3988","2286",0.718568258340986
"5313","797",0.717056932966024
"2425","4440",0.716215182124273
"4608","1596",0.714129935720845
"5583","215",0.708983777165595
"3954","3147",0.707070707070707
"5217","381",0.706955922865014
"2906","4831",0.69915059687787
"1490","3957",0.697314049586777
"4835","358",0.695094888276707
"1429","2961",0.695075757575758
"4608","40",0.693507040097949
"4321","1931",0.690465258647077
"381","4359",0.683520814202632
"4414","1590",0.683444291398837
"2425","40",0.683425160697888
"3957","4414",0.683138200183655
"5575","215",0.678757269666361
"4831","4780",0.676978114478115
"5273","4036",0.675715488215488
"1618","4702",0.674261554943373
"4608","5563",0.669727578818488
"153","1596",0.66900061218243
"153","3954",0.668885827976737
"548","5575",0.667278849097031
"4871","153",0.667049280685644
"4702","44",0.666016222834405
"4440","4352",0.665117079889807
"4608","4002",0.658325681052954
"1671","4422",0.65599173553719
"3026","3988",0.654442148760331
"4060","1936",0.647287266605448
"3162","2893",0.64675160697888
"2425","4702",0.644168962350781
"2425","2135",0.641815886134068
"4831","5394",0.636880165289256
"3026","4871",0.636000153045608
"1596","2135",0.633092286501377
"2382","5563",0.632939240893786
"1618","4243",0.631083562901745
"3071","1936",0.626970462197735
"548","1618",0.626530456075911
"1571","3071",0.624713039485767
"1478","40",0.624617385981022
"5414","189",0.623220844811754
"3162","381",0.621250382614019
"5217","4831",0.621192990511172
"4363","2286",0.619413835322926
"40","4352",0.619279920416284
"2893","1365",0.616161616161616
"4831","4551",0.613904193449648
"4002","4352",0.612526782981328
"1549","2928",0.612316345270891
"1429","411",0.611799816345271
"2906","3246",0.610211968166514
"2015","4357",0.609504132231405
"381","4352",0.608547597183961
"4831","4707",0.608126721763085
"5468","5045",0.607055402509948
"5217","4352",0.60650061218243
"1618","4831",0.604683195592286
"464","4352",0.602655341291705
"2135","5563",0.602368380777472
"40","3977",0.60137358432813
"5045","4551",0.60120140801959
"4831","2132",0.599250076522804
"5045","2132",0.597490052035507
"4414","2780",0.595806550352005
"5045","5394",0.594295224977043
"5414","3988",0.593931741659014
"720","4831",0.592783899602081
"93","4352",0.59263085399449
"2286","4831",0.591961279461279
"2135","1590",0.590507346189164
"548","3988",0.590162993572084
"4702","3977",0.589627333945516
"548","4871",0.589225589225589
"1890","3344",0.586738598102234
"189","3527",0.586451637588001
"3246","4414",0.585686409550046
"5575","3162",0.581822007958372
"4793","4002",0.580884603611876
"5575","4352",0.578378481787573
"189","4871",0.577651515151515
"4002","215",0.577651515151515
"5634","44",0.5770584634221
"3162","1365",0.575661922252831
"4608","4702",0.573079277624732
"5496","3839",0.571797520661157
"4793","5563",0.57174012855831
"1618","2382",0.570860116314662
"1490","411",0.570286195286195
"2839","2077",0.568679216406489
"1535","4223",0.568067033976125
"4702","4831",0.564068717477808
"4648","3147",0.563915671870217
"153","797",0.562557392102847
"3227","2705",0.562289562289562
"3227","153",0.561849556167738
"1490","2961",0.561753902662994
"4702","4359",0.560242577288032
"5414","3026",0.557105142332415
"5575","4831",0.557009488827671
"4223","5045",0.554082491582492
"3977","4352",0.551901591674319
"3878","1453",0.55067722681359
"4912","358",0.550428527701255
"5160","4831",0.550103305785124
"5443","4440",0.547845883073156
"3227","5160",0.54589455157637
"720","1936",0.54572237526783
"4608","2382",0.545703244566881
"1596","40",0.545282369146005
"2286","4440",0.544593663911846
"2434","4414",0.543560606060606
"4414","2572",0.541972757881849
"5045","4222",0.539581420263238
"3026","2382",0.538777930823385
"2961","411",0.537936179981635
"4702","381",0.534492653810836
"4871","3988",0.533191766146312
"40","1718",0.530896082032446
"5414","548",0.530704775022957
"2434","171",0.53047520661157
"1633","4352",0.530379553106826
"58","1453",0.530092592592593
"4912","4835",0.529863024181206
"2286","1596",0.529595194367922
"215","4776",0.528122130394858
"4414","2382",0.52569253137435
"464","4831",0.525367309458219
"4666","4831",0.525252525252525
"5252","3071",0.522631619222528
"153","4440",0.522038567493113
"4414","5634",0.520240281603918
"2430","3032",0.520182889501071
"5583","4776",0.519589837771656
"4599","4352",0.519283746556474
"153","4414",0.516050658096113
"2135","2382",0.51574456688093
"189","3988",0.513908019589838
"5273","2286",0.511956688093052
"4002","3977",0.511019283746556
"2425","4352",0.511019283746556
"5575","5045",0.51044536271809
"1596","4702",0.510254055708601
"4223","4831",0.509469696969697
"1571","5460",0.509297520661157
"720","5045",0.508876645240282
"4702","4352",0.506313131313131
"1571","4352",0.505911386593205
"5634","4813",0.504725283134374
"5443","1596",0.504342669115396
"720","1336",0.503902662993572
"153","2135",0.503347872666055
"4414","5563",0.502486991123355
"3147","2382",0.501932200795837
"2135","5634",0.501626109580655
"4702","5045",0.501281756963575
"4414","381",0.500669574533211
"5273","5634",0.500363483318029
"2434","2135",0.499866085093358
"1596","4414",0.499751300887665
"4457","44",0.499693908784818
"4670","5262",0.497513008876645
"4831","4776",0.496900826446281
"5217","5045",0.496479951025406
"5468","2430",0.495848637894092
"40","44",0.495504285277013
"5273","4831",0.493304254667891
"40","4359",0.49160162228344
"464","5045",0.490779002142639
"5273","2382",0.490377257422712
"1535","4875",0.49007116620753
"1371","4440",0.489745944291399
"2425","5563",0.488885062748699
"723","4352",0.488387664524028
"4363","4414",0.487258953168044
"5328","3957",0.486015457606367
"5273","1490",0.48595806550352
