"taxa1","taxa2","value"
"5045","4831",1
"3957","4002",0.988234618916437
"2780","3977",0.983834557698194
"3032","4793",0.982151056014692
"3957","5575",0.977712733394552
"5273","1618",0.971284817875727
"4352","4395",0.961949035812672
"4813","5563",0.936256504438323
"5634","2382",0.924395469850015
"4702","40",0.923419804101622
"2286","153",0.920014539332721
"44","5563",0.918503213957759
"2286","2425",0.915614478114478
"1490","1429",0.90463345576982
"44","4813",0.902165595347414
"464","4702",0.892504591368228
"464","40",0.891375880012244
"1478","1571",0.876109580655035
"2300","4359",0.865951178451178
"5575","1633",0.859599785736149
"3945","2860",0.858413682277319
"3957","1633",0.856921487603306
"3026","189",0.856730180593817
"4608","2286",0.85598408325681
"4243","4357",0.854664064891338
"4002","1633",0.852597949188858
"5287","4229",0.850971839608203
"4002","5575",0.850302265074992
"548","189",0.842324762779308
"4964","4457",0.841578665442302
"2382","44",0.830521120293848
"4608","153",0.825661922252831
"4060","3071",0.82174012855831
"4608","2425",0.820573155800429
"2300","381",0.819463575145393
"153","2425",0.801576369758188
"4414","2135",0.787304866850321
"720","5252",0.784530915212733
"1590","171",0.774047291092746
"3026","548",0.772784664830119
"58","1453",0.769915059687787
"1596","4440",0.769570707070707
"1336","1376",0.763831496786042
"2015","4243",0.76130624426079
"2906","5045",0.759278389960208
"4966","1453",0.752123507805326
"4835","358",0.750975665748393
"5634","5563",0.745466023875115
"2425","4359",0.744394704621977
"4223","5045",0.741965105601469
"5217","381",0.738406795224977
"124","5096",0.737718089990817
"4608","4440",0.736398071625344
"3162","381",0.732284970921335
"2705","5160",0.731213651668197
"2425","4440",0.727387511478421
"5583","215",0.727043158861341
"3954","3147",0.725952708907254
"1671","4422",0.722910927456382
"3026","3988",0.721590909090909
"381","4707",0.717745638200184
"2425","1596",0.716215182124273
"2382","5563",0.715354300581573
"4831","4707",0.711776859504132
"4648","3147",0.708696816651362
"4608","1596",0.707625497398225
"381","4359",0.705788950107132
"5414","189",0.703837618610346
"2382","4813",0.697907101316192
"720","1936",0.695573155800429
"5313","797",0.693545301499847
"1535","4223",0.692378328741965
"3878","1453",0.690675696357515
"5273","4036",0.689240893786348
"4414","1590",0.688839149066422
"4831","4780",0.679752066115702
"4060","1936",0.677953780226508
"548","3988",0.677666819712274
"1429","411",0.676863330272421
"2425","40",0.676480716253444
"5252","1936",0.675868533823079
"3026","4871",0.675313743495562
"58","3878",0.674778083868993
"4776","3162",0.674644168962351
"3162","4707",0.673955463728191
"4608","5563",0.672922405876951
"1429","2961",0.670951943679216
"1535","4875",0.669574533210897
"5575","215",0.669325834098561
"2906","4831",0.668541475359657
"4321","1931",0.667661463116009
"93","4352",0.666819712274258
"153","1596",0.666551882460973
"4414","2572",0.664237067646159
"1890","3344",0.663777930823385
"4708","2425",0.660678757269666
"1490","411",0.66044918885828
"2839","2077",0.659014386287114
"1549","2928",0.658956994184267
"4776","381",0.657254361799816
"1490","3957",0.65633608815427
"548","5575",0.65377257422712
"5252","3071",0.653294306703398
"3071","1936",0.652433425160698
"3162","2893",0.650462962962963
"5045","4551",0.650386440159167
"5414","3026",0.65017600244873
"189","4871",0.650118610345883
"2015","4357",0.649697734925008
"5414","548",0.647191613100704
"5634","44",0.647076828895011
"548","4871",0.645680287725742
"5414","3988",0.645393327211509
"2286","1596",0.644608968472605
"4321","3957",0.644379400061218
"2434","171",0.641873278236915
"1490","5328",0.63990281603918
"215","4776",0.637033210896847
"4912","358",0.633876645240282
"4440","4352",0.633666207529844
"4608","4002",0.632556626874809
"5045","4222",0.63253749617386
"2906","3246",0.631313131313131
"3162","1365",0.631083562901745
"4871","153",0.62842439546985
"720","5129",0.627410468319559
"5443","4440",0.62721916131007
"3227","2705",0.627200030609122
"153","3954",0.627161769207224
"1371","4440",0.626587848178757
"5496","3839",0.625746097337006
"4666","4831",0.625650443832262
"3957","4414",0.621843434343434
"720","4060",0.621479951025406
"2893","1365",0.619107744107744
"5583","4776",0.61610422405877
"5468","5045",0.615319865319865
"5217","4352",0.614669421487603
"2228","720",0.611627640036731
"5634","4813",0.610651974288338
"2286","4440",0.609198041016223
"4871","3988",0.609121518212427
"1618","4243",0.606385827976737
"1490","2961",0.606290174471993
"189","3988",0.605601469237833
"4608","40",0.604683195592286
"3227","5160",0.604434496479951
"2913","1429",0.604243189470462
"2961","411",0.601622283440465
"5217","4831",0.601584022038568
"4912","4835",0.601220538720539
"2434","4414",0.600761401897766
"5217","4912",0.600015304560759
"4223","4831",0.599211815120906
"1453","2705",0.59913529231711
"4599","4352",0.598867462503826
"1618","2286",0.597987450260178
"2839","1890",0.597069176614631
"5443","3344",0.59605524946434
"5328","596",0.593204775022957
"153","4440",0.593128252219161
"40","4352",0.592592592592593
"215","4414",0.592152586470768
"3128","2896",0.591750841750842
"5468","2430",0.591425619834711
"3114","3878",0.590985613712886
"5273","3032",0.590641261095807
"381","4352",0.589684726048362
"548","1618",0.589646464646465
"189","3527",0.587427303336394
