"taxa1","taxa2","value"
"5273","1618",1
"1478","1571",1
"720","5252",1
"1618","2286",1
"2286","153",1
"1478","40",1
"4608","40",1
"4702","40",1
"1490","3957",1
"3957","4002",1
"1490","5045",1
"2906","5045",1
"2286","5045",1
"153","5045",1
"1596","5045",1
"4002","5045",1
"5217","4831",1
"5468","4831",1
"2430","4831",1
"5160","4831",1
"5273","4831",1
"1490","4831",1
"720","4831",1
"2906","4831",1
"153","4831",1
"1596","4831",1
"5045","4831",1
"153","3954",1
"4363","4414",1
"1429","4414",1
"1596","4414",1
"3957","4414",1
"4831","4414",1
"1596","2135",1
"4414","2135",1
"4414","1590",1
"4831","2132",1
"4414","381",1
"44","4813",1
"4414","5563",1
"5045","3977",1
"4831","3977",1
"5217","4352",1
"3227","4352",1
"1571","4352",1
"411","4352",1
"3954","4352",1
"4670","4352",1
"1365","4352",1
"381","4352",1
"5563","4352",1
"4352","4395",1
"1633","4352",0.999923477196204
"3957","1376",0.999579124579125
"3977","4352",0.999234771962045
"3246","4414",0.998737373737374
"5496","4352",0.998546066727885
"4702","381",0.996632996632997
"5575","3162",0.996212121212121
"4912","4352",0.995561677379859
"4414","2382",0.995446893174166
"3957","5575",0.99537037037037
"5273","4776",0.994758187940006
"2430","5045",0.994107744107744
"5045","4414",0.994107744107744
"2286","4831",0.993074686256504
"2300","4352",0.993036424854607
"5273","4036",0.992003367003367
"4831","5394",0.990855524946434
"2425","4359",0.990740740740741
"4002","5575",0.990702479338843
"4702","4359",0.990319865319865
"153","4352",0.990013774104683
"3032","4793",0.98989898989899
"153","2135",0.989860728497092
"5273","1490",0.987641567187022
"3957","4352",0.987641567187022
"4243","4414",0.986570247933884
"4243","2135",0.986111111111111
"381","4395",0.984618916437098
"2015","4352",0.984198041016223
"1936","4414",0.983509335782063
"3026","189",0.982514539332721
"4359","2382",0.982170186715641
"1490","1429",0.98132843587389
"3032","4414",0.981060606060606
"3026","2382",0.97979797979798
"1478","153",0.979759718396082
"4002","4352",0.978573614937251
"2780","3977",0.978229262320171
"40","4352",0.9777318640955
"5634","2382",0.976851851851852
"4440","4352",0.976660544842363
"4831","5634",0.975474441383532
"5252","1376",0.974594429139884
"4002","4831",0.973484848484849
"4414","44",0.973063973063973
"93","4352",0.972643097643098
"4608","4702",0.970768288950107
"4608","4414",0.970117845117845
"720","1336",0.968625650443832
"2425","4414",0.966176920722375
"4357","4352",0.963345576981941
"40","4414",0.961088154269972
"4002","5583",0.960208142026324
"153","4414",0.960131619222528
"2286","2425",0.959863789409244
"5575","215",0.958601163146618
"4608","2425",0.958333333333333
"5563","4395",0.958333333333333
"4813","5563",0.958256810529538
"5575","4352",0.958027242118151
"464","4352",0.957835935108662
"1549","4352",0.957721150902969
"4002","4414",0.956152433425161
"2705","5045",0.955808080808081
"4414","5634",0.955769819406183
"723","4352",0.954201101928375
"464","4702",0.953703703703704
"189","1618",0.953550658096113
"4702","4831",0.952785430058157
"720","4243",0.952249770431589
"464","4831",0.9520584634221
"2135","2382",0.952020202020202
"4608","4002",0.949915824915825
"1336","1376",0.949074074074074
"2300","4395",0.949074074074074
"2425","4352",0.948347107438017
"44","5563",0.947926232017141
"2893","4352",0.947467095194368
"464","40",0.943602693602694
"2015","4414",0.942416590143863
"189","4352",0.941727884909703
"4357","4414",0.938973063973064
"2705","4831",0.937710437710438
"2382","44",0.936447811447811
"40","5575",0.935912151821243
"3957","1633",0.93476430976431
"3032","1336",0.933846036118763
"4608","4831",0.93116773798592
"720","464",0.92825987144169
"4243","44",0.928221610039792
"5575","1633",0.928145087235996
"40","3977",0.927341597796143
"153","4395",0.92550505050505
"2430","3032",0.9246632996633
"3945","2860",0.923821548821549
"3071","464",0.922979797979798
"2135","5563",0.922865013774105
"5252","3071",0.922558922558923
"1478","4352",0.921946740128558
"548","189",0.921296296296296
"5575","4831",0.920339761248852
"3246","4831",0.919536271808999
"4608","153",0.919077134986226
"4608","2286",0.918350168350168
"5414","189",0.917087542087542
"2425","40",0.915824915824916
"4831","4551",0.915136210590756
"1478","3162",0.915059687786961
"5468","5045",0.914791857973676
"5287","4229",0.913223140495868
"2300","4359",0.912802265074992
"5217","381",0.912457912457912
"189","3527",0.911998775635139
"2425","2135",0.911654423018059
"153","2425",0.911501377410468
"4321","4414",0.910200489745944
"4695","4414",0.909894398530762
"5313","797",0.908249158249158
"4060","3071",0.908134374043465
"3352","4414",0.906910009182736
"4813","4352",0.906029996939088
"4002","1633",0.905723905723906
"2705","5160",0.904040404040404
"4243","4357",0.903198653198653
"548","5575",0.901744719926538
"3147","4414",0.8972681359045
"4363","2286",0.897191613100704
"1590","171",0.895622895622896
"548","3527",0.895163758800122
"1596","4702",0.891146311600857
"5273","332",0.890304560759106
"4608","5563",0.890036730945822
"5328","3957",0.888468013468014
"5045","5394",0.881427915518825
"5460","4414",0.880739210284665
"3071","1376",0.880624426078972
"3162","381",0.878673094582185
"4871","153",0.878367003367003
"5252","4831",0.876721763085399
"1618","4243",0.875841750841751
"3026","548",0.875382614018978
"1618","153",0.875
"153","4702",0.875
"3954","3147",0.875
"2425","4702",0.874273033363942
"4831","4222",0.873852157943067
"1618","4831",0.873048668503214
"5273","5634",0.872857361493725
"3032","1490",0.872513008876645
"3988","1618",0.872359963269054
"5313","4352",0.87174778083869
"4964","4457",0.87037037037037
"5634","5563",0.869719926538108
"1596","4440",0.86952861952862
"4702","44",0.866161616161616
"3957","3147",0.865511172329354
"2382","4813",0.864478114478115
"720","4414",0.864401591674319
"381","4359",0.864018977655341
"3026","4871",0.862756351392715
"4831","3640",0.862297214569942
"2300","381",0.86026936026936
"2780","4352",0.860192837465565
"1549","2928",0.859848484848485
"2015","4243",0.859771962044689
"5575","4395",0.858432812978268
"153","1596",0.858318028772574
"40","2135",0.854185797367616
"5217","4395",0.852310988674625
"358","4831",0.850321395775941
"2425","1596",0.848943985307622
"548","4871",0.848905723905724
"2286","3954",0.848752678298133
"4666","4414",0.848523109886746
"4666","4831",0.846992653810836
"4702","3977",0.845653504744414
"5273","2286",0.844582185491276
"720","2135",0.843970003060912
"4002","215",0.843357820630548
"189","4871",0.842171717171717
"4608","1596",0.841329966329966
"1371","4352",0.837121212121212
"40","2780",0.835820324456688
"2913","4414",0.835667278849097
"3954","4395",0.834940312213039
"3114","5273",0.834749005203551
"5045","4551",0.834557698194062
"5217","5045",0.833868992959902
"4835","358",0.833333333333333
"40","4813",0.833333333333333
"548","1618",0.833065503520049
"3988","2286",0.832606366697276
"4608","4440",0.832491582491583
"4702","4813",0.832070707070707
"5273","153",0.831726354453627
"411","4395",0.831496786042241
"171","4352",0.831228956228956
"5045","2132",0.830616773798592
"4831","4776",0.830042852770125
"2961","4414",0.826637588001224
"464","5045",0.82636975818794
"5634","44",0.826178451178451
"4702","5045",0.826140189776553
"4194","4352",0.825260177532905
"1490","411",0.823576675849403
"4243","4813",0.823155800428528
"548","358",0.821242730333639
"40","4831",0.821204468931742
"40","4359",0.820056626874809
"3026","3988",0.819712274257729
"5443","4414",0.81883226201408
"4002","2015",0.816345270890725
"1571","3162",0.814279155188246
"153","40",0.813590449954086
"4831","2653",0.812059993878176
"4414","3162",0.81129476584022
"2015","4357",0.808080808080808
"1490","3162",0.805249464340373
"1490","2961",0.803451178451178
"4695","4831",0.801767676767677
"2046","4352",0.801767676767677
"4321","1931",0.801117232935415
"3032","4979",0.800428527701255
"4223","4352",0.800313743495562
"3227","2705",0.80000765228038
"5575","5045",0.7996632996633
"3957","4395",0.798362411998776
"4780","4352",0.79641108050199
"5045","4222",0.795339761248852
"4223","4831",0.793197122742577
"3032","3954",0.792891031527395
"1429","2961",0.792087542087542
"4194","5575",0.79143709825528
"3162","2893",0.78956228956229
"4599","4352",0.788988368533823
"3957","4831",0.788299663299663
"4131","4414",0.788070094888277
"1671","4422",0.785850933578206
"720","1376",0.783976124885216
"2425","4440",0.780723905723906
"3538","4831",0.779729109274564
"1280","4831",0.778198653198653
"40","381",0.777548209366391
"5583","215",0.777356902356902
"4440","4002",0.776209060299969
"4357","2135",0.77552035506581
"2425","4831",0.774716865625957
"3227","5160",0.773569023569024
"1596","40",0.773569023569024
"5414","3988",0.77345423936333
"5414","3026",0.773377716559535
"4831","1336",0.772650749923477
"381","4707",0.771617692072238
"5252","4414",0.770163758800122
"5496","4395",0.765801958983777
"2286","4702",0.763850627486991
"4871","3988",0.763047138047138
"3538","4352",0.762281910009183
"1931","1336",0.761248852157943
"2286","4352",0.760713192531374
"189","3988",0.757154882154882
"723","4395",0.757078359351087
"2961","411",0.756313131313131
"1429","411",0.755853994490358
"2839","2077",0.754706152433425
"2434","4352",0.754093970003061
"2430","3957",0.754017447199265
"3246","4352",0.752984389348026
"3162","1365",0.752257422711968
"5468","2430",0.751147842056933
"4414","2572",0.749846954392409
"4060","1936",0.749693908784818
"691","4352",0.748163452708907
"2906","3246",0.747895622895623
"4831","4352",0.747474747474748
"4831","4780",0.747168656259565
"596","4414",0.746212121212121
"4912","358",0.745791245791246
"5160","5045",0.745791245791246
"2430","5575",0.745676461585552
"3957","2653",0.743992959902051
"1280","4352",0.743572084481175
"3071","1936",0.742385981022345
"5160","4352",0.741697275788185
"1478","3957",0.741582491582492
"3352","44",0.738138965411693
"215","4776",0.736378940924395
"5217","2430",0.736072849709213
"4831","1064",0.735766758494031
"5217","3957",0.73305019895929
"5252","1336",0.730945821854913
"4831","4707",0.730218855218855
"5273","381",0.728841444750536
"3878","4702",0.728803183348638
"720","4060",0.728267523722069
"1336","5394",0.727502295684114
"154","4352",0.727004897459443
"4648","5563",0.72551270278543
"153","4440",0.724900520355066
"4831","2780",0.724862258953168
"4223","5045",0.724747474747475
"1365","4395",0.724594429139884
"4912","4835",0.723905723905724
"548","3988",0.723178757269666
"1336","4352",0.720003060912152
"720","153",0.719926538108356
"5273","1036",0.71610039791858
"5217","4414",0.715526476890113
"5443","1596",0.715143862871136
"40","1718",0.713422099785736
"2382","5563",0.713039485766758
"4831","5287",0.71215947352311
"5273","4702",0.71181512090603
"720","5563",0.71112641567187
"2683","4414",0.710514233241506
"1649","4352",0.709672482399755
"720","5045",0.707912457912458
"4243","4707",0.70787419651056
"2286","1596",0.705769819406183
"4648","2382",0.705616773798592
"4648","3147",0.705578512396694
"3246","5045",0.705425466789103
"124","4414",0.704392408937863
"4670","5262",0.702861952861953
"4966","4414",0.702517600244873
"3957","5045",0.699839302112029
"1571","464",0.699303642485461
"3032","3246",0.698767982858892
"4979","4414",0.698653198653199
"40","44",0.696893174165901
"1890","3344",0.696663605754515
"3988","5575",0.695936639118457
"4793","1336",0.694712274257729
"5414","4871",0.693985307621671
"4708","5443",0.693564432200796
"2228","720",0.692799204162841
"5496","3839",0.692569635751454
"5443","4440",0.691689623507805
"2286","4414",0.691000918273646
"2434","4414",0.688896541169268
"4702","4352",0.688896541169268
"4831","4131",0.688628711355984
"1478","3977",0.688169574533211
"1453","1571",0.687366085093358
"4780","4414",0.687098255280074
"2434","2135",0.686065197428834
"5583","4776",0.686026936026936
"464","3977",0.685988674625038
"4702","4414",0.684266911539639
"2653","4352",0.68407560453015
