"taxa1","taxa2","value"
"5273","1618",1
"1478","1571",1
"720","5252",1
"2286","153",1
"4702","40",1
"3957","4002",1
"5045","4831",1
"4414","2135",1
"4352","4395",1
"1596","2135",0.999464340373431
"1618","2286",0.99778083868993
"44","4813",0.997130394857668
"4414","1590",0.996212121212121
"2780","3977",0.996212121212121
"2286","2425",0.994222528313437
"3945","2860",0.989592898683808
"4002","5575",0.987450260177533
"5287","4229",0.98733547597184
"3032","4793",0.986378940924395
"3026","189",0.986149372513009
"3957","5575",0.985805019895929
"2300","4359",0.983968472604836
"2906","5045",0.982782369146005
"1596","4414",0.982399755127028
"5634","2382",0.979836241199878
"2382","44",0.977846648301194
"153","2135",0.96831955922865
"2286","5045",0.965373431282522
"4835","358",0.964340373431283
"4813","5563",0.955042852770125
"5468","5045",0.954928068564432
"58","1453",0.953397612488522
"4608","2425",0.950872359963269
"464","4702",0.947581879400061
"464","40",0.944941842669115
"44","5563",0.938437404346495
"153","4414",0.938322620140802
"1490","1429",0.936371288644016
"3026","3988",0.936179981634527
"4363","4414",0.935912151821243
"1336","1376",0.933425160697888
"1376","4357",0.933348637894092
"3957","1633",0.933272115090297
"5313","797",0.928719008264463
"5045","5394",0.92757116620753
"548","189",0.927532904805632
"4780","4707",0.926997245179063
"5575","1633",0.926461585552495
"3839","4707",0.926270278543006
"4608","153",0.925734618916437
"5414","189",0.924165901438629
"2961","4776",0.924165901438629
"2425","4359",0.923209366391185
"2839","2077",0.920684113865932
"2382","4813",0.918617998163453
"58","3878",0.917929292929293
"1590","171",0.915480563207836
"4002","1633",0.91456228956229
"4835","2906",0.914294459749005
"4060","3071",0.912037037037037
"2135","2382",0.911501377410468
"3026","2382",0.911348331802877
"2705","5160",0.910200489745944
"3032","4060",0.90993265993266
"5160","4831",0.90855524946434
"5045","2132",0.90821089684726
"189","3527",0.90786654423018
"3988","2286",0.907330884603612
"4243","4357",0.906527395163759
"5045","4551",0.905762167125803
"4608","2286",0.905149984695439
"1571","4357",0.902624732170187
"3276","2705",0.899219467401286
"1890","3344",0.895278543005816
"153","2425",0.894781144781145
"464","4357",0.89332721150903
"5217","381",0.893059381695745
"1535","4223",0.887970615243343
"4457","44",0.881657483930211
"215","4414",0.880777471686563
"4194","464",0.880241812059994
"3026","548",0.875
"4321","1633",0.874770431588613
"332","5394",0.874579124579125
"4964","4457",0.873239975512703
"3954","3147",0.873048668503214
"1596","4440",0.87071472298745
"2286","2132",0.870217324762779
"1649","5129",0.869566880930517
"5634","5563",0.868686868686869
"1365","2382",0.868457300275482
"2228","4875",0.868304254667891
"2015","4243",0.867883379247016
"3878","1453",0.866161616161616
"381","4359",0.864286807468626
"3032","1478",0.864095500459137
"3026","4871",0.861225895316804
"720","1936",0.861225895316804
"153","1596",0.860345883073156
"4831","4780",0.859848484848485
"5252","1936",0.859657177838996
"2300","381",0.859657177838996
"2425","1596",0.859198041016223
"4964","5045",0.859044995408632
"2906","5394",0.857820630547903
"1549","2928",0.857208448117539
"4780","3839",0.85598408325681
"2961","1036",0.854644934190389
"1535","4875",0.85307621671258
"4608","1596",0.852693602693603
"5273","4036",0.852387511478421
"3878","2961",0.850436179981635
"3071","1376",0.849670951943679
"4357","4551",0.848714416896235
"4131","1036",0.848446587082951
"548","4871",0.845232629323538
"1371","4440",0.843587389041935
"2286","392",0.842669115396388
"2015","4357",0.84263085399449
"1936","4414",0.841674318947046
"5443","3344",0.839416896235078
"4608","4440",0.838651668197123
"2434","171",0.837809917355372
"4964","3839",0.835322926232017
"3147","2382",0.833983777165595
"2015","332",0.833830731558004
"4243","4551",0.833256810529538
"1936","2135",0.832606366697276
"2683","215",0.831190694827058
"4831","4707",0.830157636975819
"154","3162",0.830081114172023
"2077","3344",0.829507193143557
"2839","3344",0.827976737067646
"2961","5443",0.827900214263851
"2860","3878",0.82740281603918
"3276","153",0.82671411080502
"2961","2077",0.825719314355678
"5045","4222",0.823959289868381
"2425","4440",0.823844505662688
"4131","5096",0.823194061830425
"3988","5575",0.822658402203857
"2015","4551",0.820171411080502
"189","4871",0.819827058463422
"3988","1618",0.818105295378023
"2961","3344",0.815886134067952
"1429","2961",0.814011325374962
"4223","5045",0.813896541169268
"1671","4422",0.812863483318029
"4457","1365",0.809687786960514
"40","1718",0.80907560453015
"1280","2425",0.808999081726354
"3227","2705",0.808616467707377
"2286","4702",0.808616467707377
"4966","1453",0.807047750229568
"3162","381",0.807009488827671
"3878","3105",0.806512090603
"4321","1931",0.806359044995409
"5414","3527",0.805785123966942
"4457","4243",0.805211202938476
"4871","153",0.804216406489134
"4060","1936",0.803872053872054
"1490","2961",0.798553719008264
"1490","3957",0.798209366391185
"3032","4875",0.798018059381696
"4708","4357",0.797520661157025
"1511","2906",0.796487603305785
"1596","1633",0.79606672788491
"1478","40",0.795531068258341
"4793","171",0.795339761248852
"3114","2961",0.794804101622283
"5583","215",0.793082338536884
"2839","5443",0.792584940312213
"4964","4223",0.790901438628711
"4793","5563",0.790518824609734
"3071","4357",0.78990664217937
"548","3988",0.789524028160392
"3945","58",0.788146617692072
"3945","3878",0.788031833486379
"3162","2893",0.787228344046526
"4002","5583",0.786195286195286
"58","3105",0.785468319559229
"3071","1936",0.78493265993266
"5443","1890",0.782675237220692
"58","2961",0.782254361799816
"5252","3071",0.779384756657484
"3527","2928",0.779269972451791
"2077","5443",0.779231711049893
"2286","1596",0.778313437404346
"1571","5460",0.777280379553107
"5634","44",0.776553412917049
"1490","411",0.77586470768289
"381","4707",0.774678604224059
"3246","4414",0.774028160391797
"4223","2132",0.773875114784206
"4414","2382",0.773875114784206
"4831","5394",0.773722069176615
"411","171",0.773530762167126
"5414","3988",0.773186409550046
"2425","40",0.772842056932966
"1429","411",0.770928986838078
"40","4414",0.770928986838078
"2961","411",0.770048974594429
"189","3988",0.769819406183043
"1511","4964",0.768748086929905
"1511","5045",0.76576369758188
"2839","1890",0.765228037955311
"1596","2382",0.764883685338231
"1618","4702",0.764539332721151
"5414","3026",0.764080195898378
"4414","2572",0.763429752066116
"2382","5563",0.762855831037649
"2135","5563",0.762128864401592
"215","4776",0.761095806550352
"3162","1365",0.759527089072544
"4912","358",0.758034894398531
"4871","3988",0.757154882154882
"5634","4813",0.754706152433425
"4363","381",0.754476584022039
"93","392",0.754132231404959
"124","5096",0.753405264768901
"4608","5563",0.753099173553719
"4831","4551",0.751836547291093
"58","1036",0.751147842056933
"2286","4440",0.75103305785124
"4648","3147",0.750191307009489
"3128","2896",0.74965564738292
"2906","3246",0.749234771962045
"2860","2961",0.749005203550658
"3878","4131",0.748775635139271
"3957","4414",0.748431282522192
"2961","5096",0.747819100091827
"4414","2780",0.74709213345577
"2077","1890",0.745906029996939
"332","3162",0.74537037037037
"5583","4776",0.745332108968473
"1571","3071",0.74452861952862
"58","3505",0.742194674012856
"5414","548",0.740281603917968
"2860","58",0.740205081114172
"5443","4440",0.735345883073156
"5443","1596",0.735154576063667
"4194","2705",0.73408325681053
"2961","2839",0.73270584634221
"153","4440",0.732591062136517
"1571","4964",0.730907560453015
"153","3954",0.730907560453015
"5575","215",0.730601469237833
"5468","2430",0.728573614937251
"5273","3032",0.728152739516376
"3227","5160",0.727578818487909
"3128","3032",0.727502295684114
"3878","1036",0.726813590449954
"3105","2961",0.726048362411999
"4912","4835",0.725359657177839
"5496","3839",0.725359657177839
"2893","1365",0.724709213345577
"5496","1365",0.724632690541781
"215","1590",0.723982246709519
"3276","4702",0.723331802877257
"4776","3162",0.72122742577288
"93","5460",0.721112641567187
"720","4060",0.719582185491276
"4551","5394",0.719084787266605
"40","2135",0.71678910315274
"3945","3105",0.716750841750842
"4363","2286",0.713039485766758
"4708","5443",0.712274257728803
"392","1024",0.709940312213039
"5443","4608",0.709136822773186
"5414","4871",0.708409856137129
"4608","4002",0.707721150902969
"411","2683",0.705846342209979
"3162","2799",0.705425466789103
"5443","2425",0.705004591368228
"5217","4912",0.704315886134068
"4966","58",0.704124579124579
"2576","1671",0.703129782675237
"2286","2893",0.701254973982247
"4414","5563",0.698576675849403
"4835","5262",0.698041016222834
"1365","2300",0.693985307621671
"4708","2425",0.692952249770432
"2860","3105",0.692875726966636
"4831","2132",0.692722681359045
"1429","4414",0.691727884909703
"4776","2135",0.69161310070401
"2434","4414",0.690656565656566
"723","4395",0.68954698500153
"2893","2572",0.686830425466789
"4835","1024",0.685223446587083
"4194","1453",0.684190388735843
"2906","4551",0.684113865932048
"4670","5262",0.682086011631466
"4321","3957",0.679484236302418
"5045","332",0.679139883685338
"3878","5443",0.677838996020814
"5252","4060",0.676346801346801
"5328","596",0.675237220691766
"1633","596",0.672023262932354
"3878","4702",0.67141108050199
"5217","2430",0.671104989286808
"2300","4813",0.669918885827977
"3105","1036",0.66865625956535
"1490","5328",0.668464952555862
"4608","40",0.667661463116009
"1453","2705",0.667393633302724
"1511","392",0.665901438628711
"4912","411",0.665824915824916
"1535","3957",0.664332721150903
"5468","4158",0.660850933578206
"2906","4831",0.660238751147842
"2286","2928",0.659664830119376
"464","1376",0.658440465258647
"332","154",0.658363942454852
"548","5575",0.658057851239669
"4964","4286",0.657330884603612
"1936","2683",0.656603917967554
"3527","154",0.656450872359963
"4966","3945",0.65633608815427
"2434","1590",0.655188246097337
"2961","4131",0.655035200489746
"2434","2135",0.65377257422712
"2228","720",0.651476890113254
"5443","1036",0.651017753290481
"5414","124",0.649295990205081
"4964","4357",0.64914294459749
"4966","2860",0.648989898989899
"3878","2077",0.64845423936333
"4286","3147",0.646962044689317
"2286","4780",0.64589072543618
"3945","1453",0.645699418426691
"358","44",0.645316804407714
"3128","4036",0.644322007958372
"5443","2286",0.643862871135598
"2831","2893",0.643748086929905
"2799","2572",0.643709825528007
"4835","392",0.64332721150903
"3032","4457",0.642906336088154
"3276","58",0.642561983471074
"4286","3839",0.642561983471074
"4875","5129",0.641873278236915
"2961","4979",0.640878481787573
"2135","171",0.638391490664218
"5443","153",0.637511478420569
"5045","4158",0.636746250382614
"464","5313",0.636746250382614
"723","4194",0.63647842056933
"4708","153",0.636057545148454
"3839","2799",0.635024487297215
"3071","392",0.634297520661157
"4776","1590",0.633149678604224
"153","2893",0.632460973370064
"3344","1036",0.632422711968166
"2913","1429",0.631695745332109
"1511","4835",0.631580961126416
"2913","1490",0.629017447199265
"3032","1365",0.627984389348026
"2015","2135",0.627640036730946
"3945","2961",0.62756351392715
"1371","4708",0.626415671870217
"4414","381",0.625267829813284
"2896","2683",0.62465564738292
"5583","2893",0.624349556167738
"2913","2961",0.62396694214876
"4966","3878",0.623890419344965
"5096","4707",0.623546066727885
"189","44",0.622895622895623
"5217","5468",0.62037037037037
"1511","4222",0.62037037037037
"1511","4158",0.619605142332415
"4702","44",0.619299051117233
"2913","411",0.618419038873584
"4964","2906",0.616352923171105
"1490","3538",0.615664217936945
"1718","5496",0.614248546066728
"2425","2135",0.614172023262932
"720","3071",0.613751147842057
"4457","2382",0.612756351392715
"4964","4222",0.611914600550964
"2860","1453",0.608624119987756
"2135","1590",0.605945821854913
"4194","5160",0.604759718396082
"4321","4414",0.604377104377104
"4357","2135",0.604262320171411
