"taxa1","taxa2","value"
"5045","4831",1
"3957","4002",0.978726660544842
"2780","3977",0.961585552494643
"3032","4793",0.950413223140496
"3957","5575",0.936753902662994
"2286","153",0.93304254667891
"5273","1618",0.926002448729721
"5634","2382",0.925237220691766
"44","4813",0.922750229568411
"4352","4395",0.915442301805938
"3227","4871",0.909090909090909
"4036","4703",0.909090909090909
"4036","1490",0.909090909090909
"4703","1490",0.909090909090909
"1490","1371",0.909090909090909
"2839","1890",0.909090909090909
"2077","1890",0.909090909090909
"5443","1890",0.909090909090909
"1890","3344",0.909090909090909
"1890","3418",0.909090909090909
"4964","2621",0.909090909090909
"4036","3538",0.909090909090909
"1490","3538",0.909090909090909
"1490","3957",0.909090909090909
"1490","596",0.909090909090909
"1371","596",0.909090909090909
"5328","596",0.909090909090909
"2621","4357",0.909090909090909
"3128","689",0.909090909090909
"1671","3391",0.909090909090909
"689","1527",0.909090909090909
"2621","4286",0.909090909090909
"3227","3954",0.909090909090909
"4871","3954",0.909090909090909
"4871","5313",0.909090909090909
"3227","1549",0.909090909090909
"4871","1549",0.909090909090909
"3954","1549",0.909090909090909
"5313","1549",0.909090909090909
"797","1549",0.909090909090909
"2621","4222",0.909090909090909
"4286","4222",0.909090909090909
"4222","392",0.909090909090909
"1549","1064",0.909090909090909
"4222","5262",0.909090909090909
"392","5262",0.909090909090909
"4670","2831",0.909090909090909
"1490","2434",0.909090909090909
"2434","4414",0.909090909090909
"4414","2135",0.909090909090909
"2621","2799",0.909090909090909
"4286","2799",0.909090909090909
"154","2799",0.909090909090909
"4670","2572",0.909090909090909
"2831","2572",0.909090909090909
"2434","2572",0.909090909090909
"1549","2300",0.909090909090909
"2831","5634",0.909090909090909
"1549","4813",0.909090909090909
"2300","4813",0.909090909090909
"689","2780",0.909090909090909
"4670","2780",0.909090909090909
"2572","2780",0.909090909090909
"154","1730",0.909090909090909
"2799","1730",0.909090909090909
"4703","689",0.909052647689011
"3391","2780",0.909052647689011
"2831","2780",0.909052647689011
"691","3954",0.908976124885216
"1490","4414",0.908976124885216
"3954","5313",0.908937863483318
"1671","689",0.908823079277625
"5313","2300",0.908784817875727
"2831","2135",0.908631772268136
"4871","153",0.908363942454852
"1549","1730",0.908363942454852
"689","2572",0.908287419651056
"3954","4813",0.908172635445363
"1490","2831",0.907598714416896
"5160","4222",0.907407407407407
"2621","5262",0.907407407407407
"689","4670",0.907254361799816
"3954","2300",0.906986531986532
"4036","2434",0.906910009182736
"2430","689",0.906450872359963
"5443","3418",0.906106519742883
"1490","5328",0.905762167125803
"5313","4813",0.905456075910621
"1490","5634",0.905264768901132
"596","2831",0.905149984695439
"1549","44",0.90495867768595
"4036","3957",0.904690847872666
"5634","4813",0.903657790021426
"2135","5634",0.903389960208142
"5313","797",0.902854300581573
"4286","1730",0.902816039179676
"2831","2893",0.902624732170187
"3227","2300",0.902586470768289
"4670","5634",0.901936026936027
"1064","4813",0.901936026936027
"4703","2434",0.901744719926538
"5160","153",0.901323844505663
"4286","5262",0.900329048056321
"4703","3538",0.900290786654423
"1371","3538",0.899678604224059
"4414","2572",0.89914294459749
"4703","3957",0.898760330578512
"2382","4813",0.898760330578512
"4813","5563",0.898607284970921
"689","3391",0.89845423936333
"3391","2572",0.898224670951944
"3227","797",0.895622895622896
"3954","797",0.895431588613407
"3954","4670",0.894934190388736
"1490","2572",0.894130700948883
"1890","596",0.894092439546985
"3538","3957",0.893748086929905
